cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
0,Vamos,"cam-
pos",Chamou-a,Mon-,fui-mo,Amhos,Mêos,,,,,,,,,,,,
1,alegre,Alegre,Real,Tigre,!,,,,,,,,,,,,,,
2,"SACRIFICADA

familia",BACHIFICADA,SACRIFICADA,SACHIFICADA,BACRIFICADA,BAORIFICADA,BAPRIFICADA,SACRIFIGADA,Cacilda,SACRIFÇADA,SACRIPICADA,BACRIRICADA,"Madre

 

 

 

 

BACRIFICADA","SACRIFIGADA

Falou","SACRIFIGADA

Y",,,,
3,Baixa,ix,Ai,,,,,,,,,,,,,,,,
4,Pobre 'Ferczinha,intemperies,Terezinha,Inglaterra,Torezinha,Vergonhas,Tenha,"Terezinha da Zófa
do Padre",,,,,,,,,,,
5,vêr,vêr-me,revêr,,,,,,,,,,,,,,,,
6,Pedir,comedia,Dizia-me,Podia,Comborço,Diabo,tragedia,Compreendia,Qnom,,,,,,,,,,
7,Choravam,Chorava,Cavalinho,Horída,Abraçava,pormenorisava,Cho-,atordoava,Fechou,salvadora,,,,,,,,,
8,"cam-
pos amanhecer",Campos Lima,Ama,Chamaram-mo,Ama-Rita,Áaôm,tam-,damasco,proxima,mamã sabe,,,,,,,,,
9,Havana,Gostava,Tavares Cardoso,Encostada,Fitava-a,Estados-Unidos,Saltava,,,,,,,,,,,,
10,"Presentimento-
tos",Francamente,Entroncamento,opulencia,Abrenuncio,EN,Pôs,Sentia-so,Já,,,,,,,,,,
11,Amérrica,Rico,America,sêér,Amérricana,,,,,,,,,,,,,,
12,us,Aplausos,sus el,Dous,Adeus,,,,,,,,,,,,,,
13,Cinta,Santas,Farta,santa casa,aquella santa casa,TANGO,Plantado,"Santas
Terezas de Jesus",,,,,,,,,,,
14,"fa-
emilia",familia,Relia,Eulalia,Jhiam,,,,,,,,,,,,,,
15,Ífonte,Fonte do Inferno,Fonte do Inferno?,Ponte do Inferno,,,,,,,,,,,,,,,
16,Una,Ina,ruinas,FEL Intona,minas batatinhas,Inf,mévinagre,Chinas,,,,,,,,,,,
17,metro partiu-lho uma aza,"Biblioteca de propaganda educativos
e distribuição gratuita","Via

DIARIO DUMA",Iria,Confiando da Ama-Rita,"mem-
ro da aristocracia britanica","proprio
Diabo em pessôa !",Dispensariam,mo dizia,,,,,,,,,,
18,elle,ello,Pequena,naquelle,Aquelle,Aquella,aquella calúnia,paquêta,aquelle,Naquelle,,,,,,,,,
19,Prós-,Próspera,gião,hóspeda,,,,,,,,,,,,,,,
20,es viajantes,"300
Gomes Leal",Espanha,Estive,es,ANcIçÕES,Estremoz,Mes,"una
pessõa",pessõas,Leves,Ouves,Nortyres,Escrevia,Jages,Esplendores do Srcerdocio,estrada,Sévres,álacres
21,Mariquinhas,Aninhei-me,Vinha,visinho,coitadinha,Martinho,condessinha,cosinha,,,,,,,,,,,
22,Christo,Christina,Ohristina,"Christina
Será",Oh,,,,,,,,,,,,,,
23,Córei,Freira,palreiras,Trepadeira,Primeiras,,,,,,,,,,,,,,
24,roca,úti-,tisica,Tica,caldeirinha magica,Africa,"241

Angelica",,,,,,,,,,,,
25,valôr,pavôr,flôr,,,,,,,,,,,,,,,,
26,"Gertrudes
Zarôlha",Soror Claudea,Gertrudes Zarôlha,Soror Gertrudes —,Soror Gertrudes,atrozêlo,Madre Gertrudes,Senhora Gertrudes,"Ó
Gertrudes",Pobre Soror Claudoa,,,,,,,,,
27,álêm,Medroso Rodrigues,Adro Claudoa,Pedro Cem,cemiterio público,,,,,,,,,,,,,,
28,Senhora do Castelo...,visinho cemiterio grasnaram,Senhora do Castelo,Senhora de Castelo,,,,,,,,,,,,,,,
29,"olla mote-
java",pola,Eóló,g'ellas,olla,nella,,,,,,,,,,,,,
30,Desatou,gôto,aféto,TO,Tonito,této,Vai-to,Geitoso,Peito,,,,,,,,,,
31,Joelhos,Aconselhava-a,Conseguira,Conselhos,,,,,,,,,,,,,,,
32,Diga,Miguelsinho,Miguel,,,,,,,,,,,,,,,,
33,Situa Gameiro,FEITICEIRA,Pautino de Oliveira,feitôr,ICEIRA,,,,,,,,,,,,,,
34,Teresita do barbeiro,Clara do Reza-,Manél da Clara do Rezadeira,"Clara de
Rezedeira",Sagrado,girandola,Clara do Rezadoira,Crédo,"Clara do
Trepadeira",Clara,,,,,,,,,
35,"rOmancE

Ixreutzss",Ixreutzss,,,,,,,,,,,,,,,,,
36,"pas-
sar",Ultimas,"casa dos
Carneiros","da-
goas",Maricas,Casas,oças,dornas,lagrimas,,,,,,,,,,
37,herdaste,Perdão,terra,ceremonia,Viera,Er,Numero,herva,Decerto,Superior,Saber,Cederia,,,,,,,
38,Infias,têo,"pas-
ava",bôca vasia,silvas,Grão-Vasco,vasia,Invas,si-,,,,,,,,,,
39,Colombo,HU,Academia do Coimbra,COIMBRA,Coimbra,Coisa,,,,,,,,,,,,,
40,desmantelos,Janelas,Manoel,bemaventurança,Manel,Mancela,Ulane,Mand,Mania,,,,,,,,,,
41,Posso,Sorria,Sorrisos,So,fósso,,,,,,,,,,,,,,
42,Zarôlha,elle lhas,Filhas,Talhados,lha,vólhote,Olha,,,,,,,,,,,,
43,dulcida,Acordara,Recordava,"ú

Acordara",,,,,,,,,,,,,,,
44,Lisbôa,Bôn,bôas,,,,,,,,,,,,,,,,
45,Grande,cadete,Caia,desconfiança,vianda,Candeia,,,,,,,,,,,,,
46,bom do padre,Padre,Resignada,"Pobre Madre Lan-
den!",Pobre Madre,Madre Angelica,Madrid,Madre,Madre Claudes,Madre Clandea,Madre Superior,,,,,,,,
47,tomara,oleografia barata,tra,Paraizo,braza,França,Cura,Disseração,Fôra,Surrateiramente,ra,fôra,Lembrara,fúra,fóra,Paraphraso,Jarras,,
48,k,S.º,,,,,,,,,,,,,,,,,
49,nossa velha igreja,Zéfinha da horta,"Lisa da
Roda",Serra da Estrella,Ds,Ina da Camera Rego,NOSSA HOMENAGEM,Lima Vida,,,,,,,,,,,
