cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24
0,du Nord,Norvins,mo=,Nord,ligne du Nord,,,,,,,,,,,,,,,,,,,,
1,J1,heïn,,,,,,,,,,,,,,,,,,,,,,,
2,ÉDUCATION SENTIMENTALE,SENTIMENTALE,l’'éduca-,ÉDUCATION SENTIMENTALE A1,Vraiment,"ÉDUCATION SENTIMENTALE

Ligne","ÉDUCATION SENTIMENTALE

Quelquefois",,,,,,,,,,,,,,,,,,
3,Madeleine,& Madeleine,Made-,,,,,,,,,,,,,,,,,,,,,,
4,Lcette,chette,violette,Mettes,Mettez,Gette,lorette,Jette,cetten,,,,,,,,,,,,,,,,
5,Clerc,Srecle,ler,Cercle,bercé,Clere,,,,,,,,,,,,,,,,,,,
6,"ha-
ward",Gaspardo,Mhasard,VI,Drouillard,Allard,Pardon,Savoyard,,,,,,,,,,,,,,,,,
7,cherie,cher,So-,Cher,coucher,Long-Rocher,Boucher,Herbigny,cherchais,,,,,,,,,,,,,,,,
8,Deslauri,Deslau-,Deslauriers,Mcôté,,,,,,,,,,,,,,,,,,,,,
9,Monversations,"conversa-bs
tion",conversa-bs,Ilne,HN,,,,,,,,,,,,,,,,,,,,
10,Corse,An=,Orsay,corées,,,,,,,,,,,,,,,,,,,,,
11,A Elbœuf,Bœuf,Marbœuf,,,,,,,,,,,,,,,,,,,,,,
12,Tues,Turque,Lesurques,socques,HE,,,,,,,,,,,,,,,,,,,,
13,"rue de

Choiseul",Choiseul,rue de Choiseul,"rue de
Choiseul",rue de Chabrol,,,,,,,,,,,,,,,,,,,,
14,ctâle,Somme,ommença,Fe n—.-,La somme,Comment,Sombaz,,,,,,,,,,,,,,,,,,
15,Poissonnière,turbotière,rue Paradis-Poissonnière,faubourg Poissonnière,Polisson,,,,,,,,,,,,,,,,,,,,
16,Chinois,Bobino,Bains-Chinois,chine,d’,Chine,,,,,,,,,,,,,,,,,,,
17,Capitale,Capitalen,Pitié,la Capitale,Capitaine,,,,,,,,,,,,,,,,,,,,
18,Gà,Sauvagesse,saus,Femme-Sauvage,EE,Saumon,,,,,,,,,,,,,,,,,,,
19,"Champ
e Mars","Champ de
Mars",Cing-Mars,Champ de Mars,Champ-de-Mars,,,,,,,,,,,,,,,,,,,,
20,madras,Heudras,4 Pomadère,Es,Madrid,Etun,Marast,,,,,,,,,,,,,,,,,,
21,eGelui-,Gelui,Geluta,elub,Melun,,,,,,,,,,,,,,,,,,,,
22,Ambreuse,Dambreuses,Gueuse,fosse de M. Dambreuse,hôtel Dambreuse,Lreuls,io,moar M. Dambreuse,breuse,,,,,,,,,,,,,,,,
23,rouen,fréquenw,Fré-,,,,,,,,,,,,,,,,,,,,,,
24,ampe,L'Olympe,Jampes,Mfeu,,,,,,,,,,,,,,,,,,,,,
25,bosquet,Muet,bour de basque,Parquet,Bouquet-,tesque,,,,,,,,,,,,,,,,,,,
26,lâquelle,Celles,Elle,Pellerin,nelle,Mlle,Pellerin.-,rue Bellefond,Fortelle,CO,a-t-ellenr,Lu,Belle-,Bellevue,àelle,Te rappelles,Canaiïlle,Belle-n,Bagatelle,Nouvelles,Pelle-,Pelle,,,
27,Dupont,Ga-,pont de Charenton,Japon,Ponts,pont Neuf,pont d’Arcole,Pont-Neuf,Ponia,le Pont-Neuf,us,pont Royal,,,,,,,,,,,,,
28,Ace,NURRT,grimace,,,,,,,,,,,,,,,,,,,,,,
29,Œrnais,Bourbonnais,Lyon,Béarnais,Mildais,"ets""y",Havanais,Connais,Lamennais,,,,,,,,,,,,,,,,
30,Pa-,Muteuil,re=,seuil du boudoir,Gymnase,Auteuil,teuil,,,,,,,,,,,,,,,,,,
31,Polonaise,fJ,Polonais,La Polonaise,po,pol,,,,,,,,,,,,,,,,,,,
32,gard,regardan®,regagnantsa,Regardez,Mn,regardan,,,,,,,,,,,,,,,,,,,
33,Noux,Roï,Arnoux,Ljils,noux,Hnoux,,,,,,,,,,,,,,,,,,,
34,Versailles,musée de Versailles,Canailles,sailles,,,,,,,,,,,,,,,,,,,,,
35,du Havre,Havrais,gare du Havre,au Havre,le Havre,mêmt,,,,,,,,,,,,,,,,,,,
36,"abbé
Cœur",Figu-,Ambigu,bp,,,,,,,,,,,,,,,,,,,,,
37,Blackstone,Creton,Ton,At,Tons,Antony,,,,,,,,,,,,,,,,,,,
38,Mlivrer,Sèvres,Hâvre,Enivrez,Ivry,im,,,,,,,,,,,,,,,,,,,
39,XII° arrondissement,XI° arrondissement,III arrondissement,Girondins,,,,,,,,,,,,,,,,,,,,,
40,Frédéricæ,Frédéricnew,Frédécic,Frédé-,Frédéric,Be,Frédérie,-Ærédéric,,,,,,,,,,,,,,,,,
41,Maisait,Maison,Wwalentissait,sais,Ecossais,Millissait,aimais,,,,,,,,,,,,,,,,,,
42,glais,so,élailt,Anglais,Anglaise,Laisse,Marseillais,"Pas
lais",,,,,,,,,,,,,,,,,
43,Rome,Hippodrome,E,Opposi-,E£,Oppo=,Po,,,,,,,,,,,,,,,,,,
44,"oCcäs
sion",Sion,Fu-,Albion,®,Religion,SiOn,voluplueux,Mion,,,,,,,,,,,,,,,,
45,rue de Valois,rue de Bréda,rue de,rue Soufflot,rue de Marbœuf,rue Duphot,rue de Rivoli,rue Jacob,rue de Richelieu,rue Descartes,rue d'Anjou,rue des Martyrs,rue du Bac,rue de Fleurus,rue Dauphine,rue d',,,,,,,,,
46,S,Bordelais,Bordelaise,delan,Bordes,Bordeaux,,,,,,,,,,,,,,,,,,,
47,Mnamnés,"quai Napo-
léon",Odéon,quai d'Orsay,Napowr,,,,,,,,,,,,,,,,,,,,
48,Regimbart,Regim-,Regimbertx,L’,Olympe Regimbart,Flambart,Regim=,Barthélemy,,,,,,,,,,,,,,,,,
49,Peuh,Maffaire,Affaires-,Dame-des-Victoires,Où es,hôtel des Affaires-Étrangères,,,,,,,,,,,,,,,,,,,
50,sach@æ,l’'Almanach du Commerce,hôtel du Commerce,,,,,,,,,,,,,,,,,,,,,,
51,Orientaux,senti=-,sentan,Présentez,cuenta nu-n,,,,,,,,,,,,,,,,,,,,
52,voitum,Institut,Mroite,,,,,,,,,,,,,,,,,,,,,,
53,Minuait,Menait,Sue,Miouhaitait,Lfita,Mlait,Lerrait,Ù,Métait,dew,,,,,,,,,,,,,,,
54,Irez,cachemire,Suriret,rez-VOus,rez,retirez,O,Foire,,,,,,,,,,,,,,,,,
55,Etil,Etille,etil,,,,,,,,,,,,,,,,,,,,,,
56,héclara,Lara,Niagara,Varaud,F,léclara,,,,,,,,,,,,,,,,,,,
57,Avez,Vezou,Etavec,Savez,,,,,,,,,,,,,,,,,,,,,
58,Gouvernem,Caverne-des- Brigands,Le Gouvernement,l’,Gouverne-,Gouvernement,,,,,,,,,,,,,,,,,,,
59,Bouttevilain,Toutle,retou,outle,Partout,Touw,,,,,,,,,,,,,,,,,,,
60,Aure,Dulaure,Bohême,Censure,bor augure,serrure,,,,,,,,,,,,,,,,,,,
61,Écolé,Écoles,,,,,,,,,,,,,,,,,,,,,,,
62,place de la Bastille,pont de la Concorde,place de la Conæ,place de la Concorde,ixes,place de la Bourse,"place de Van-
meroy",,,,,,,,,,,,,,,,,,
63,brune,mune,Mjaune,Lune,Mucune,uneh,,,,,,,,,,,,,,,,,,,
64,esprit-de-vin,gorge-de-pigeon,Ilreprit,,,,,,,,,,,,,,,,,,,,,,
65,Mably,Monvenable,Ablon,Æ,,,,,,,,,,,,,,,,,,,,,
66,rue Vivienne,Vienne,Vénitienne,Vincennes,Vivienne,vie?Il,,,,,,,,,,,,,,,,,,,
67,Toscane,yatagans',Mostaganem,Oudry,,,,,,,,,,,,,,,,,,,,,
68,- Bastille,Bastille jusqu’,la Bastille,,,,,,,,,,,,,,,,,,,,,,
69,pälir,l’'embrasser,s’embras-,l’'embrassàät,s’'embrassent,I,Brasseur,,,,,,,,,,,,,,,,,,
70,"Luxem-
“ourg",Alpes,Bourges,Hapsbourg,Bourgogne,turge,ourgogne,Bourse,de Bourges,Luxembourg,,,,,,,,,,,,,,,
71,pagnie,Pé-,Mcompagnie,É,We,,,,,,,,,,,,,,,,,,,,
72,Écosse,Colosse,,,,,,,,,,,,,,,,,,,,,,,
73,Lquante-trois journaux,Lquante,quan,Miquand,Muant,,,,,,,,,,,,,,,,,,,,
74,Doucement,Mrodigieusement,gie,Délassements,sermentde,Mieuse,,,,,,,,,,,,,,,,,,,
75,Art,partez,Partez,".——.

LL",Parthénon,Charte,,,,,,,,,,,,,,,,,,,
76,Buzançais,"Révo-
lution française",Français,Française,Miyança,François,Théâtre-Français,Comédie-Française,,,,,,,,,,,,,,,,,
77,Lil,rue Notre-,Notre-Dame,"Notre-Dame de
orette",Notre-Dame-des-Victoires,pierre de Notre-Dame,Notre-,Samedi,,,,,,,,,,,,,,,,,
78,As-tu cent,IN,As-tu,Vas-1,Es-tu,,,,,,,,,,,,,,,,,,,,
79,Laval,Cavaignat,Wlavantages,val #,,,,,,,,,,,,,,,,,,,,,
80,ge,Quoique,Aque,Belgique,Msique,"damas rouge
Quatre domestiques",narcotiquemm,Lique,Btique,Esthétique,J,,,,,,,,,,,,,,
81,Arroux,Carrousel,Carousel,place du Carrousel,"place du
Carrousel",,,,,,,,,,,,,,,,,,,,
82,Elysées,Lys,Champs-Élysées,"Champs-
Elysées",fu=,Champs-,,,,,,,,,,,,,,,,,,,
83,ru-,Naples,Temple,vempètré,Peuple,,,,,,,,,,,,,,,,,,,,
84,gènée,l'Eure,Jn,Eure,l'Europe,Pécheur,York,,,,,,,,,,,,,,,,,,
85,Alham-,Chambord,Cham,Aujeu,Cham-,Béchamel,,,,,,,,,,,,,,,,,,,
86,Dumersan,Dittmer,merosos,mero pueblo del mundo,Merait,,,,,,,,,,,,,,,,,,,,
87,Renaissance,tenaim,la Renaissance,Renais-,,,,,,,,,,,,,,,,,,,,,
88,Palais,théâtre du Palais-Royal,Palais-Royal,Palais-Royal !,"Palais-
Royal",Palazot,,,,,,,,,,,,,,,,,,,
89,Leonnue,Hussonnet,Yonne,Hussonnet-,Mbonne,Frisonne,Sorbonne,baïonnettes,"Cou-

| ronne",colonne de Juillet,,,,,,,,,,,,,,,
90,Châtelet,Châte-,châtaigners,châle,,,,,,,,,,,,,,,,,,,,,
91,Is,\ivan,Vanneroy,ap-=,Oui,,,,,,,,,,,,,,,,,,,,
