cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28
0,fiacre,nacre,ter le fiacre,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Va,É,Vas-1,Laval,\ivan,fu=,val #,samovars,vorouva,,,,,,,,,,,,,,,,,,,,
2,"rue de

Choiseul",rue de Choiseul,Choiseul,"rue de
Choiseul",,,,,,,,,,,,,,,,,,,,,,,,,
3,"Pas
lais",glais,Mlait,Anglaise,Laisse,Marseillais,Anglais,élailt,,,,,,,,,,,,,,,,,,,,,
4,Mnamnés,Mn,Hébés,Gà,,,,,,,,,,,,,,,,,,,,,,,,,
5,Quelques-,Aque,Quelquefois,Sue,Quelqu,Quels,Lque,Queltasde,socques,fréquenw,,,,,,,,,,,,,,,,,,,
6,Maisait,sais,Maison,Métait,Millissait,Miouhaitait,aimais,,,,,,,,,,,,,,,,,,,,,,
7,Peuple,Temple,Peuh,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bourgogne,fJ,ourgogne,,,,,,,,,,,,,,,,,,,,,,,,,,
9,rue Vivienne,Vienne,Vincennes,Vénitienne,Vivienne,,,,,,,,,,,,,,,,,,,,,,,,
10,hôtel du Commerce,hôtel de Nantes,l’'Almanach du Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Citoyen,le Citoyen,Le Citoyen,Citoyen s’,Voyez,Moyens,Citoyens,Æ,,,,,,,,,,,,,,,,,,,,,
12,Allez,lez,Allemagne,Halles,Allemand,alluma,oulez,,,,,,,,,,,,,,,,,,,,,,
13,Écosse,Colosse,Ecossais,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Leonnue,Yonne,Mbonne,Lyon,"Cou-

| ronne",Sorbonne,Frisonne,,,,,,,,,,,,,,,,,,,,,,
15,SiOn,Mion,Sion,io,Albion,Inquisition,Religion,,,,,,,,,,,,,,,,,,,,,,
16,la Daumont,"Pié-\
mont",Montataire,Mont,Montpensier,Montagne,Jn,Saumon,Montez,Morgue,Monvenable,PE dé be Sont!,Mondor,"Mont-
charron",mo=,Lacédémone,Montreuil-Nantua,Monseï,Montebello,Grammont,Aspremont,,,,,,,,
17,vempètré,Empoigne,S,châtaigners,empoignè==,,,,,,,,,,,,,,,,,,,,,,,,
18,Chambre des députés,Chambre,Ambigu,Fantichambre,seuil de l’antichambre,Chambres,porte de l'Alhambra,Mchambre,antichambre,Chambrion,,,,,,,,,,,,,,,,,,,
19,Rond-Point,XI° arrondissement,Girondins,Mrodigieusement,Délassements,III arrondissement,XII° arrondissement,,,,,,,,,,,,,,,,,,,,,,
20,Cité,Autorité,Egalité,voitum,Mcôté,Benedicite,Unité,,,,,,,,,,,,,,,,,,,,,,
21,Hrôle,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,etle,Let,Etle,"ets""y",,,,,,,,,,,,,,,,,,,,,,,,,
23,porte Saint-Martin,faubourg Saint-Martin,théâtre de la Porte-Saint-Martin,Cing-Mars,rue Saint-Martin,Porte-Saint-Martin,upporter,,,,,,,,,,,,,,,,,,,,,,
24,Arrêtez,E£,Arrêté,,,,,,,,,,,,,,,,,,,,,,,,,,
25,le Pont-Neuf,Ponts,Pont-Neuf,pont Neuf,Dupont,,,,,,,,,,,,,,,,,,,,,,,,
26,Odéon,Blackstone,Creton,Ton,Meudon,wagon,Antony,pont de Charenton,Tons,,,,,,,,,,,,,,,,,,,,
27,Foire,Irez,retirez,Suriret,Enivrez,rez,cachemire,,,,,,,,,,,,,,,,,,,,,,
28,"oCcäs
sion",oCcäs,Occupez,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Mois,gris-perle,Gisy,Is,Lisy,Isle,Meois,Mildais,Anis,buis,Mipuis,,,,,,,,,,,,,,,,,,
30,Maréchale,Maréchaux,la Maréchale,Maréchale n’,chaleut,"la Maré-
chale",La Maréchale,"Maréchale de l’ais
mer",,,,,,,,,,,,,,,,,,,,,
31,Rosanette,Mcompagnie de Rosanette,Rosa-,Rosanelte,Rosannette,Toscane,Rosanetle,,,,,,,,,,,,,,,,,,,,,,
32,san bond,san,M,J1,An=,Sanson,"sanc-
tuaire",Dumersan,,,,,,,,,,,,,,,,,,,,,
33,bp,Bray,Mbravade,Opéra,Bravo,Bréa,A Bray,,,,,,,,,,,,,,,,,,,,,,
34,Etranger !,orang-outang,Languedoc,rangè-#e,Grange-Batelière,,,,,,,,,,,,,,,,,,,,,,,,
35,æwhasse,Passe,E,Masselin,Assis,,,,,,,,,,,,,,,,,,,,,,,,
36,Balaruc,Lara,léclara,Paraguay,héclara,Marast,Niagara,Pharamond,Laromiguière,Varaud,,,,,,,,,,,,,,,,,,,
37,Notre-Dame-des-Victoires,HN,gorge-de-pigeon,Dame-des-Victoires,esprit-de-vin,salle-des-fêtes,,,,,,,,,,,,,,,,,,,,,,,
38,Fromanteau,rue Fromanteau,s’endormant,,,,,,,,,,,,,,,,,,,,,,,,,,
39,la Bastille,- Bastille,Bastille jusqu’,place de la Bastille,,,,,,,,,,,,,,,,,,,,,,,,,
40,l'Amérique du Sud,l'Amérique,Amérique,Américains,,,,,,,,,,,,,,,,,,,,,,,,,
41,Italiens,Californie,italie,Italie,"Pologne el
italie",l'Italie,Chevalier,Lfita,d'Italie,Italienne,,,,,,,,,,,,,,,,,,,
42,Ilest,Eile,Gilet,Ilne,Corbeil,le soleil,Ljils,rueil,ile,"F
Eile",Creil,,,,,,,,,,,,,,,,,,
43,Moruit,Ru,P,ru-,Rubens,brume,J,reparul,,,,,,,,,,,,,,,,,,,,,
44,Pierrot,trot,Trône,Troyes,Boutron,Jetrottoir,ttrotioir,Troplong,Gotha,Proté-,,,,,,,,,,,,,,,,,,,
45,Jante,Panthéon,Mante,Mdivertissante,Meinte,Bacchante,Jant,,,,,,,,,,,,,,,,,,,,,,
46,Capitale,caleçon,Capitaine,Pitié,Capitalen,la Capitale,,,,,,,,,,,,,,,,,,,,,,,
47,Négrier,gie,Hongrie,Brie,Pie,Bri=,Burrieu,brigand,,,,,,,,,,,,,,,,,,,,,
48,Dagneaux,Bretagne,kaolin de Bretagne,la Bretagne,Mostaganem,Étretat,,,,,,,,,,,,,,,,,,,,,,,
49,eGelui-,Gelui,Geluta,ge,Melun,,,,,,,,,,,,,,,,,,,,,,,,
50,Ace,grimace,È,sach@æ,Bac,,,,,,,,,,,,,,,,,,,,,,,,
51,violette,cetten,baïonnettes,Mettes,Jette,Lcette,chette,Gette,lorette,Mettez,,,,,,,,,,,,,,,,,,,
52,Garde-Meuble,Garde-Meubles,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Montmartre,martre,rue Montmartre,boulevard Montmartre,Chartres,,,,,,,,,,,,,,,,,,,,,,,,
54,Hussonnet-,Hussonnet,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,cherchais,coucher,Archevêque,Cher,heïn,cher,HE,Herbigny,cherie,Pécheur,Boucher,Long-Rocher,,,,,,,,,,,,,,,,,
56,b----,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Institut,sinthe,IN,edingote,Minuait,Omin,nankin,Singu-,tinu,Rossini,gasin,Injustice,Inde,In,hein,Mrinceaux,,,,,,,,,,,,,
58,-Ærédéric,Frédéricæ,Frédéric,arboriculm,Frédérie,Frédécic,Frédé-,Frédéricnew,,,,,,,,,,,,,,,,,,,,,
59,Louvre,Au Louvre,collections du Louvre,au Louvre,dôme du Louvre,,,,,,,,,,,,,,,,,,,,,,,,
60,Attends,Prends,bonds,Rendez,._.,,,,,,,,,,,,,,,,,,,,,,,,
61,Merait,Lerrait,Menait,Dittmer,,,,,,,,,,,,,,,,,,,,,,,,,
62,Rumfort,rue Rumfort,Rochefort,,,,,,,,,,,,,,,,,,,,,,,,,,
63,rue Saint-Dominique,rue Saint-Victor,porte Saint-Denis,rue Saint-Jacques,rue Saint-Denis,rue Sainte-Anne,rue Saint-Anne,de Saint-Denis,rue Saint-Honoré,boulevard Saint-Denis,,,,,,,,,,,,,,,,,,,
64,ws’,s’,s’exalter,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Chinois,"poi-ù
trine",Bains-Chinois,chine,Chine,,,,,,,,,,,,,,,,,,,,,,,,
66,regagnantsa,regardan,Dar,regardan®,Regardez,,,,,,,,,,,,,,,,,,,,,,,,
67,la Tournelle,Métour,Tournez,prnez,Letourneur,Tournelle,,,,,,,,,,,,,,,,,,,,,,,
68,soulevant@æ,"boulevard des
Mapucines",boulevards des Gobelins,boulevard de l'Hôpital,cines,,,,,,,,,,,,,,,,,,,,,,,,
69,La Fougère,la Seine,Seine,La Seine,,,,,,,,,,,,,,,,,,,,,,,,,
70,sesi,Desolmes,Hespérides,Mtes,Es,Léloges,corées,Tues,Mesdames,ixes,Restez,Presles,Whiffres,sxes,Où es,Alpes,Sèvres,Lesurques,,,,,,,,,,,
71,champagne,Mcompagnie,Champagne,campagn,,,,,,,,,,,,,,,,,,,,,,,,,
72,L'Olympe,ampe,Jampes,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Fré-,Pé-,Delmar,Margot,Maré-,la Maré-,,,,,,,,,,,,,,,,,,,,,,,
74,Champ-de-Mars,Champ de Mars,"Champ de
Mars","Champ
e Mars","Don Juan

de Molière",,,,,,,,,,,,,,,,,,,,,,,,
75,Billy,Chantilly,Filly,Andilly,Tibi,Neuilly,,,,,,,,,,,,,,,,,,,,,,,
76,quan,Lquante,Muant,Lquante-trois journaux,Miquand,I,Quarante,,,,,,,,,,,,,,,,,,,,,,
77,Bœuf,A Elbœuf,Marbœuf,,,,,,,,,,,,,,,,,,,,,,,,,,
78,d’un songe,Sois,Mson,so,Philosophie,So-,merosos,"VI

Son",,,,,,,,,,,,,,,,,,,,,
79,Comment,Somme,ommença,La somme,Sombaz,,,,,,,,,,,,,,,,,,,,,,,,
80,Ilreprit,Vêpres,Pre,Premières,Presse,re=,Comprenez,,,,,,,,,,,,,,,,,,,,,,
81,Marlotte,Parlotte,Parly,,,,,,,,,,,,,,,,,,,,,,,,,,
82,convaineus,Comaing,ain,Mai-,Fontainebleau,"se-
maine",maine,horaines,Lorraine,Comédie humaine !,®,,,,,,,,,,,,,,,,,,
83,beancans,mans,Mormans,Mans,expansif,yatagans',Maman,,,,,,,,,,,,,,,,,,,,,,
84,Atala,Avocat,Législative,Cavaignat,Etat,lat,At,mœopathie,Démocratie,Catau,Ne Gate,État,,,,,,,,,,,,,,,,,
85,Percepteur,Précep,Précepteur,l’'examinateur,Acceptez,Prési-,Docteur,,,,,,,,,,,,,,,,,,,,,,
86,Jls,tricorne,Autrichien,Richelieu,Hiérarchie,Autrichiens,Fumichon,,,,,,,,,,,,,,,,,,,,,,
87,Poncif,Pouvoir,Ponia,Opposi-,Po,po,pol,Lpouvait,4 Pomadère,porn,Pouce,Napowr,Impossible,Oppo=,Japon,,,,,,,,,,,,,,
88,wrères-Provençaux,"Trois-
wrères-Provençaux",Trois-Frères-Provençaux,Provençaux,,,,,,,,,,,,,,,,,,,,,,,,,
89,Olympe Regimbart,Regimbart,Regim=,Flambart,Regimbertx,Regim-,,,,,,,,,,,,,,,,,,,,,,,
90,Palazot,croyais,falbalast,croyait}.,Palais-Royal,Palais-Royal !,rue Royale,Palais,"Palais-
Royal",pont Royal,théâtre du Palais-Royal,,,,,,,,,,,,,,,,,,
