cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24
0.0,Suisse,suischagrin,Suissesse,suisse,Pâlisserie,,,,,,,,,,,,,,,,,,,,
1.0,fiacre,ter le fiacre,nacre,,,,,,,,,,,,,,,,,,,,,,
2.0,Hydre,Mrdres,dre,Dre,,,,,,,,,,,,,,,,,,,,,
3.0,Arrêté,Arrêtez,,,,,,,,,,,,,,,,,,,,,,,
4.0,Deslauri,Deslau-,Deslauriers,,,,,,,,,,,,,,,,,,,,,,
5.0,Château-d'Eau,"Château
d'Eau",le Château-d'Eau,Châteauroux,,,,,,,,,,,,,,,,,,,,,
6.0,Noux,Luoux,noux,Joux,Arnoux,Hnoux,,,,,,,,,,,,,,,,,,,
7.0,sentan,Présentez,senti=-,cuenta nu-n,,,,,,,,,,,,,,,,,,,,,
8.0,collège de Sens,Collège de France,Sens,,,,,,,,,,,,,,,,,,,,,,
9.0,jura,curaçao,,,,,,,,,,,,,,,,,,,,,,,
10.0,Somme,La somme,Comment,ommença,Sombaz,,,,,,,,,,,,,,,,,,,,
11.0,Jardin des plantes,Jardin des Plantes,Mtes,nn dôme,,,,,,,,,,,,,,,,,,,,,
12.0,défectuo=-,Préfecture de police,,,,,,,,,,,,,,,,,,,,,,,
13.0,Dittmer,Dumersan,Merait,merosos,mero pueblo del mundo,,,,,,,,,,,,,,,,,,,,
14.0,Gauloises,sesi,Gaulois,,,,,,,,,,,,,,,,,,,,,,
15.0,As-tu,Es-tu,Vas-1,As-tu cent,,,,,,,,,,,,,,,,,,,,,
16.0,"au-
re","Pénu-
rie","au-
res","Gau-
therot","au-
tre",,,,,,,,,,,,,,,,,,,,
17.0,mœopathie,Philosophie,Thiers,,,,,,,,,,,,,,,,,,,,,,
18.0,Peuh,Peuple,voluplueux,,,,,,,,,,,,,,,,,,,,,,
19.0,notre République,République,"République b

me paraît vieille",Républiquelh,République b,Bréa,,,,,,,,,,,,,,,,,,,
20.0,bosquet,Bouquet-,Parquet,tesque,Muet,bour de basque,,,,,,,,,,,,,,,,,,,
21.0,Caverne-des- Brigands,Grands,brigand,,,,,,,,,,,,,,,,,,,,,,
22.0,Chapeau,chaperon,Shakspeare,,,,,,,,,,,,,,,,,,,,,,
23.0,Palais-Royal,théâtre du Palais-Royal,Palais-Royal !,"Palais-
Royal",rue Royale,Palazot,Palais,,,,,,,,,,,,,,,,,,
24.0,ÉDUCATION SENTIMENTALE,"ÉDUCATION SENTIMENTALE

Quelquefois",l’'éduca-,ÉDUCATION SENTIMENTALE A1,SENTIMENTALE,ÉDUCOTION,"ÉDUCATION SENTIMENTALE

Ligne",,,,,,,,,,,,,,,,,,
25.0,mer M. des Aulnays,Aulnays,Aulnay,,,,,,,,,,,,,,,,,,,,,,
26.0,du Nord,Norvins,ligne du Nord,Nord,,,,,,,,,,,,,,,,,,,,,
27.0,Arroux,Carrousel,"place du
Carrousel",carre-,place du Carrousel,Carousel,,,,,,,,,,,,,,,,,,,
28.0,Ton,commanderas ton ca,Antony,Blackstone,,,,,,,,,,,,,,,,,,,,,
29.0,retou,Touw,Creton,,,,,,,,,,,,,,,,,,,,,,
30.0,Pidoux,Ledoux,Cupidons,,,,,,,,,,,,,,,,,,,,,,
31.0,Godefroy,Jouffroy,Anjou,passage Jouffroy,Mouffetard,,,,,,,,,,,,,,,,,,,,
32.0,Mipuis,Inquisition,Douis,buis,,,,,,,,,,,,,,,,,,,,,
33.0,Pie,Pierrot,,,,,,,,,,,,,,,,,,,,,,,
34.0,l'Empire,Empire,t’'empêche,,,,,,,,,,,,,,,,,,,,,,
35.0,"boulevard des
Mapucines",boulevards des Gobelins,boulevard de l'Hôpital,oulez,soulevant@æ,bouleversa,,,,,,,,,,,,,,,,,,,
36.0,yatagans',Catau,Mostaganem,,,,,,,,,,,,,,,,,,,,,,
37.0,sach@æ,cachemire,,,,,,,,,,,,,,,,,,,,,,,
38.0,etil,Etil,,,,,,,,,,,,,,,,,,,,,,,
39.0,Régence,Mience,"rue
de Provence",Conférence,irrévencieux,,,,,,,,,,,,,,,,,,,,
40.0,Mécoupaient,Orientaux,Maient,Corroboraient,,,,,,,,,,,,,,,,,,,,,
