cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20
0,Athee,Theodore,Cuthe-,aeo,s6,,,,,,,,,,,,,,,,
1,tempete,mpe,Temple,".,'.-",,,,,,,,,,,,,,,,,
2,Marlotte,Parlotte,aott,Churlotte,l,,,,,,,,,,,,,,,,
3,ICI.'i,fe,Or6l6ici,Voici-,Benedicite,,,,,,,,,,,,,,,,
4,Atala,Ga-,atalogue,Catau,,,,,,,,,,,,,,,,,
5,A05,Ilne,I17,Ln,,,,,,,,,,,,,,,,,
6,porlail,Orlans,Orleans,Mormans,Vnus,,,,,,,,,,,,,,,,
7,pre Hoque,pre Roque,,,,,,,,,,,,,,,,,,,
8,cOmment,Somme,se260,COmment Donc,Commecnt,,,,,,,,,,,,,,,,
9,Avocat,Cate,Lavocat,f,,,,,,,,,,,,,,,,,
10,Precep,El,Precepleur,e,precise,,,,,,,,,,,,,,,,
11,cheminde,cheminee,cachemire,,,,,,,,,,,,,,,,,,
12,Francais,Il1,Frangcuais,Comedie-Francaise,A,Buzancais,Francaise,,,,,,,,,,,,,,
13,lumfort,v0-,Alpes,rue lumfort,Rumfort,rue Rumfort,IL,22I,,,,,,,,,,,,,
14,Provi-,Progrs,Providence,MP,eprouva,,,,,,,,,,,,,,,,
15,rue Vivienne,Vienne,Pnr,Vincennes,T,Vivienne,chdne,ancienne176,aulgrienne,,,,,,,,,,,,
16,Geneve,Sainte-Genevieve,Eugene,,,,,,,,,,,,,,,,,,
17,Arnouxl,Arnou,Mrnoux,"Mme
Arnoux",Pidoux,burnousl,Arnoux,A gcnoux,noux,lArnoux.-.7I,,,,,,,,,,,
18,glcterre,Pierre,La terre,got,terrsse,ln190,Angleterre,,,,,,,,,,,,,,
19,ain,Cmpain,lainc,Américain,,,,,,,,,,,,,,,,,
20,Maisje,Mai-,Iit,MAIs,Es,Jamais,,,,,,,,,,,,,,,
21,Allez,Halles,Allemand,allees,malleureuse,Allemagne,,,,,,,,,,,,,,,
22,chapeletsln,Chapeau,Chitelet,-  Tapecz,"Sainte-
Chapelle",,,,,,,,,,,,,,,,
23,A-aH,Con,conita,congediee,n27E2,Concoit,Con-,,,,,,,,,,,,,,
24,Eux-tu m'ecouter,ctzx,TU M',Ecoutez-,Ecoutez,beux-rts,,,,,,,,,,,,,,,
25,Vraimentl,Vrai,comnplimenter,puncl inleliniment,,,,,,,,,,,,,,,,,
26,Coq-Ironie,rue Coq-Ironie,lironie,,,,,,,,,,,,,,,,,,
27,Napoleon,Napo-,Napo,Napolon,Napolion,Monopole,patre sa capole,,,,,,,,,,,,,,
28,cinabe,Jrdin,Ordinaire,Iaire,Le Vicaire,,,,,,,,,,,,,,,,
29,-  Ouil,ia,Ouil,- OUi,-  Ohl,Oui,,,,,,,,,,,,,,,
30,cclui de Lamoricire,Lamoricire,lh,lhorizon,,,,,,,,,,,,,,,,,
31,lonc?n,lonc,sulon,enfantlon,qulon,Poncif,Ablon,,,,,,,,,,,,,,
32,Turc,Turcs,Mlurchux,Zoraide Turc,Las,,,,,,,,,,,,,,,,
33,blme,blme d'exagere,ablmes,sujcet,,,,,,,,,,,,,,,,,
34,Institut,lInstitut,constitucion de Ca-,,,,,,,,,,,,,,,,,,
35,permettezl,-  Permettezl,Palerme,,,,,,,,,,,,,,,,,,
36,osanette,Rosanette,llosanette,Rosanctte,Rosannette,Rosanetlte,llosanetle,EH,Rosa-,Ilosanette,Iosanette,kosanelte,llosaneltte,kRosannette,Hosanette,Rosanetle,,,,,
