cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,LA,Latin 1',Lady,,,,,,,,
1,Delmont,dElmont,belmont,Adelaide,continued--,,,,,,
2,Sambre,Samboe,,,,,,,,,
3,Ilangillan,Milan,anl,Llangwillan,,,,,,,
4,LOndon,Seldon Grange,herlong,lOndon,Ellon,London,hong,,,,
5,Plymouth,plymouth,Portsmouth,"South
America",Truth,Thou,L-l,,,,
6,England,Highland,Glamorgan,eNgland,Old England,Ireland,Leander,england,Finland,,
7,has4,Hasty,wasa,hapy,,,,,,,
8,Aeliag,1ALLIANCE.,israel,Elizabethan,,,,,,,
9,Ellen,Helen,el,lleaen,,,,,,,
10,Mre,MR,,,,,,,,,
11,lIes,ERIE,rico,yon orient,Algiers,N-7,,,,,
12,INvent,Icnven,Ileaven,,,,,,,,
13,kc.,&c.,,,,,,,,,
14,Maitland,Caithness,Shetland,Scotland,Atlantic,MIaitland,Mlaitland,,,,
15,but1,butte,it1,z7,,,,,,,
16,slc,,,,,,,,,,
17,the Sea ucen,Swansea,Sea,"the Sea
Green",PEACE,Speak,Seneca,Earth,seoul,,
18,Caroline,Gaol,Carolina,Lina,,,,,,,
19,Devonshire,ns awful,bDevonshire,Yorkshire,,,,,,,
20,deceit,niece,,,,,,,,,
21,Mloorlands,Mloorlnnds,Lord County,Moorlands,Moorlunds,the Faroe Islands,,,,,
22,Grerille Manor,Greville Manor,manns,"Groevillc
Manor",Groeville,,,,,,
23,Mlr.,Mlr,,,,,,,,,
24,acros,Faroe,Meroe,ROME,Berry Pomeroy,Feroc,,,,,
25,kEm.,Pembroke,Emm,kEm,,,,,,,
26,ny,Germany,Ny,,,,,,,,
27,Oakwool,Lakewood,Lakewood Park,,,,,,,,
28,cHAPTER XIII,IIis,YiId,IIownrd,,,,,,,
29,Denmark,MImma,Mars,Barbary,,,,,,,
30,Ecuador,"itself,-MOrton",North,MIlford,Fortcscuc,Forteseue,fort,Oxford,myrtle,New York,comfort
31,lille,Ill.,LL,Ill,sicily,Grill,,,,,
32,Md,md,,,,,,,,,
33,Sweden,Providence,Benevolence,Prove-,,,,,,,
34,Alberta,Nota,Wales,Italy,,,,,,,
35,morro,moment''-she,Komodo,mo,,,,,,,
36,Edinburgh,FInding,INDIA,ain,iNdia,India,,,,,
37,Lmmcline,Emeline,Emmeliue,Fmmeline,,,,,,,
38,BOarding,Elward,Elwnrd,l Edward,,,,,,,
39,INFlUENCE,FoIE IPLUEOE,LUENCE,FoIE INFLUENCE,FoIE 1FLUENCE,Io INPILCENCE,FOiE IYTEULENCE,FoIE,,,
40,"MIster
Perey",merced,Percy,eUrope,Perc,,,,,,
41,HO3E,x--,"childhood,--and",chile,,,,,,,
42,heston,Torrington,Esq,Ashburton,Weston,,,,,,
43,Lockwood,Dogwood,HArris,Lynwood,Harcourt,Haywood,Norwood,Harwood,,,
44,MIrs.,NIrs,MIrs,,,,,,,,
45,Easter,exeter,I1TE,Exeter,,,,,,,
46,Grahame,Cheltenham,Grnhame,,,,,,,,
