cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35
-1,Seneca,eUrope,slc,Leander,N-7,Italy,L-l,rico,Seldon Grange,continued--,"South
America",it1,Ecuador,HArris,1ALLIANCE.,anl,wasa,myrtle,Elizabethan,Atlantic,Harcourt,Lord County,Ellon,Torrington,Nota,z7,ain,Edinburgh,acros,Adelaide,Alberta,Latin 1',sicily,MImma,x--,Gaol
0,Portsmouth,plymouth,Truth,Plymouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,North,Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,comfort,fort,Fortcscuc,Forteseue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MIlford,Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Mars,Sweden,Barbary,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ilangillan,Milan,Llangwillan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Grill,LL,Ill.,Ill,lille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Groevillc
Manor",Groeville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Greville Manor,Grerille Manor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ellen,Helen,lleaen,Ileaven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Grnhame,Grahame,Cheltenham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,lOndon,LOndon,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,hong,herlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,HO3E,Thou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Finland,Ireland,Highland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Shetland,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Maitland,Mlaitland,MIaitland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Old England,eNgland,England,england,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Mloorlnnds,Mloorlands,Moorlunds,Moorlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Lady,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,INDIA,India,BOarding,iNdia,FInding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,israel,Aeliag,el,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,INvent,Icnven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,the Faroe Islands,Faroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"childhood,--and",chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,FoIE IPLUEOE,LUENCE,FOiE IYTEULENCE,Io INPILCENCE,FoIE 1FLUENCE,INFlUENCE,Benevolence,FoIE INFLUENCE,FoIE,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Providence,Prove-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Berry Pomeroy,ROME,Feroc,moment''-she,Meroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,merced,Perc,Percy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"MIster
Perey",Easter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Hasty,has4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,yon orient,ERIE,Algiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,kEm.,Pembroke,kEm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Sambre,Samboe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,butte,I1TE,but1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Emm,Emeline,Emmeliue,Fmmeline,Lmmcline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Caroline,Carolina,Lina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,YiId,IIis,cHAPTER XIII,hapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,IIownrd,Elwnrd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,l Edward,Elward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Oakwool,Norwood,Lockwood,Lynwood,Harwood,Dogwood,Haywood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Lakewood Park,Lakewood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Glamorgan,mo,morro,Komodo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,heston,Weston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"itself,-MOrton",Ashburton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Germany,manns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,ny,Ny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Sea,Swansea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,the Sea ucen,"the Sea
Green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,ns awful,seoul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,lIes,Esq,Caithness,Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PEACE,Speak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,niece,deceit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,exeter,Exeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,dElmont,belmont,Delmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,MIrs,MIrs.,NIrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Mre,MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,New York,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Devonshire,bDevonshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Mlr,Mlr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Md,md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,kc.,&c.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
