cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0.0,the Sea ucen,"the Sea
Green",,,,,,,
1.0,Delmont,dElmont,belmont,,,,,,
2.0,Sambre,Pembroke,Emm,Samboe,,,,,
3.0,Easter,"MIster
Perey",,,,,,,
4.0,Ilangillan,Milan,Llangwillan,,,,,,
5.0,LOndon,Seldon Grange,lOndon,London,,,,,
6.0,Plymouth,plymouth,Portsmouth,niece,,,,,
7.0,England,eNgland,Old England,england,,,,,
8.0,has4,Hasty,,,,,,,
9.0,Aeliag,1ALLIANCE.,israel,Elizabethan,,,,,
10.0,Lockwood,Dogwood,Oakwool,Lynwood,Lakewood,Lakewood Park,Haywood,Norwood,Harwood
11.0,Highland,Shetland,Scotland,Ireland,the Faroe Islands,Finland,,,
12.0,INvent,Icnven,moment''-she,yon orient,,,,,
13.0,Maitland,Caithness,Atlantic,MIaitland,Mlaitland,,,,
14.0,Latin 1',continued--,,,,,,,
15.0,but1,butte,,,,,,,
16.0,Denmark,Sweden,Mars,,,,,,
17.0,Swansea,Sea,,,,,,,
18.0,Caroline,Faroe,Carolina,Lina,,,,,
19.0,North,Earth,,,,,,,
20.0,Mloorlands,Mloorlnnds,Moorlands,Moorlunds,,,,,
21.0,cHAPTER XIII,IIis,hapy,,,,,,
22.0,Grerille Manor,Greville Manor,"Groevillc
Manor",Groeville,,,,,
23.0,Mlr.,Mlr,,,,,,,
24.0,morro,Glamorgan,Torrington,,,,,,
25.0,herlong,Ellon,hong,,,,,,
26.0,HArris,manns,Germany,,,,,,
27.0,ERIE,"South
America",Truth,rico,,,,,
28.0,deceit,exeter,Exeter,,,,,,
29.0,MIlford,Oxford,Lord County,,,,,,
30.0,lille,Ill.,Ill,Grill,,,,,
31.0,Ellen,Ileaven,lleaen,Leander,,,,,
32.0,Edinburgh,"itself,-MOrton",Ashburton,Harcourt,,,,,
33.0,Providence,Adelaide,Prove-,,,,,,
34.0,kEm.,Devonshire,bDevonshire,,,,,,
35.0,Helen,Speak,Benevolence,Seneca,Io INPILCENCE,,,,
36.0,Lmmcline,Emeline,Emmeliue,Fmmeline,,,,,
37.0,MIrs.,NIrs,MIrs,,,,,,
38.0,New York,Yorkshire,,,,,,,
39.0,Alberta,Meroe,PEACE,ROME,Berry Pomeroy,Feroc,,,
40.0,FInding,INDIA,iNdia,India,,,,,
41.0,merced,Percy,Perc,,,,,,
42.0,"childhood,--and",chile,,,,,,,
43.0,INFlUENCE,kEm,FoIE IPLUEOE,LUENCE,FoIE INFLUENCE,FoIE 1FLUENCE,FOiE IYTEULENCE,FoIE,
44.0,heston,Weston,,,,,,,
45.0,Elwnrd,IIownrd,,,,,,,
46.0,Fortcscuc,Forteseue,fort,comfort,,,,,
47.0,BOarding,Elward,l Edward,,,,,,
48.0,Grahame,Cheltenham,Grnhame,,,,,,
