cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24
-1,Seneca,slc,Leander,N-7,L-l,rico,Seldon Grange,continued--,it1,1ALLIANCE.,myrtle,Elizabethan,Atlantic,Lord County,Ellon,Nota,z7,ain,Edinburgh,acros,Adelaide,Latin 1',sicily,MImma,x--
0,kc.,&c.,,,,,,,,,,,,,,,,,,,,,,,
1,Md,md,,,,,,,,,,,,,,,,,,,,,,,
2,Mlr,Mlr.,,,,,,,,,,,,,,,,,,,,,,,
3,Mre,MR,Gaol,,,,,,,,,,,,,,,,,,,,,,
4,New York,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,
5,Devonshire,bDevonshire,,,,,,,,,,,,,,,,,,,,,,,
6,MIrs,MIrs.,NIrs,,,,,,,,,,,,,,,,,,,,,,
7,dElmont,belmont,Delmont,,,,,,,,,,,,,,,,,,,,,,
8,exeter,Exeter,,,,,,,,,,,,,,,,,,,,,,,
9,Ecuador,PEACE,Speak,,,,,,,,,,,,,,,,,,,,,,
10,niece,deceit,,,,,,,,,,,,,,,,,,,,,,,
11,lIes,Esq,Caithness,Wales,,,,,,,,,,,,,,,,,,,,,
12,ns awful,seoul,,,,,,,,,,,,,,,,,,,,,,,
13,"itself,-MOrton",Ashburton,,,,,,,,,,,,,,,,,,,,,,,
14,heston,Torrington,Weston,,,,,,,,,,,,,,,,,,,,,,
15,Germany,manns,,,,,,,,,,,,,,,,,,,,,,,
16,ny,Ny,,,,,,,,,,,,,,,,,,,,,,,
17,Sea,Swansea,,,,,,,,,,,,,,,,,,,,,,,
18,the Sea ucen,"the Sea
Green",,,,,,,,,,,,,,,,,,,,,,,
19,Glamorgan,mo,morro,Komodo,,,,,,,,,,,,,,,,,,,,,
20,IIownrd,Elwnrd,,,,,,,,,,,,,,,,,,,,,,,
21,l Edward,Elward,,,,,,,,,,,,,,,,,,,,,,,
22,Oakwool,Norwood,Lockwood,Lynwood,Harwood,Dogwood,Haywood,,,,,,,,,,,,,,,,,,
23,Lakewood Park,Lakewood,,,,,,,,,,,,,,,,,,,,,,,
24,HArris,Harcourt,,,,,,,,,,,,,,,,,,,,,,,
25,YiId,IIis,wasa,cHAPTER XIII,hapy,,,,,,,,,,,,,,,,,,,,
26,Emm,Emeline,Emmeliue,Fmmeline,Lmmcline,,,,,,,,,,,,,,,,,,,,
27,Caroline,Carolina,Lina,,,,,,,,,,,,,,,,,,,,,,
28,Mars,Sweden,Barbary,Denmark,,,,,,,,,,,,,,,,,,,,,
29,butte,I1TE,but1,,,,,,,,,,,,,,,,,,,,,,
30,Portsmouth,plymouth,Truth,Plymouth,"South
America",,,,,,,,,,,,,,,,,,,,
31,eUrope,kEm.,Pembroke,kEm,,,,,,,,,,,,,,,,,,,,,
32,Sambre,Samboe,,,,,,,,,,,,,,,,,,,,,,,
33,North,Earth,,,,,,,,,,,,,,,,,,,,,,,
34,comfort,fort,Fortcscuc,Forteseue,,,,,,,,,,,,,,,,,,,,,
35,MIlford,Oxford,,,,,,,,,,,,,,,,,,,,,,,
36,yon orient,ERIE,Algiers,,,,,,,,,,,,,,,,,,,,,,
37,Italy,Alberta,,,,,,,,,,,,,,,,,,,,,,,
38,"childhood,--and",chile,,,,,,,,,,,,,,,,,,,,,,,
39,FoIE IPLUEOE,LUENCE,FOiE IYTEULENCE,Io INPILCENCE,FoIE 1FLUENCE,INFlUENCE,Benevolence,FoIE INFLUENCE,FoIE,,,,,,,,,,,,,,,,
40,Providence,Prove-,,,,,,,,,,,,,,,,,,,,,,,
41,Berry Pomeroy,ROME,Feroc,moment''-she,Meroe,,,,,,,,,,,,,,,,,,,,
42,Hasty,has4,,,,,,,,,,,,,,,,,,,,,,,
43,merced,Perc,Percy,,,,,,,,,,,,,,,,,,,,,,
44,"MIster
Perey",Easter,,,,,,,,,,,,,,,,,,,,,,,
45,the Faroe Islands,Faroe,,,,,,,,,,,,,,,,,,,,,,,
46,INvent,Icnven,,,,,,,,,,,,,,,,,,,,,,,
47,INDIA,India,BOarding,iNdia,FInding,,,,,,,,,,,,,,,,,,,,
48,israel,Aeliag,el,,,,,,,,,,,,,,,,,,,,,,
49,Lady,LA,anl,,,,,,,,,,,,,,,,,,,,,,
50,Mloorlnnds,Mloorlands,Moorlunds,Moorlands,,,,,,,,,,,,,,,,,,,,,
51,Ilangillan,Milan,Llangwillan,,,,,,,,,,,,,,,,,,,,,,
52,Grill,LL,Ill.,Ill,lille,,,,,,,,,,,,,,,,,,,,
53,lOndon,LOndon,London,,,,,,,,,,,,,,,,,,,,,,
54,hong,herlong,,,,,,,,,,,,,,,,,,,,,,,
55,HO3E,Thou,,,,,,,,,,,,,,,,,,,,,,,
56,Old England,eNgland,England,england,,,,,,,,,,,,,,,,,,,,,
57,"Groevillc
Manor",Groeville,,,,,,,,,,,,,,,,,,,,,,,
58,Greville Manor,Grerille Manor,,,,,,,,,,,,,,,,,,,,,,,
59,Finland,Ireland,Highland,,,,,,,,,,,,,,,,,,,,,,
60,Ellen,Helen,lleaen,Ileaven,,,,,,,,,,,,,,,,,,,,,
61,Grnhame,Grahame,Cheltenham,,,,,,,,,,,,,,,,,,,,,,
62,Shetland,Scotland,,,,,,,,,,,,,,,,,,,,,,,
63,Maitland,Mlaitland,MIaitland,,,,,,,,,,,,,,,,,,,,,,
