cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93
-1,"KI

 

José Calêae","SACRIFICADA

familia",elle,Pobre 'Ferczinha,imanhã,Soror,Eduarda,Teresita do barbeiro,Baixa,intemperies,sofredôra,ix,herdaste,lha abrisso,ello,amnito serena,porto delle,Havana,Zéfinha da horta,oleografia barata,cllas de mágua,Infias,Auto da « Sebenta,"300
Gomes Leal","vin-
dima",opulencia,Nosso Senhor,men destino,familia,"aquello
santo",Cacilda,elle lhas,desconfiança,Tavares Cardoso,vonva,Iria,Sagramor,Córei,gárrulas,tam-,aquella santa casa,desinteresso,Estremoz,bruzu,Cho-,nella,Pôs,Yoltoi,Aquella,sus el,proxima,Viera,Dovia-lhos,Ma-,Tearão IxFASTIL,"estrada
Teal",metro partiu-lho mma aza,vivio,BACRIRICADA,alle,Já,Ulane,"Luisa da
Roda",k,promotedoras de fertes,Vergonhas,Vou,Poeta Sandade,atordoava,S.º,cpunham,lua,JE,Saudades do Ceu,Importa-me,sobresalton,nma,Plantado,nevada,Oh,FEL Titonaz,Hivremente,"Santas
Terezas de Jesus",anreolar,lovantar daquelle abismo,clla decifrava,Olho-mo,Hãode,bnço,Oiga,PEITICRIRA,Jarras,!,salvadora
0,HU,Ds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,dôce,dôco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Konte do Inferno,Yonte do Inferno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Fonte do Inferno,Fonte do Inferno?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,céo azul,Barba Azul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Peniche...,Peniche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Porquo,porquo,Dissemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Pedro Cem,Pedroso Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,uem,Ilte,Pés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
