cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16
0,pre,Tepreensões,Premia,preferoncia,Desprender,,,,,,,,,,,,
1,Podia,48 DIANIO,DIAKIO,tragedia,Diabo,DIABIO,"Via

DIARIO DUMA",,,,,,,,,,
2,Santo Deus,polo môsto de cheiro,santo Deus,Auto da « Sebenta,Adeus,Ab,últi-,,,,,,,,,,
3,"casa dos
Carneiros",Teresita do barbeiro,"Pnz dos
Povos",Casas,,,,,,,,,,,,,
4,Soror Claudea,Soror Gortrudes,saude,uem,qne,Hãode,Soror Magyoela,Pobre Soror Claudoa,Soror,Claudea,,,,,,,
5,k,Dahi,ahi,,,,,,,,,,,,,,
6,terra,Serra da Estrella,ra,Jarras,Vou,Inglaterra,,,,,,,,,,,
7,lha,Veja-a,Jilhas,lha abrisso,Talhados,Olha,tilha,,,,,,,,,,
8,Olho-mo,fui-mo,Chamaram-mo,,,,,,,,,,,,,,
9,Senhora de Castelo,"se-
nhora morgada",Senhora do Castelo,herdaste,"KI

 

José Calêae",Senhora do Castelo...,,,,,,,,,,,
10,Africa,America,burvica,tisica,Amérricana,si-,Maricas,Amérrica,,,,,,,,,
11,Mocidado,comunidado,aiuda,dulcida,vivacidado,,,,,,,,,,,,
12,Pobre 'Ferczinha,coitadinha,Vinha,crescidinha jk,rôxos,Tenha,minas batatinhas,Aninhei-me,Torezinha,cosinha,Terezinha,pinhel,Ilte,cpunham,Zéfinha da horta,Minha,Espanha
13,Perdão,Próspera,Viera,hóspeda,Prós-,"Maria do
Próspero",lua,HU,"mo
osperava",,,,,,,,
14,sempro,Sempro,Dissemo,,,,,,,,,,,,,,
15,Reco,cllas de mágua,promotedoras de fertes,Eóló,"claustro de cima
aponas","Santas
Terezas de Jesus",,,,,,,,,,,
16,vonva,Vai-to,Córei,,,,,,,,,,,,,,
17,Olhe,Eolheto,pavôr,Veja-lhe,,,,,,,,,,,,,
18,Mariquinhas,Marviquinhas,Vergonhas,Mariguinhas,,,,,,,,,,,,,
