cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118,elem_119,elem_120,elem_121,elem_122,elem_123,elem_124,elem_125,elem_126,elem_127,elem_128,elem_129,elem_130,elem_131,elem_132,elem_133,elem_134,elem_135,elem_136,elem_137,elem_138,elem_139,elem_140,elem_141,elem_142,elem_143,elem_144,elem_145,elem_146,elem_147,elem_148,elem_149,elem_150,elem_151,elem_152,elem_153,elem_154,elem_155,elem_156,elem_157,elem_158,elem_159,elem_160,elem_161,elem_162,elem_163,elem_164,elem_165,elem_166,elem_167,elem_168,elem_169,elem_170,elem_171,elem_172,elem_173,elem_174,elem_175,elem_176,elem_177,elem_178,elem_179,elem_180,elem_181,elem_182,elem_183,elem_184,elem_185,elem_186,elem_187,elem_188,elem_189
-1,Vamos,"KI

 

José Calêae",tomara,"SACRIFICADA

familia",Pedir,elle,Pobre 'Ferczinha,aiuda,imanhã,Soror,Eduarda,Teresita do barbeiro,intemperies,sabbat,sofredôra,volta delle,herdaste,daquelle,Zarôlha,lha abrisso,"se-
gniram",es viajantes,ello,amnito serena,porto delle,Havana,Zéfinha da horta,Angelus,oleografia barata,cllas de mágua,Jbe,Infias,Perdão,"Gertrndos
Zarôlha",rétidão,Auto da « Sebenta,"300
Gomes Leal","vin-
dima",opulencia,Pequena,Soror Angelica,Espanha,Corre,Chamaram-mo,men destino,familia,pará,Manél da Clara do Rezadeira,Abrenuncio,cadete,"aquello
santo",Resignada,Cacilda,elle lhas,desconfiança,"Clara de
Rezedeira",Tavares Cardoso,vonva,ID,HU,Iria,SACRIFIÇADA,Sagramor,Córei,Posso,Camborço,gárrulas,tam-,aquella santa casa,desinteresso,Eóló,tornon,"cam-
pos",Serra da Estrella,crescidinha jk,pormenorisava,Estremoz,sêér,bruzu,Madre Angelica,Cho-,uem,Chamou-a,Paris,preferoncia,nella,Pôs,Encostada,Yoltoi,TANGO,Aquella,sus el,proxima,coitadinha,gião,Ere,Viera,Ilte,"Clara do
Rezadeira",Dovia-lhos,Ma-,Tearão IxFASTIL,capola,"estrada
Teal",Dissemo,burvica,Tonito,Ds,costune delle,celegio,rôxos,Crédo,Rezadeira,Priste,metro partiu-lho mma aza,Ixreutzss,minas batatinhas,"rapariga
uubil",vivio,BACRIRICADA,tndo,alle,Ab,Já,Ulane,Clara,"Luisa da
Roda",Pautino de Oliveira,k,promotedoras de fertes,exam,TIE,Vergonhas,ingenna,herva,Decerto,Martinho,Vou,Poeta Sandade,atordoava,S.º,fui-mo,cpunham,Ina da Camera Rego,lua,JE,mamã sabe,Saudades do Ceu,Importa-me,sobresalton,dornas,nma,Plantado,nevada,Marques,Oh,FEL Titonaz,Pés,polo môsto de cheiro,fecbou,"241

Angelica",Hivremente,Vai-to,Geitoso,"Santas
Terezas de Jesus",Amhos,anreolar,inconsciontemento,feitôr,tompo,lovantar daquelle abismo,"claustro de cima
aponas",clla decifrava,Esplendores do Srcerdocio,Olho-mo,Hãode,Fechaudo,brovo &,softor,bnço,si-,saude,Oiga,PEITICRIRA,Jarras,Sévres,!,salvadora,Jhiam,segnida
0,desmantelos,Ífante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,es,Mes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ouves,Jeves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,quizesso,estivesso,Estive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,snor,Nortyres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,crescento,álacres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Minha,Vinha,cosinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mariquinhas,Mariguinhas,Marviquinhas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Terezinha,Torezinha,"Terezinha da Zófa
do Padre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
