cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
0,pre,Reco,Compreendia,Tepreensões,Ixreutzss,Ere,Premia,preferoncia,lugubre,,,,,,,,,,,
1,"pas-
sar","pas-
sado",,,,,,,,,,,,,,,,,,
2,us,Santo Deus,polo môsto de cheiro,santo Deus,Auto da « Sebenta,Desatou,Adeus,Emqnanto,,,,,,,,,,,,
3,Tvol,vonva,Vou,I vol,Lvol,Ivol,,,,,,,,,,,,,,
4,Esquecia-mo,fui-mo,Esquecia,,,,,,,,,,,,,,,,,
5,Portugal,n'Portugal,em Portugal,,,,,,,,,,,,,,,,,
6,terra,Surrateiramente,herdaste,Viera,promotedoras de fertes,Eóló,Inglaterra,,,,,,,,,,,,,
7,lha,vólhota,Jilhas,lha abrisso,Talhados,Olha,tilha,nossa velha igreja,,,,,,,,,,,,
8,Senhora de Castelo,Senhora do Castelo,Serra da Estrella,Senhora do Castelo...,"visinho cemiterio grasnaram agoi-
rentamente",,,,,,,,,,,,,,,
9,gnem,Ningnem,uem,qne,,,,,,,,,,,,,,,,
10,Mocidado,comunidado,nevada,Morgado,dulcida,vivacidado,,,,,,,,,,,,,,
11,Acordara,Recordava,"ú

Acordara",Eduarda,,,,,,,,,,,,,,,,
12,coitadinha,Vinha,visinho,vivio,cosinha,pinhel,cpunham,"vin-
dima",Minha,,,,,,,,,,,
13,Perdão,Próspera,hóspeda,Prós-,"Maria do
Próspero","mo
osperava",,,,,,,,,,,,,,
14,sempro,Pigro,"proprio
Diabo em pessôa !",proxima,Sempro,Dissemo,,,,,,,,,,,,,,
15,"se-
nhora morgada",Senhora,"Senhorã
dos Verdes",Tenho,Nosso Senhor,Senhorã,Senhora Gertrudes,Senhora Condessa,,,,,,,,,,,,
16,aq,lovantar daquelle abismo,Aquelle,aquelle,Aquella,Naquelle,paquêta,"aquello
santo",naquelle,Pequena,daquelle,,,,,,,,,
17,Olho-mo,Olhe,herva,Eolheto,Veja-lhe,,,,,,,,,,,,,,,
18,crescidinha jk,Escrevia,deviaZ,álacres,crescento,brevo,,,,,,,,,,,,,,
19,olla,nella,capola,anreolar,"olla mote-
java",,,,,,,,,,,,,,,
20,flôr,valôr,lôrpas,feitôr,,,,,,,,,,,,,,,,
21,Mariquinhas,Marviquinhas,Martinho,Mariguinhas,,,,,,,,,,,,,,,,
22,clla decifrava,Teresita do barbeiro,"Clara do
Rezadeira",Clara do Reza-,Pautino de Oliveira,Rezadeira,Manél da Clara do Rezadeira,Clara,Clara do Rezadoira,"Clara de
Rezedeira",,,,,,,,,,
23,Chegon-me,Chegon,Hon-,Aninhei-me,,,,,,,,,,,,,,,,
24,Ai,Vai-to,Caia,aiuda,Baixa,,,,,,,,,,,,,,,
25,Socegasso,Posso,So,"dei-
xasso",,,,,,,,,,,,,,,,
26,Choravam,Cho-,Havana,Chorava,atordoava,salvadora,pormenorisava,mulhor,Abraçava,,,,,,,,,,,
27,bôas,Bôn,Lisbôa,,,,,,,,,,,,,,,,,
28,grandoza,Ina da Camera Rego,grandoza da arte,Confiando da Ama-Rita,Barba Azul,"Luisa da
Roda",metro partiu-lho mma aza,Zéfinha da horta,,,,,,,,,,,,
29,Oiga,COIMBRA,Jbe,bruzu,Coisa,Coimbra,nova companhoira,Academia do Coimbra,,,,,,,,,,,,
30,Conselhos,Aconselhava-a,Dovia-lhos,Joelhos,,,,,,,,,,,,,,,,
31,Resignada,Madre,Padre,Madrid,bom do padre,Pobre Madre,,,,,,,,,,,,,,
32,céo azul,"241

Angelica",Madro Angelica?,Madro Augelica,Angelus,Zéfa do Padro,Madre Angelica,,,,,,,,,,,,,
33,nma,damasco,exam,Ma-,Ama,mamã sabe,Jhiam,Chamaram-mo,Ama-Rita,fúrma,,,,,,,,,,
34,Infias,vasia,Á sim-,bôca vasia,silvas,,,,,,,,,,,,,,,
35,Ultimas,lagrimas,gárrulas,últi-,TIE,,,,,,,,,,,,,,,
36,grande chapéo,chapéo,Chamou-a,"sen
chapéo",Pés,chapéo móle,,,,,,,,,,,,,,
37,Mignelsinho,Miguel,Miguelsinho,,,,,,,,,,,,,,,,,
38,gião,ix,Tearão IxFASTIL,HU,,,,,,,,,,,,,,,,
39,Plumeiras,nogueira,!,PEITICRIRA,Freira,ICEIRA,Córei,sofredôra,palreiras,,,,,,,,,,,
40,rôxos,contér,Contos,ontão,Continuará,tôr comnosco,,,,,,,,,,,,,,
41,Inta,Intas,Dastanto,aquella santa casa,Santas,TANGO,Poeta Sandade,Plantado,Ífante,Casas,"Santas
Terezas de Jesus",Jantas,,,,,,,,
42,imanhã,vianda,Manil,Mand,tndo,Anda,confandia,Mancl,Candia,,,,,,,,,,,
43,fecbou,poudo,Dous,oudo,Fechaudo,Crédo,,,,,,,,,,,,,,
44,vêr,vêr-me,revêr,S.º,,,,,,,,,,,,,,,,
45,Peniche...,Peniche,Chico,penson,,,,,,,,,,,,,,,,
46,Raqnel,Fira,tragedia,"se-
gniram",braza,fóra,tomara,Brazil,Paraphraso,ra,fúra,Sagramor,Fôra,graçada,Jarras,tra,Fôra ne-,Jembrara,oleografia barata,
47,"Christina
Será",Christina,Oh,Ohristina,assistin,Assistin,,,,,,,,,,,,,,
48,"casa dos
Carneiros",cadete,burvica,tisica,causticar,roca,Bibliotica,Bocaok,Maricas,,,,,,,,,,,
49,Podia,48 DIANIO,DIAKIO,Abrenuncio,Diabo,DIABIO,Ab,,,,,,,,,,,,,
