cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16
0,us,Dous,sus el,,,,,,,,,,,,,,
1,pre,k,Reco,Compreendia,Tepreensões,Premia,preferoncia,Desprender,,,,,,,,,
2,"casa dos
Carneiros",Teresita do barbeiro,"KI

 

José Calêae","Pnz dos
Povos",Casas,,,,,,,,,,,,
3,Tvol,vonva,I vol,Lvol,Ivol,,,,,,,,,,,,
4,Soror Claudea,saude,Soror Magyoela,Pobre Soror Claudoa,Soror,"claustro de cima
aponas",Claudea,,,,,,,,,,
5,Farta,Rtar,,,,,,,,,,,,,,,
6,Esquecia-mo,fui-mo,Esquecia,Oh,opulencia,,,,,,,,,,,,
7,Portugal,n'Portugal,em Portugal,Importa-me,,,,,,,,,,,,,
8,terra,Serra da Estrella,promotedoras de fertes,Jarras,Inglaterra,,,,,,,,,,,,
9,lha,Jilhas,lha abrisso,Talhados,Olha,Zarôlha,tilha,nossa velha igreja,"Gertrndos
Zarôlha",,,,,,,,
10,Senhora de Castelo,Senhora do Castelo,herdaste,Senhora do Castelo...,,,,,,,,,,,,,
11,gnem,Ningnem,uem,,,,,,,,,,,,,,
12,Mocidado,comunidado,Morgado,dulcida,vivacidado,,,,,,,,,,,,
13,Acordara,Recordava,nascorá,"ú

Acordara",Eduarda,,,,,,,,,,,,
14,ix,Ixreutzss,Tearão IxFASTIL,Baixa,,,,,,,,,,,,,
15,aq,Raqnel,qne,,,,,,,,,,,,,,
16,Perdão,Próspera,Ds,hóspeda,Prós-,"Maria do
Próspero","mo
osperava",,,,,,,,,,
17,sempro,"campo sem obstacu-
los",proxima,Sempro,Dissemo,,,,,,,,,,,,
18,Santo Deus,polo môsto de cheiro,santo Deus,Auto da « Sebenta,Adeus,Emqnanto,,,,,,,,,,,
19,"se-
nhora morgada",Senhora,"Senhorã
dos Verdes",Tenho,Nosso Senhor,Senhorã,Senhora Condessa,,,,,,,,,,
20,Olho-mo,Olhe,herva,Eolheto,,,,,,,,,,,,,
21,Escrevia,deviaZ,crescento,,,,,,,,,,,,,,
22,cllas de mágua,olla,nella,capola,anreolar,"olla mote-
java",,,,,,,,,,,
23,flôr,valôr,lôrpas,Eóló,feitôr,,,,,,,,,,,,
24,Mariquinhas,Marviquinhas,Martinho,Vergonhas,Mariguinhas,,,,,,,,,,,,
25,"Clara do
Rezadeira",Clara do Reza-,Rezadeira,Manél da Clara do Rezadeira,Clara,Clara do Rezadoira,"Clara de
Rezedeira",,,,,,,,,,
26,Chegon-me,Chegon,Hon-,,,,,,,,,,,,,,
27,Ai,Vai-to,Caia,aiuda,,,,,,,,,,,,,
28,Socegasso,Posso,So,"dei-
xasso",,,,,,,,,,,,,
29,Choravam,Cho-,Horída,clla decifrava,Chorava,atordoava,salvadora,pormenorisava,mulhor,Abraçava,,,,,,,
30,Soror Gortrudes,Soror Gertrudes,Senhora Gertrudes,Gertrudes Zarôlha,"Ó
Gertrudes",,,,,,,,,,,,
31,Mancela,Maucela,Mancl,desmantelos,,,,,,,,,,,,,
32,lovantar daquelle abismo,Aquelle,aquelle,Aquella,Naquelle,paquêta,"aquello
santo",naquelle,Pequena,daquelle,,,,,,,
33,bôas,Bôn,Lisbôa,,,,,,,,,,,,,,
34,grandoza,Ina da Camera Rego,grandoza da arte,tndo,Confiando da Ama-Rita,,,,,,,,,,,,
35,"sim-
patia","cam-
pos",Á sim-,,,,,,,,,,,,,,
36,Podia,48 DIANIO,DIAKIO,tragedia,Diabo,DIABIO,"proprio
Diabo em pessôa !",Ab,,,,,,,,,
37,"Christina
Será",Christina,Christo,Ohristina,Priste,,,,,,,,,,,,
38,Amhos,vólhota,Conselhos,Aconselhava-a,HU,Joelhos,,,,,,,,,,,
39,sen bonito,sen bonito bigode,amnito serena,Tonito,,,,,,,,,,,,,
40,Estive,quizesso,estivesso,men destino,,,,,,,,,,,,,
41,Madre,Padre,Madre Clandea,Madrid,Pobre Madre,Madre Claudes,,,,,,,,,,,
42,"241

Angelica",Madro Angelica?,Soror Angelica,Madro Augelica,Angelus,Madre Angelica,,,,,,,,,,,
43,nma,damasco,exam,Ma-,Ama,mamã sabe,Campos Lima,Jhiam,Chamaram-mo,Ama-Rita,Vamos,fúrma,tam-,,,,
44,Infias,vasia,si-,bôca vasia,silvas,,,,,,,,,,,,
45,Ultimas,lagrimas,últi-,"vin-
dima",,,,,,,,,,,,,
46,JE,grande chapéo,chapéo,Chamou-a,"sen
chapéo",Pés,chapéo móle,,,,,,,,,,
47,visinho,Mignelsinho,Miguel,Miguelsinho,,,,,,,,,,,,,
48,Plumeiras,nogueira,Pautino de Oliveira,PEITICRIRA,Freira,ICEIRA,Córei,sofredôra,palreiras,,,,,,,,
49,inconsciontemento,rôxos,contér,Jbe,Pôs,Contos,ontão,Continuará,,,,,,,,,
50,cadete,SACRIPICADA,Cacilda,BAORIFICADA,BACRIFICADA,nevada,SACRIFICADA,"Madre

 

 

 

 

BACRIFICADA",BACRIRICADA,"SACRIFICADA

familia",BACHIFICADA,SACHIFICADA,BAPRIFICADA,,,,
51,Inta,Intas,Dastanto,aquella santa casa,Santas,TANGO,Plantado,Ífante,"Santas
Terezas de Jesus",Jantas,,,,,,,
52,gôto,tornon,softor,této,tomara,tompo,TO,aféto,Yoltoi,Decerto,FEL Titonaz,Geitoso,,,,,
53,fecbou,poudo,oudo,Fechaudo,Já,Vou,Crédo,,,,,,,,,,
54,vêr,vêr-me,revêr,,,,,,,,,,,,,,
55,Peniche...,Peniche,,,,,,,,,,,,,,,
56,Superiora,intemperies,Madre-Superiora,Madre Superiora,cemiterio público,,,,,,,,,,,,
57,Fira,Viera,"se-
gniram",braza,"estrada
Teal",fóra,Brazil,Paraphraso,ra,fúra,Sagramor,Fôra,graçada,tra,Fôra ne-,Jembrara,oleografia barata
58,gião,Chico,Cbico,,,,,,,,,,,,,,
59,burvica,tisica,causticar,Bibliotica,,,,,,,,,,,,,
60,Pigro,roca,Bocaok,,,,,,,,,,,,,,
61,"SACRIFIGADA

Falou",Oiga,SACRIFIGADA,"SACRIFIGADA

Y",SACRIFIÇADA,,,,,,,,,,,,
62,!,assistin,Assistin,,,,,,,,,,,,,,
63,vianda,Mand,Anda,Poeta Sandade,confandia,Candia,,,,,,,,,,,
64,Ulane,Relia,gárrulas,Eulalia,familia,Enlalia,,,,,,,,,,,
65,Saudades do Ceu,Pedir,Pedro Cem,Pedroso Rodrigues,,,,,,,,,,,,,
66,dôce,dôco,,,,,,,,,,,,,,,
67,Ilistorias,bistoria,Ifistoria,,,,,,,,,,,,,,
68,Yonte do Inferno,Fonte do Inferno?,Fonte do Inferno,Konte do Inferno,,,,,,,,,,,,,
69,Dizialhe,"Via

DIARIO DUMA",Dizia-me,mo dizia,,,,,,,,,,,,,
70,"apa-
nhando nm",Pa-,apa-,pavôr,,,,,,,,,,,,,
71,Paraizo,Dispensariam,Paris,pará,"rapariga
uubil",,,,,,,,,,,,
72,Mens,EN,responden,Dens,Hãode,penson,,,,,,,,,,,
73,Pobre 'Ferczinha,"Terezinha da Zófa
do Padre",Ere,Torezinha,Terezinha,,,,,,,,,,,,
74,Porquo,porquo,,,,,,,,,,,,,,,
75,bom do padre,Zéfa do Padro,metro partiu-lho mma aza,,,,,,,,,,,,,,
76,snor,Qnom,om,qno,,,,,,,,,,,,,
77,COIMBRA,Coimbra,Academia do Coimbra,,,,,,,,,,,,,,
78,"pas-
sar","pas-
sado",,,,,,,,,,,,,,,
79,Surrateiramente,Camborço,Entroncamento,"visinho cemiterio grasnaram agoi-
rentamente",Hivremente,Joncamente,,,,,,,,,,,
80,Abrenuncio,bruzu,brovo &,lugubre,brevo,,,,,,,,,,,,
81,Alemtejo,Ilte,Tejo,dosejo,,,,,,,,,,,,,
82,Dahi,sahir,Sahira,sahio,ahi,Sahi,Sahir,,,,,,,,,,
83,Sentia-so,"Presentimen-
tos",Entio,TIE,,,,,,,,,,,,,
84,céo azul,Barba Azul,,,,,,,,,,,,,,,
85,vivio,sabbat,Coisa,VISA,"Luisa da
Roda",ig deslisar,,,,,,,,,,,
86,"quasi
odiento","quasi
caveira",Quasi,lua,quasi,,,,,,,,,,,,
87,Jidalga,rétidão,segnida,ID,Lima Vidal,,,,,,,,,,,,
88,elle lhas,alle,porto delle,ello,elle,volta delle,costune delle,,,,,,,,,,
89,tôr comnosco,nova companhoira,& cova,,,,,,,,,,,,,,
90,ceremonia,Estremoz,coremonia,,,,,,,,,,,,,,
91,Fitava-a,Havana,Tavares Cardoso,sta,Saltava,Encostada,Estados-Unidos,Gostava,,,,,,,,,
92,Veja-a,Dovia-lhos,Veja-lhe,,,,,,,,,,,,,,
93,celegio,Tigre,alegre,Alegre,,,,,,,,,,,,,
94,Africa,America,Amérricana,sêér,Maricas,Amérrica,,,,,,,,,,,
95,imanhã,Pambem Manoela,Soror Manoela,Manil,"Seror
Manoela",Manoola,Maneela,Manoel,"Soror
Manoela",Manoela,Manoal,,,,,,
96,Una,"una
pessõa",pessõas,,,,,,,,,,,,,,
97,coitadinha,Vinha,crescidinha jk,Tenha,minas batatinhas,Aninhei-me,cosinha,pinhel,cpunham,Zéfinha da horta,Minha,Espanha,,,,,
98,Carsões,Resignada,álacres,Sévres,Desatou,"300
Gomes Leal",Mes,desajava,desinteresso,Esplendores do Srcerdocio,es viajantes,Jeves,Ouves,Nortyres,Marques,es,sobresalton
99,bnço,bemaventurança,Cederia,ORIANÇA,materialisar,S.º,Iria,desconfiança,França,eriança,,,,,,,
100,Sorria,Corre,Sorri,,,,,,,,,,,,,,
101,ingenna,torminar,dornas,Chinas,ruinas,Ina,,,,,,,,,,,
