cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0.0,Monte,mone,mons,Sermon,,,,,
1.0,alle,- Follet,Caballero,Allemagne,calle San-Agustin,,,,
2.0,"au-
tre",tre,au-,,,,,,
3.0,ger,gers,alger,,,,,,
4.0,cher,breche,Lherbe,cheval.2l8,,,,,
5.0,LACAN5AS,Acacia,Alaceyte,,,,,,
6.0,lons,Lon,Allons,nousvoulonsjouir,,,,,
7.0,Coeur Loyal,Coeur Local,LEUR L0YAL,Gaeur Loyal,mer du Coeur Loyal,Leur Loyal,mer du Leur Loyal,"mer du
Coeur Loyal",Coeur Loyal paula
8.0,"n0
Eusebio",Syracuse,"rendaientsongeuse
i190",breuse,,,,,
9.0,pologne,gne,gne7,,,,,,
10.0,in-3,In-l2,In-1E,,,,,,
11.0,Trace,grace,letras,,,,,,
12.0,RAPPEURS,Leurs,TAPPEU9,"dupe,60 tES RAPPEURS",RAPPEUR,LES RAPPEURS9,IES RAPPEURS,,
13.0,oeil,OEil,Oeil,laeil,,,,,
14.0,chambre separee,cambree,bree,,,,,,
15.0,Tete d'aigle,La Tele d'Aigle,La Tete d'Aigle,piste de la Tete d'Aigle,Tete d'Aigle,"Tete
d'Aigle",Tete dAigle,Tete d' Aigle,Tele d'Aigle
16.0,entrecoupee de montagnes,Guadeloupe,entrecoup,,,,,,
17.0,indiens,Indien,Indiennes,L'Indien,Indiens,Les Indiens,sion indienne,Indies,
18.0,"anveeraoosent
-",sentra,,,,,,,
19.0,Merced,sansaimer,LAnSANA,,,,,,
20.0,Chacun,LHACIENDA,lhacienda,cienda,,,,,
21.0,A15,A157,,,,,,,
22.0,"---
- Madame la Ml",A minuit,g-----,,,,,,
23.0,utah,Sautant,ecouta,,,,,,
24.0,Llan,Elan,rElan,Helas,,,,,
25.0,Etudes,des-2l,Bermudez,ades,,,,,
26.0,"celle-l.
Dona Luz",selle,le-,paule,Luz,,,,
27.0,textevenu,venaison,connaissez,pr-DE LIBANAIS,,,,,
28.0,Guadalajara,armes.a6,marmara,,,,,,
29.0,Parties,Partez,- Partez,gal du depart,,,,,
30.0,camp,campana,Pana-,c0te du Cerro de la campana,,,,,
31.0,regler,ler,regle,,,,,,
32.0,mornes,orne,,,,,,,
33.0,l'Aigle,"Tete
l'Aigle","Tele
d'Aigle",l'aieul,Aigle,,,,
34.0,voi,Voil,,,,,,,
35.0,.--EeA20,.--c,".--EeA20
LEs",,,,,,
36.0,pas-DE,-DE,pasto,"malade7
- Pas moi",,,,,
37.0,Inde,conde,joindre.16,Indens,,,,,
38.0,Lancers,BAlANcer,Blancs,,,,,,
39.0,prairie168,"T F
T
LA PRAIRIE",,,,,,,
40.0,Comanchessont,Comanches,C0MANCHEs,Tte Blanche,manche,Comanche,la manche,Les Comanches,piste des Comanches
41.0,deux Ocean,deurope,Europe,europe,Gouveruemeuls de l'Europe,l'Europe,,,
42.0,Vaincue,Incas,Convaincu,ain,,,,,
43.0,alluma,Pumas,,,,,,,
44.0,"2--
aupres",pres,Apres,,,,,,
45.0,Arriver,Arrive,Arrives,river7,,,,,
46.0,tachet,machete,Tache,achet8,,,,,
47.0,"z:::,;::;:;:IGn",nzz::::::--,z::::z,zc:.:z::cc,z::::-,,,,
48.0,Ooouhl,LA T0RTUHL,,,,,,,
