cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0,Monte,mone,tont,,,,,,,,,,,,,
1,alle,P,"celle-l.
Dona Luz",selle,alluma,"calle del Rosario,-",- Follet,i83,Caballero,Allemagne,calle San-Agustin,J',,,,
2,Lu-,Pluie,I09,au-,Luz,,,,,,,,,,,
3,mornes,orne,,,,,,,,,,,,,,
4,enne,mayenne matches,ennes,rennes,Vienne,en',mignonne,liennes,nenl,Kennedy,,,,,,
5,ger,ge,gers,alger,guer-,,,,,,,,,,,
6,cher,D,Och 1l,breche,bitche,Lherbe,cheval.2l8,,,,,,,,,
7,0li-,i-,Mlexi-,i-12,Ai-,TRi-,,,,,,,,,,
8,lons,Lon,Finissons-en,mons,Allons,Lol,nousvoulonsjouir,,,,,,,,,
9,Ee,ygee,Yankees,spee,,,,,,,,,,,,
10,Coeur Loyal,Coeur Local,LEUR L0YAL,Gaeur Loyal,mer du Coeur Loyal,Leur Loyal,mer du Leur Loyal,"mer du
Coeur Loyal",Coeur Loyal paula,,,,,,,
11,"n0
Eusebio",N0,breuse,,,,,,,,,,,,,
12,pologne,gne,gne7,E,,,,,,,,,,,,
13,Etats,hatto,Etat,eTats-Unis,Etats-Unis,Les Etats-Unis,Cetait,etats,,,,,,,,
14,camp,Am-,campana,"camp
- Pardieul",a08,A99,,,,,,,,,,
15,Trace,grace,Alaceyte,Syracuse,letras,Miracle,,,,,,,,,,
16,RAPPEURS,Leurs,OurS.,TAPPEU9,"parole168
ILES TRAPPEURS",ILES TRAPPEUR9,I29,"dupe,60 tES RAPPEURS",RAPPEUR,LES RAPPEURS9,TRAPPES,trappes,IES RAPPEURS,,,
17,IL1,oeil,Phoebe,OEil,Oeil,laeil,,,,,,,,,,
18,Tete d'aigle,La Tele d'Aigle,La Tete d'Aigle,piste de la Tete d'Aigle,Tete d'Aigle,"Tete
d'Aigle",Tete dAigle,Tete d' Aigle,Tele d'Aigle,,,,,,,
19,armes.a6,A6,,,,,,,,,,,,,,
20,indiens,Indien,Indiennes,h,difficult,L'Indien,Indiens,Les Indiens,sion indienne,Indies,,,,,,
21,Le Soleil,Le soleil,Soleil,le soleil,le Soleil,soleil,,,,,,,,,,
22,limpunit,reunis,reunion,,,,,,,,,,,,,
23,t.a10,J1,3r,A15,A157,TFt,,,,,,,,,,
24,utah,Sautant,Ah1,,,,,,,,,,,,,
25,Llan,Elan,Blancs,rElan,LAnSANA,atlanta spectacle,Helas,,,,,,,,,
26,CEs,delices,Cessita,nice,L'ouest,,,,,,,,,,,
27,Parties,Partez,- Partez,gal du depart,,,,,,,,,,,,
28,regler,colere,Angleterre,ler,regle,,,,,,,,,,,
29,l'Aigle,"Tete
l'Aigle","Tele
d'Aigle",l'aieul,Aigle,,,,,,,,,,,
30,Quoi7,fois.28l,voi,danois,vo,loigna,Voil,,,,,,,,,
31,.--EeA20,z':;.-,.--c,A23,g-----,".--EeA20
LEs",,,,,,,,,,
32,Inde,conde,joindre.16,Indens,,,,,,,,,,,,
33,Babillard,Ab59,Babil-,Aguilar,Babillard7,"Jardin i
ton",Rio Gila,t38,,,,,,,,
34,Comanchessont,"Roman-
ches",Comanches,C0MANCHEs,mtches,Tte Blanche,manche,Comanche,Roman-,la manche,Les Comanches,piste des Comanches,,,,
35,"au-
tre",extremitles,tre,retirez,"autre,3l0",otr,bleutre,extreme,rer,Tres-bien,,,,,,
36,yII,-iiiiiii.ii,l35,,,,,,,,,,,,,
37,Vaincue,Convaincu,ain,A,,,,,,,,,,,,
38,"2--
aupres",pres,Delawares,Apres,prets,mee resultat,epreues,,,,,,,,,
39,Caches,I107,Apaches,tachet,machete,Tache,achet8,,,,,,,,,
40,Chacun,LHACIENDA,lhacienda,Societ,"rendaientsongeuse
i190",cienda,,,,,,,,,,
41,Lavait,lavie,vie.vI,Vieme,,,,,,,,,,,,
42,Dieune,Lune,mune,Lejeune,lune,Aucune,,,,,,,,,,
43,Acropolis,metropole,trot,,,,,,,,,,,,,
44,CHAsSEURS,LAGRASSE,Leschasseurs,l assez-le l,,,,,,,,,,,,
45,Eshis,alpes,"pais.8n
LES APPUIS",arreles,LEs,"ILES 1APEUR
- Ils",Familles,LES,"la-
ble","conseil.278
LES",Les,le-,t.es,etle,Etle,les96
46,tala,Anglais,Palais,"Palais et
Apaches",palais quil,"malade7
- Pas moi",,,,,,,,,,
47,grotte de la riviere,pr-DE LIBANAIS,c0te du Cerro de la campana,piste de la,rue de l'Abbaye,golfe de Cali-,nes de l',piste des jaguars,pise,,,,,,,
48,possible7,CG',Aussit0,Assis,Mississipi,Pumas,lassassin,Cassini0moins,,,,,,,,
49,Accordez,"accoutumes a bra-
ver",Regardez,Cordoue,,,,,,,,,,,,
50,Arriver,Arrive,Arrives,river7,Lives,,,,,,,,,,,
51,severe,Ehl Corail,sauverail,sauver.3:8,sauvezl,,,,,,,,,,,
52,I,Vivant,Avantde,Va,,,,,,,,,,,,
53,Canadienne,ganado,Canadien,,,,,,,,,,,,,
54,Guadalajara,Quarante,Quate,nantes,jaguar,,,,,,,,,,,
55,deurope,Europe,Createur,D0ACTEUR,europe,Gouveruemeuls de l'Europe,l'Europe,,,,,,,,,
56,Ih-,vis-h-,,,,,,,,,,,,,,
57,in-3,In-l2,In-1E,in-8,in-8-,2v.in-8-,,,,,,,,,,
58,camp des Mexicains,Americains,gamUusinos mexicains,Mexico,cathedrale de Mexico,MExicains,Mexicaine,Mexicains,Americaines,,,,,,,
