cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20
0,Etat,mee resultat,etats,I29,Etats,et6e,atlanta spectacle,Cetait,et106,hatto,Etat de Sonora,,,,,,,,,,
1,Arrives,Lives,river7,Arrive,Arriver,7I,,,,,,,,,,,,,,,
2,moyen3,"moyen3
- Est",Moyen Age,,,,,,,,,,,,,,,,,,
3,A6,t38,P,armes.a6,,,,,,,,,,,,,,,,,
4,echo,a375,gsece,Phoebe,aec,Och 1l,vecu,breche,choire,,,,,,,,,,,,
5,Sierra Madre,"---
- Madame la Ml",Sierra Madre les Indiens,Sierra CAdre,J',sie,rancon de ma mere,,,,,,,,,,,,,,
6,sentra,Trace,"rendaientsongeuse
i190","anveeraoosent
-",senora,entrecoupee de montagnes,,,,,,,,,,,,,,,
7,camp,ca,- Caspita,Ca,Carthage,renonca,Mezcal,Incas,carrey,,,,,,,,,,,,
8,RAPPEUR,RAPPEURS,"ILES 1APEUR
- Ils",TRAPPES,ILES TRAPPEUR9,trappes,LES RAPPEURS9,TAPPEU9,"dupe,60 tES RAPPEURS",IES RAPPEURS,,,,,,,,,,,
9,gre,Malgre,grin,grenoble,langres,retirez,gr,,,,,,,,,,,,,,
10,general,general3,l35,- General,i83,ner,neral,,,,,,,,,,,,,,
11,au-,sauverail,sauver.3:8,Ehl Corail,sauvezl,,,,,,,,,,,,,,,,
12,soleil,le soleil,TFt,Soleil,le Soleil,Le soleil,Le Soleil,,,,,,,,,,,,,,
13,volez,Ooouhl,Voulez,difficult,A,nousvoulonsjouir,Voyez,paule,Boulot,toul,,,,,,,,,,,
14,l assez-le l,Russe,russie,Syracuse,Pousse,"n0
Eusebio",se196,,,,,,,,,,,,,,
15,I39,Etle,metropole,etle,- Follet,letras,,,,,,,,,,,,,,,
16,.--EeA20,I09,".--EeA20
LEs",A23,z':;.-,.--c,g-----,,,,,,,,,,,,,,
17,Cordoue,Quelque,quelajeune,Quebec,tue1,Attaques,suez,"quelques386
LES TRAPPEURS",Utique,que',Pacifique,,,,,,,,,,
18,Familles,LEs,LES,extremitles,arreles,L'ouest,alpes,Les,les96,le-,"conseil.278
LES",d6-,Eshis,t.es,Yankees,CEs,,,,,
19,D0ACTEUR,Hor simples MeursaiIr,Leurs,Leschasseurs,CHAsSEURS,Createur,"parole168
ILES TRAPPEURS",MeursaiIr,OurS.,,,,,,,,,,,,
20,i-12,i-,TRi-,Ai-,Mlexi-,3r,0li-,,,,,,,,,,,,,,
21,somme,so,commengca,s0mme8,Hommes,commuaute,somme en-DE,Nonchalamment,,,,,,,,,,,,,
22,- Dici,on118,- On1,L o on Elio,,,,,,,,,,,,,,,,,
23,Les Indiens,L'Indien,sion indienne,Indien,"Jardin i
ton",joindre.16,Indiennes,Lendroit o,Indies,Indens,indiens,Indiens,,,,,,,,,
24,et270,t27,t23,,,,,,,,,,,,,,,,,,
25,Gambusinos,Gambusino,gambusinos,,,,,,,,,,,,,,,,,,
26,bree,Ee,breuse,cambree,spee,chambre separee,,,,,,,,,,,,,,,
27,yII,CG',C,-iiiiiii.ii,,,,,,,,,,,,,,,,,
28,Partez,- Arretez,- Partez,"camp
- Pardieul",,,,,,,,,,,,,,,,,
29,I',trc::r,z::::z,zc:.:z::cc,z::::-,"z:::,;::;:;:IGn",nzz::::::--,,,,,,,,,,,,,,
30,Babillard,Rio Gila,Babil-,Ab59,Babillard7,,,,,,,,,,,,,,,,
31,vie.vI,Vivant,lavie,vis-h-,Vieme,,,,,,,,,,,,,,,,
32,jaguar,Aguilar,Quarante,Guadalajara,,,,,,,,,,,,,,,,,
33,J1,Etats de Durango,Grand Chef des Auras,a77,N0,Grand Chef des,"accoutumes a bra-
ver",0 c.,Auras,,,,,,,,,,,,
34,manche,Tte Blanche,piste des Comanches,Comanches,Roman-,la manche,Comanche,Comanchessont,C0MANCHEs,"Roman-
ches",mtches,mayenne matches,Les Comanches,,,,,,,,
35,"T F
T
LA PRAIRIE",Cl,clairages,Pirates,Courage,LAGRASSE,prairie168,Miracle,,,,,,,,,,,,,
36,l'Europe,europe,Europe,Gouveruemeuls de l'Europe,deurope,,,,,,,,,,,,,,,,
37,desert,sert7,severe,desertee,,,,,,,,,,,,,,,,,
38,riviere Rouge,Peaux Rouges,Peaux Rouges7,Peaux Rougesetles,,,,,,,,,,,,,,,,,
39,otr,extreme,bleutre,tre,"autre,3l0",entrecoup,"au-
tre",Tres-bien,trot,,,,,,,,,,,,
40,sepulcre,decrire,Derrire,decoloree,Crics,,,,,,,,,,,,,,,,
41,.1n,camp des Mexicains,Mexicains,Americains,cathedrale de Mexico,Mexico,Mexicaine,MExicains,gamUusinos mexicains,Americaines,,,,,,,,,,,
42,Grande,Abandonnera,A99,songrand,sarrange,Durango,gand,Sonora,,,,,,,,,,,,,
43,liennes,ennes,Canadienne,nenl,enne,Vienne,en',Kennedy,nement,rennes,,,,,,,,,,,
44,"Buf-
faso","..-
-","-
-","la-
ble",I,,,,,,,,,,,,,,,,
45,"mer du
LE-DE ARKANSAS",LAlIKANSAS5,ARKANSAS5,Arkansas,ARKaNSAS,KANSAS5,Que-De ARKANSAS,,,,,,,,,,,,,,
