cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118,elem_119,elem_120,elem_121,elem_122,elem_123,elem_124,elem_125,elem_126,elem_127,elem_128,elem_129,elem_130,elem_131,elem_132,elem_133,elem_134,elem_135,elem_136,elem_137,elem_138,elem_139,elem_140,elem_141,elem_142,elem_143,elem_144,elem_145,elem_146,elem_147,elem_148,elem_149,elem_150,elem_151,elem_152,elem_153,elem_154,elem_155,elem_156,elem_157,elem_158,elem_159,elem_160,elem_161,elem_162,elem_163,elem_164,elem_165,elem_166,elem_167,elem_168,elem_169,elem_170,elem_171,elem_172,elem_173,elem_174,elem_175,elem_176,elem_177,elem_178,elem_179,elem_180,elem_181,elem_182,elem_183,elem_184,elem_185,elem_186,elem_187,elem_188,elem_189,elem_190,elem_191,elem_192,elem_193,elem_194,elem_195,elem_196,elem_197,elem_198,elem_199,elem_200,elem_201,elem_202,elem_203,elem_204,elem_205,elem_206,elem_207,elem_208,elem_209,elem_210,elem_211,elem_212,elem_213,elem_214,elem_215,elem_216,elem_217,elem_218,elem_219,elem_220,elem_221,elem_222,elem_223,elem_224,elem_225,elem_226,elem_227,elem_228,elem_229,elem_230,elem_231,elem_232
-1,Les Indiens,Tete dAigle,J1,A6,Guadeloupe,Regardez,echo,volez,a08,Ooouhl,"---
- Madame la Ml",Linsee,Voulez,mee resultat,I39,D,a375,Societ,I',textevenu,Helas,paliers.8l,depens,Leurs,gsece,sion indienne,batie,tont,l35,grin,TFt,loigna,Prompt,Cordilleres,trc::r,bleutre,Cl,Puissance,piste des Comanches,- Remettez,Bermudez,.1n,"Jardin i
ton",deterine,Smolensk,- Caspita,sepulcre,CG',FLAMANDS,t38,Syracuse,jaguar,LA T0RTUHL,I29,riviere Rouge,C,tue1,I107,delices,"celle-l.
Dona Luz",cheval.2l8,A minuit,Rio Gila,PSYCOL0GIE,A99,LEUR L0YAL,Compare,"ha-
seine",a77,Flora meicana,Anglais,A,l'aieul,"rendaientsongeuse
i190","ILES 1APEUR
- Ils",N0,prets,joindre.16,Indiennes,pr-DE LIBANAIS,Phoebe,I09,demander7,possible7,piste de la Tete d'Aigle,melis,fensive,Carthage,Coeur Local,Lieu,s0mme8,t0t,gal du depart,Lavait,Attaques,h,suez,Vienne,vousinteressez,Merced,"camp
- Pardieul",aec,rue du Rosaire,pise,Utique,garon,Och 1l,Mezcal,Indies,cathedrale de Mexico,Mexico,Lu-,anxiete,Voyez,Inigo,Aussit0,alpes,tele,Salvator Rosa,Eh,Bellumeur,Luz,Quoi7,Incas,Finissons-en,bahamas,paule,Am-,Coeur Loyal paula,fois.28l,Pieds-,sarrange,"autre,3l0",i83,Pirates,J',Chacun,"calle del Rosario,-",Sit,calle San-Agustin,Va,"Eh bien 
- Il",repara,"accoutumes a bra-
ver",tala,Combien,grotte oh lejour,La Tete d'Aigle,golfe de Cali-,vecu,E,TAPPEU9,alluma,z':;.-,lequilibre,Tiens,Ba-,0 c.,Aguilar,piste de la,deux Ocean,Mlexi-,- Follet,fr,Ehl Corail,"Amerique ridionale
expir",se196,le-,mignonne,l53,"conseil.278
LES",c0te du Cerro de la campana,lir,LAGRASSE,commuaute,carrey,jets.3l,limpunit,Sermon,chapperont,ganado,Pacifique,Ab59,Ls,d6-,Eshis,Guadalajara,P,marmara,rusalem,Tete d' Aigle,t.es,Leur-Loyal,Rafael,gand,Pumas,hatto,parole168,Nonchalamment,retirez,ter  cette operation delicate,Pluie,letras,Yankees,CEs,Delawares,mayenne matches,"la-
ble",Tres-bien,armes.a6,"pais.8n
LES APPUIS",c0loyer,decoloree,Auras,"malade7
- Pas moi",breche,cernaut,3r,Les Comanches,Espa-,Coeur Loyal,I,Crics,C0te,Accompagnera,7I,t.a10,Quate,grotte de la riviere,piste des jaguars,rancon de ma mere,OurS.,nice
0,Belhumeurl,Belhumenr,ditBelhumeur,Belhumeur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Belhueur,Belhu-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Caballero,Allemagne,alle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,danslaquelle,selle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Quelque,Quebec,que',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"quelques386
LES TRAPPEURS",ILES TRAPPEUR9,"parole168
ILES TRAPPEURS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,RAPPEUR,RAPPEURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,LES RAPPEURS9,"dupe,60 tES RAPPEURS",IES RAPPEURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TRAPPES,trappes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
