cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,alluma,allees,Allonsl,,,,,,,,,
1,voyais,.'avais,Javais,C6te,noux,aimais,jE,baissee,e,,,
2,autrE,Mattre,poele,Automne,fievre,Au-,,,,,,
3,Combien,"II
IIIIIII
A",miens,Mlle Maximilienne,bobo,,,,,,,
4,Ismerie,lingerie,superieure,A,Ismrie,Noel,,,,,,
5,ar-,,,,,,,,,,,
6,Es,buis,Agathe,Dansces,,,,,,,,
7,champs de ble,Tirande,Table,champ de ble,I',exiles,,,,,,
8,I,violacee,lacai,grace,Rome,prikre,,,,,,
9,guettais,etais,etais glacee,repetais,Jetais,etaissre,1'afne,F,,,,
10,pre,pre Chicon,S,Apres,Chicon,,,,,,,
11,Blanche,la manche,de France,manche,la Blanche,,,,,,,
12,tetes,tete,tournai la tete,jetee,,,,,,,,
13,bruyeres,bruyeres tres hautes,etais tres inquiete,Pas tres,,,,,,,,
14,grosse Melanie,grosse Mlanie,passee,Mlanie,Mla-,Melanie,,,,,,
15,Texpliquai,voila Henri,La Femme,,,,,,,,,
16,betes,Tes,bete,-L,Chemineau la Bete,,,,,,,
17,ri Deslois,Parfois,foins,Sois,,,,,,,,
18,Moi,gagea,,,,,,,,,,
19,Saeur,Soeur Marie-Aimee,E,Seur Maie,Seur Marie-Aimee,Seur Marie-Aime,,,,,,
20,"Gue
Perdu",Gue Perdu,chateau du Gue Perdu,,,,,,,,,
21,Elle ajiouta,voilÀ1Elle,Gabrielle,bELle-Eil,poche;elle,,,,,,,
22,servantel,serree,lasserl,luisantsde,,,,,,,,
23,c6te,Eugkne,Eugene,Eugne,Malgre,,,,,,,
24,Vronique,S5,Quelque,Paques,Quelquefois,Veronique,,,,,,
25,IL L,ca,Marie-Aimes'occupant,arie-Aimee,Marie-Aimee lavit,Marie-Aimee,IlIi,Dit,Marie-Aime Pas-,Marie-Aime,Paris,Narie-Aimee
26,II,M,fourrai,,,,,,,,,
27,obeir,G,siege,,,,,,,,,
28,reveillon,tilleuls,Orgueilleuse,"vieille
Bibiche",Villevieille,ILl,Castille,Ville-,,,,
29,chataignier,allee des chataigniers,chitaigniers,,,,,,,,,
30,vecu,Arrêter,Vin,,,,,,,,,
31,"I


 AH",,,,,,,,,,,
32,"Mouy-
ches",precher,pimbeche,accrochee,bcheron,Bibiche,Cache,,,,,
33,Ad2le,ecroula,la Saint-eau,Saint-Jean,Maintenant,prte,La Saint-Iean,laSainte,Saintes Huiles,ainsi.r,Sainte-Montagne,Josai
34,N5,Douze,So-,JE=,moitie,,,,,,,
35,Le soleil,J',le soleil,Sologne,,,,,,,,
36,refectoire,soiree,,,,,,,,,,
37,Appela,Bel-,ler,Bel-Eil,,,,,,,,
38,barriere de peupliers,Vierge,.Hier,,,,,,,,,
39,Madeleine,M.Alphonse,cheminee,piece,Augustine,,,,,,,
40,P,"IL M
 ICI",z=,,,,,,,,,
41,ger,1 I1MARIE-CLAIRB,MARIE-CLAIRB,notre Marie-Claire,"1 I1MARIE-CLAIRB
noire",MARIE-CLAIR,laMARIE-CLAIRB,Marie-Claire,,,,
42,Desire-des-Anges,Seur Desiree-des-Ange,Communs,des-Ange,Desiree-des-Ange,nuages.a6,Sur Desiree-des-Anges,Castle,hesita,es-,Desiree-des-Anges,
