cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,IL L,"IL M
 ICI",z=,,,,,,,
1,Marie-Aimee,Marie-Aime Pas-,Marie-Aimee lavit,Narie-Aimee,Marie-Aime,Marie-Aimes'occupant,arie-Aimee,,,
2,MARIE-CLAIRB,notre Marie-Claire,1 I1MARIE-CLAIRB,"1 I1MARIE-CLAIRB
noire",laMARIE-CLAIRB,Marie-Claire,MARIE-CLAIR,,,
3,Mlanie,Melanie,grosse Mlanie,grosse Melanie,Mla-,,,,,
4,Es,nuages.a6,Dansces,Tes,hesita,es-,ri Deslois,exiles,"Mouy-
ches",allees
5,Quelque,Quelquefois,Paques,E,,,,,,
6,grace,violacee,piece,I',,,,,,
7,laSainte,Saintes Huiles,Maintenant,La Saint-Iean,Sainte-Montagne,ainsi.r,Josai,Saint-Jean,la Saint-eau,
8,Castille,S5,Castle,Augustine,"I


 AH",tilleuls,,,,
9,Soeur Marie-Aimee,Seur Marie-Aimee,Seur Maie,Seur Marie-Aime,Saeur,,,,,
10,bELle-Eil,Bel-Eil,obeir,Bel-,,,,,,
11,Automne,Mattre,autrE,Au-,G,,,,,
12,buis,S,luisantsde,,,,,,,
13,allee des chataigniers,chataignier,chitaigniers,.Hier,,,,,,
14,Allonsl,reveillon,M.Alphonse,alluma,,,,,,
15,poele,Noel,Madeleine,Appela,,,,,,
16,Paris,Parfois,ar-,foins,,,,,,
17,lasserl,passee,baissee,,,,,,,
18,voila Henri,Gabrielle,voilÀ1Elle,poche;elle,Elle ajiouta,,,,,
19,c6te,C6te,,,,,,,,
20,bruyeres tres hautes,bruyeres,Pas tres,,,,,,,
21,Vin,Orgueilleuse,Villevieille,Ville-,Mlle Maximilienne,ILl,"vieille
Bibiche",,,
22,cheminee,La Femme,Chemineau la Bete,,,,,,,
23,chateau du Gue Perdu,barriere de peupliers,Gue Perdu,"Gue
Perdu",J',,,,,
24,accrochee,P,Cache,lacai,Bibiche,ca,pimbeche,Agathe,,
25,bobo,voyais,etaissre,etais tres inquiete,guettais,Jetais,etais,repetais,etais glacee,aimais
26,le soleil,Le soleil,Ad2le,,,,,,,
27,refectoire,Sois,M,So-,soiree,serree,,,,
28,Vronique,Veronique,A,vecu,bcheron,,,,,
29,I,superieure,Ismrie,N5,Ismerie,Rome,,,,
30,pre Chicon,Chicon,,,,,,,,
31,IlIi,II,"II
IIIIIII
A",,,,,,,
32,Seur Desiree-des-Ange,Sur Desiree-des-Anges,F,des-Ange,Tirande,Desiree-des-Anges,Desiree-des-Ange,Desire-des-Anges,,
33,servantel,Arrêter,tournai la tete,prte,Texpliquai,bete,tetes,tete,jetee,betes
34,prikre,fievre,Malgre,Apres,precher,pre,,,,
35,jE,JE=,,,,,,,,
36,Moi,Dit,moitie,-L,,,,,,
37,Eugkne,1'afne,Eugene,Sologne,Eugne,,,,,
38,manche,la Blanche,la manche,Blanche,de France,,,,,
39,.'avais,Javais,,,,,,,,
40,Table,champs de ble,e,champ de ble,,,,,,
41,Communs,miens,Combien,,,,,,,
42,fourrai,Douze,ecroula,noux,,,,,,
43,gagea,Vierge,lingerie,siege,ler,ger,,,,
