cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118,elem_119,elem_120,elem_121,elem_122,elem_123,elem_124,elem_125,elem_126,elem_127,elem_128,elem_129,elem_130,elem_131,elem_132,elem_133,elem_134,elem_135,elem_136,elem_137,elem_138,elem_139,elem_140,elem_141,elem_142,elem_143,elem_144,elem_145,elem_146,elem_147,elem_148,elem_149,elem_150,elem_151,elem_152,elem_153,elem_154,elem_155,elem_156,elem_157,elem_158,elem_159,elem_160,elem_161,elem_162,elem_163,elem_164,elem_165,elem_166,elem_167,elem_168,elem_169,elem_170,elem_171,elem_172,elem_173,elem_174,elem_175,elem_176,elem_177,elem_178,elem_179,elem_180,elem_181,elem_182,elem_183,elem_184
-1,IL L,bELle-Eil,Mlanie,Marie-Aime Pas-,Es,IlIi,Quelque,Eugkne,F,Moi,Automne,grace,chateau du Gue Perdu,refectoire,Sois,laSainte,voila Henri,Marie-Aimee lavit,I,nuages.a6,Dansces,"IL M
 ICI",Melanie,notre Marie-Claire,Castille,bobo,manche,grosse Mlanie,gagea,accrochee,Paris,grosse Melanie,S5,voyais,Tes,Communs,servantel,barriere de peupliers,allee des chataigniers,Mattre,1'afne,hesita,Vierge,es-,Bel-Eil,fourrai,Vin,Vronique,etaissre,lasserl,prikre,ri Deslois,M,etais tres inquiete,autrE,violacee,Gabrielle,Arrêter,Orgueilleuse,piece,lingerie,superieure,buis,Douze,chataignier,Allonsl,poele,tournai la tete,Saintes Huiles,Noel,Parfois,Madeleine,passee,cheminee,voilÀ1Elle,prte,La Femme,P,So-,Texpliquai,obeir,z=,guettais,Maintenant,la Blanche,bruyeres tres hautes,fievre,Ismrie,reveillon,baissee,I',exiles,Villevieille,Au-,Bel-,des-Ange,Table,miens,Chemineau la Bete,La Saint-Iean,Gue Perdu,N5,Seur Maie,Quelquefois,bruyeres,Cache,Malgre,la manche,bete,G,lacai,Eugene,Sainte-Montagne,soiree,Apres,siege,ainsi.r,Veronique,Josai,Tirande,Ismerie,pre Chicon,Castle,Ville-,precher,Saint-Jean,S,Augustine,ecroula,"Mouy-
ches",tetes,Rome,tete,Dit,A,Sologne,Mla-,pre,moitie,"Gue
Perdu",Bibiche,ar-,jetee,Paques,luisantsde,Mlle Maximilienne,foins,Chicon,Eugne,Ad2le,Blanche,Marie-Aimes'occupant,vecu,bcheron,ca,la Saint-eau,pimbeche,"I


 AH",allees,poche;elle,M.Alphonse,de France,e,chitaigniers,.Hier,etais glacee,Elle ajiouta,serree,betes,Pas tres,ler,Combien,ILl,E,noux,aimais,Saeur,"vieille
Bibiche",alluma,tilleuls,Agathe,ger,-L,Appela,J'
0,Seur Desiree-des-Ange,Sur Desiree-des-Anges,Desiree-des-Anges,Desiree-des-Ange,Desire-des-Anges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Marie-Aimee,Narie-Aimee,Marie-Aime,arie-Aimee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MARIE-CLAIRB,laMARIE-CLAIRB,Marie-Claire,MARIE-CLAIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Soeur Marie-Aimee,Seur Marie-Aimee,Seur Marie-Aime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,c6te,C6te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1 I1MARIE-CLAIRB,"1 I1MARIE-CLAIRB
noire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,.'avais,Javais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,jE,JE=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Jetais,etais,repetais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
