cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0.0,pre,Apres,,,,,,
1.0,autrE,Mattre,Automne,exiles,,,,
2.0,Combien,miens,Communs,,,,,
3.0,Vronique,Texpliquai,Veronique,,,,,
4.0,Ismerie,lingerie,superieure,Ismrie,,,,
5.0,champs de ble,ger,Table,champ de ble,,,,
6.0,c6te,C6te,,,,,,
7.0,violacee,etais glacee,lacai,grace,,,,
8.0,voyais,guettais,etais,aimais,repetais,etais tres inquiete,Jetais,etaissre
9.0,pre Chicon,Chicon,,,,,,
10.0,de France,Tirande,,,,,,
11.0,Blanche,la manche,manche,la Blanche,,,,
12.0,.'avais,Javais,,,,,,
13.0,bruyeres,bruyeres tres hautes,Pas tres,,,,,
14.0,grosse Melanie,grosse Mlanie,Mla-,,,,,
15.0,tetes,betes,Tes,bete,jetee,,,
16.0,Moi,moitie,,,,,,
17.0,cheminee,Chemineau la Bete,,,,,,
18.0,Saeur,Soeur Marie-Aimee,Seur Maie,Seur Marie-Aimee,Seur Marie-Aime,,,
19.0,Parfois,foins,ainsi.r,,,,,
20.0,"Gue
Perdu",Gue Perdu,chateau du Gue Perdu,,,,,
21.0,Elle ajiouta,voila Henri,voilÀ1Elle,Gabrielle,,,,
22.0,Eugkne,Eugene,Eugne,,,,,
23.0,Quelque,Paques,Quelquefois,,,,,
24.0,Madeleine,poele,Noel,,,,,
25.0,nuages.a6,gagea,,,,,,
26.0,Marie-Aimes'occupant,arie-Aimee,Marie-Aimee lavit,Marie-Aimee,Marie-Aime Pas-,Marie-Aime,Paris,Narie-Aimee
27.0,Arrêter,"Mouy-
ches",hesita,Bibiche,Cache,,,
28.0,Mlle Maximilienne,IlIi,,,,,,
29.0,precher,pimbeche,bcheron,,,,,
30.0,passee,lasserl,baissee,,,,,
31.0,la Saint-eau,Saint-Jean,La Saint-Iean,,,,,
32.0,Orgueilleuse,"vieille
Bibiche",Villevieille,ILl,Ville-,,,
33.0,tete,tournai la tete,fourrai,La Femme,,,,
34.0,IL L,"IL M
 ICI",,,,,,
35.0,tilleuls,Castille,Castle,Augustine,,,,
36.0,ecroula,accrochee,poche;elle,,,,,
37.0,1 I1MARIE-CLAIRB,MARIE-CLAIRB,notre Marie-Claire,"1 I1MARIE-CLAIRB
noire",MARIE-CLAIR,laMARIE-CLAIRB,Marie-Claire,
38.0,Le soleil,le soleil,,,,,,
39.0,ri Deslois,allees,chataignier,allee des chataigniers,chitaigniers,,,
40.0,alluma,reveillon,M.Alphonse,Allonsl,,,,
41.0,refectoire,serree,soiree,Sois,,,,
42.0,Bel-,bELle-Eil,Bel-Eil,,,,,
43.0,barriere de peupliers,Vierge,.Hier,,,,,
44.0,buis,servantel,luisantsde,,,,,
45.0,Appela,Mlanie,Melanie,,,,,
46.0,Maintenant,laSainte,Saintes Huiles,Sologne,Sainte-Montagne,Josai,,
47.0,Desire-des-Anges,Seur Desiree-des-Ange,des-Ange,Desiree-des-Ange,Sur Desiree-des-Anges,es-,Desiree-des-Anges,
