cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41
-1,athens,Edinburgh,juve-,Jacob,Limerick,Fife,sete,Sea,MisE,Whitehall,Pnt,osage,Paris,normandy,Mn,MOnsieur Fesceati,Kilmarnock,rome,Wigton,ny,us,Canada,D U.,Tattersall,"St
John's Lodge",Saul,Si,parnell,ohio,Galloway,Ernest,Dublin,Portobello,"ribbon,-I",beaux,seoul,"fancy,-she",De Plane,wi,United Ser-,"L.60,000",Tn
0,Holyrood,Holyrood House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,thou,Thou,"plethora,-he",Tho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Thug,thun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Louis HEnry,HEnry,Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Louis de Crew-,"Louis De
Crespigny",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Orespigny,Urespigny,piggy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Abbey,Hebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,fremont,blishmont,Rosemount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,inn,Spain,MINDEN,indus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Agrippina,china,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,declined1,Adeline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Caroline,Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Towereliffo,LowER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Julian,Australia,St Cecilia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Britain,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Israel,Kelso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Surah,Courant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Geranium,iran,janeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Clara
Granville",Clara Granville,Clara Granville'',"Clara Gran-
ville",Clara Granville's,Granville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Bt Clara,Clara Novello,Clara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Shetland,Scotland,portland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,England,Highland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ireland,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"quaKers,-a",verde,"ever,-and",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,las,GLAsGOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,toronto,mo,moro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Melton,Mlelton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,M0MODERN FLIRTATION0ON,MoDERN FLIRTING0NS,MoDERn FLIBTATIONS,M0MODERN LIRTATIONS,MoDERN,MoON,MIllions,MoON FLIRTAITIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,provo,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,yong,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Doncaster,Docaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Marion,palo,Marion palo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Agnes.,Agnes,el Agnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Dunbar,Agnes Dunbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Leeds,nile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Bibles,Charles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Argyleshire,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,oxford,Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
