cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25
-1,athens,Jacob,Fife,Pnt,osage,normandy,Mn,MOnsieur Fesceati,Kilmarnock,rome,ny,Canada,D U.,"St
John's Lodge",Saul,Si,MIllions,ohio,piggy,Ernest,Portobello,"ribbon,-I","fancy,-she",United Ser-,"L.60,000",Tn
0,oxford,Oxford,,,,,,,,,,,,,,,,,,,,,,,,
1,Holyrood,Holyrood House,,,,,,,,,,,,,,,,,,,,,,,,
2,thou,Thou,"plethora,-he",Tho,,,,,,,,,,,,,,,,,,,,,,
3,Thug,thun,,,,,,,,,,,,,,,,,,,,,,,,
4,Leeds,nile,,,,,,,,,,,,,,,,,,,,,,,,
5,Bibles,Charles,,,,,,,,,,,,,,,,,,,,,,,,
6,Argyleshire,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,,
7,Louis HEnry,HEnry,Louis,,,,,,,,,,,,,,,,,,,,,,,
8,Louis de Crew-,"Louis De
Crespigny",,,,,,,,,,,,,,,,,,,,,,,,
9,Orespigny,Urespigny,,,,,,,,,,,,,,,,,,,,,,,,
10,provo,Providence,,,,,,,,,,,,,,,,,,,,,,,,
11,juve-,Limerick,,,,,,,,,,,,,,,,,,,,,,,,
12,Marion,palo,Marion palo,,,,,,,,,,,,,,,,,,,,,,,
13,Paris,parnell,,,,,,,,,,,,,,,,,,,,,,,,
14,yong,London,,,,,,,,,,,,,,,,,,,,,,,,
15,Doncaster,Docaster,,,,,,,,,,,,,,,,,,,,,,,,
16,Agnes.,Agnes,el Agnes,,,,,,,,,,,,,,,,,,,,,,,
17,Dunbar,Agnes Dunbar,,,,,,,,,,,,,,,,,,,,,,,,
18,Britain,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,
19,Israel,Kelso,,,,,,,,,,,,,,,,,,,,,,,,
20,Julian,Australia,St Cecilia,,,,,,,,,,,,,,,,,,,,,,,
21,M0MODERN FLIRTATION0ON,MoDERN FLIRTING0NS,MoDERn FLIBTATIONS,M0MODERN LIRTATIONS,MoDERN,MoON,MoON FLIRTAITIONS,,,,,,,,,,,,,,,,,,,
22,Edinburgh,inn,us,Spain,Agrippina,MINDEN,Dublin,indus,china,,,,,,,,,,,,,,,,,
23,Whitehall,Tattersall,,,,,,,,,,,,,,,,,,,,,,,,
24,Towereliffo,LowER,Galloway,,,,,,,,,,,,,,,,,,,,,,,
25,Surah,Courant,Geranium,iran,De Plane,janeiro,,,,,,,,,,,,,,,,,,,,
26,las,GLAsGOW,,,,,,,,,,,,,,,,,,,,,,,,
27,Melton,Mlelton,,,,,,,,,,,,,,,,,,,,,,,,
28,fremont,blishmont,Rosemount,,,,,,,,,,,,,,,,,,,,,,,
29,declined1,Adeline,,,,,,,,,,,,,,,,,,,,,,,,
30,Caroline,Carolina,,,,,,,,,,,,,,,,,,,,,,,,
31,toronto,mo,moro,,,,,,,,,,,,,,,,,,,,,,,
32,Wigton,wi,,,,,,,,,,,,,,,,,,,,,,,,
33,Abbey,Hebe,,,,,,,,,,,,,,,,,,,,,,,,
34,sete,Sea,MisE,beaux,seoul,,,,,,,,,,,,,,,,,,,,,
35,"Clara
Granville",Clara Granville,Clara Granville'',"Clara Gran-
ville",Clara Granville's,Granville,,,,,,,,,,,,,,,,,,,,
36,Bt Clara,Clara Novello,Clara,,,,,,,,,,,,,,,,,,,,,,,
37,"quaKers,-a",verde,"ever,-and",,,,,,,,,,,,,,,,,,,,,,,
38,ireland,Ireland,,,,,,,,,,,,,,,,,,,,,,,,
39,Shetland,Scotland,portland,,,,,,,,,,,,,,,,,,,,,,,
40,England,Highland,,,,,,,,,,,,,,,,,,,,,,,,
