cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5
0.0,Caroline,Carolina,,,,
1.0,Dunbar,Agnes Dunbar,,,,
2.0,Shetland,Scotland,Highland,portland,England,"fancy,-she"
3.0,Great Britain,Britain,Spain,,,
4.0,LowER,Towereliffo,,,,
5.0,Providence,provo,,,,
6.0,Charles,Bibles,,,,
7.0,Holyrood,Holyrood House,,,,
8.0,declined1,Dublin,Adeline,,,
9.0,janeiro,De Plane,,,,
10.0,Ernest,parnell,Kilmarnock,Paris,Portobello,
11.0,M0MODERN FLIRTATION0ON,MoDERn FLIBTATIONS,MoDERN FLIRTING0NS,MoDERN,M0MODERN LIRTATIONS,
12.0,toronto,moro,,,,
13.0,Clara Novello,Clara,Bt Clara,,,
14.0,Clara Granville's,"Clara Gran-
ville",Clara Granville,Granville,"Clara
Granville",Clara Granville''
15.0,Wigton,Mlelton,Melton,,,
16.0,Ireland,ireland,Oxford,,,
17.0,United Ser-,Tattersall,Whitehall,Galloway,,
18.0,Thou,Tho,"plethora,-he",thou,,
19.0,thun,Thug,,,,
20.0,"ever,-and",normandy,"quaKers,-a",verde,,
21.0,Agrippina,,,,,
22.0,GLAsGOW,las,,,,
23.0,Courant,iran,Surah,Geranium,,
24.0,St Cecilia,Julian,Australia,,,
25.0,Rosemount,fremont,blishmont,MOnsieur Fesceati,,
26.0,London,Doncaster,Docaster,,,
27.0,Louis de Crew-,HEnry,Louis HEnry,athens,Louis,
28.0,Agnes,Agnes.,el Agnes,,,
29.0,MoON,MoON FLIRTAITIONS,MIllions,,,
30.0,oxford,Marion,palo,Marion palo,,
31.0,Orespigny,"Louis De
Crespigny",piggy,Urespigny,,
32.0,Argyleshire,Yorkshire,,,,
33.0,MINDEN,indus,,,,
34.0,china,,,,,
