cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,Great Britain,Britain,Spain,Agrippina,,,,,,,
1,Wigton,yong,toronto,wi,,,,,,,
2,oxford,Oxford,,,,,,,,,
3,Providence,provo,Abbey,rome,,,,,,,
4,Mn,Mlelton,Melton,Leeds,Portobello,,,,,,
5,Clara Granville's,Clara Novello,"Clara Gran-
ville",Clara,Clara Granville,Bt Clara,Granville,"Clara
Granville",Israel,nile,Clara Granville''
6,Holyrood,D U.,Holyrood House,,,,,,,,
7,Shetland,janeiro,Kelso,Ireland,Scotland,normandy,ireland,Highland,portland,England,
8,United Ser-,Tattersall,Whitehall,Galloway,ohio,,,,,,
9,M0MODERN FLIRTATION0ON,MoDERn FLIBTATIONS,MoDERN FLIRTING0NS,MoON FLIRTAITIONS,MoDERN,MOnsieur Fesceati,MIllions,M0MODERN LIRTATIONS,,,
10,Thou,Tho,thun,"plethora,-he",thou,Thug,athens,,,,
11,"ever,-and","quaKers,-a",verde,"fancy,-she",,,,,,,
12,seoul,Sea,"L.60,000",MisE,beaux,sete,,,,,
13,Pnt,Courant,iran,Jacob,Surah,Geranium,Tn,,,,
14,Caroline,Canada,Carolina,china,,,,,,,
15,St Cecilia,juve-,Saul,Julian,Australia,,,,,,
16,Charles,Argyleshire,Yorkshire,Bibles,,,,,,,
17,GLAsGOW,las,,,,,,,,,
18,London,Doncaster,Docaster,,,,,,,,
19,Louis de Crew-,HEnry,Hebe,"St
John's Lodge",Louis HEnry,Louis,,,,,
20,MoON,Rosemount,fremont,blishmont,mo,moro,,,,,
21,osage,Ernest,Agnes,Agnes.,el Agnes,Agnes Dunbar,,,,,
22,"ribbon,-I",Kilmarnock,Marion,palo,Marion palo,Paris,,,,,
23,Orespigny,"Louis De
Crespigny",ny,piggy,Urespigny,,,,,,
24,Dunbar,Dublin,MINDEN,us,Edinburgh,Si,indus,inn,,,
25,Limerick,LowER,Fife,Towereliffo,,,,,,,
26,declined1,De Plane,parnell,Adeline,,,,,,,
