cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,thou,Holyrood House,Thou,"plethora,-he",Tho,beaux,,,,,,,,
1,athens,HEnry,,,,,,,,,,,,
2,Holyrood,England,Highland,yong,Thug,normandy,ireland,Shetland,Scotland,Ireland,portland,"ribbon,-I","ever,-and",De Plane
3,M0MODERN FLIRTATION0ON,MoDERN FLIRTING0NS,MoDERn FLIBTATIONS,M0MODERN LIRTATIONS,MoDERN,MoON FLIRTAITIONS,,,,,,,,
4,juve-,Fife,Dunbar,,,,,,,,,,,
5,Edinburgh,"quaKers,-a",Sea,Abbey,Surah,parnell,,,,,,,,
6,Towereliffo,Louis de Crew-,Louis HEnry,Louis,,,,,,,,,,
7,inn,provo,Agnes.,osage,Agnes,Rosemount,Ernest,Agnes Dunbar,el Agnes,,,,,
8,Caroline,declined1,las,Adeline,Hebe,Dublin,,,,,,,,
9,Limerick,fremont,MOnsieur Fesceati,blishmont,toronto,,,,,,,,,
10,Jacob,palo,rome,,,,,,,,,,,
11,Doncaster,Tattersall,Docaster,,,,,,,,,,,
12,Julian,Australia,St Cecilia,GLAsGOW,moro,,,,,,,,,
13,Melton,Mlelton,Wigton,Leeds,Canada,verde,,,,,,,,
14,oxford,Orespigny,Urespigny,piggy,London,"Louis De
Crespigny",,,,,,,,
15,Bibles,ny,D U.,Charles,Argyleshire,Providence,Yorkshire,,,,,,,
16,Mn,Courant,Geranium,iran,,,,,,,,,,
17,MisE,MoON,indus,,,,,,,,,,,
18,Pnt,"Clara
Granville",Clara Granville,Clara Granville'',"Clara Gran-
ville",Clara Granville's,Granville,thun,Tn,,,,,
19,sete,Carolina,Si,Agrippina,"fancy,-she",china,,,,,,,,
20,Whitehall,Galloway,Portobello,,,,,,,,,,,
21,Spain,Britain,Great Britain,,,,,,,,,,,
22,Marion,Paris,Kilmarnock,MIllions,Marion palo,janeiro,,,,,,,,
23,Saul,mo,MINDEN,,,,,,,,,,,
24,Bt Clara,Clara Novello,us,Clara,,,,,,,,,,
25,Israel,"St
John's Lodge",seoul,wi,,,,,,,,,,
26,Oxford,Kelso,United Ser-,,,,,,,,,,,
27,LowER,nile,ohio,"L.60,000",,,,,,,,,,
