cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
0,LA,palau,Labrador,Loyola,Medulla,Bogglywollah,las,Bethesda Place,La,"La u
t",lawton,Molasses,Clapp,,,,,,,,,,,
1,Miss,Schliisselback,kiss,MId-,Nassau,Miss.,Missing,,,,,,,,,,,,,,,,,
2,L1,Hull1,,,,,,,,,,,,,,,,,,,,,,
3,Los,los,,,,,,,,,,,,,,,,,,,,,,
4,inn,Glorvinn,Thavies Inn,Inn,Inn of,minsk,Vienna,,,,,,,,,,,,,,,,,
5,in'a,Saint Martin's,In'a,,,,,,,,,,,,,,,,,,,,,
6,eagles,nh pa-ages,Eagles,MhZ,,,,,,,,,,,,,,,,,,,,
7,Regent,trento,Regan,the Prince Regent,Iphigenia,Brentford,EG,Centre,,,,,,,,,,,,,,,,
8,Io,HIoggarty,Rio Janeiro,Bionic,Iowa,,,,,,,,,,,,,,,,,,,
9,Gloving,Bingo,Being,Begleitung,Feasting,Ealing,EI,lng,,,,,,,,,,,,,,,,
10,yorkshire,Crmrthenshire,York,Somersetshire,ks,Wiltshire,Yorkshire,,,,,,,,,,,,,,,,,
11,East,ST,Stadthnus,Oystherstown,Steyne,History,St.,bOston,stueco,Ostend,Methodist,MAdame Strunpff,St. Just,,,,,,,,,,,
12,kanDahar,the Cannibal Islands,ISland,Flanders,Holland,"Coventry
Island",Ireland,Newfoundland,Sands,"South Sen
Islands",Switzerland,Long Island,Scotland,Coventry Island,Shetland,,,,,,,,,
13,H.H.,the H. H.,,,,,,,,,,,,,,,,,,,,,,
14,O'Down,O'Dow,do't,,,,,,,,,,,,,,,,,,,,,
15,belgium,Belgium,Belgravia,,,,,,,,,,,,,,,,,,,,,
16,Hampshire,HAMPSHIRE,hampshire,HAmpshire,That Hampshire,Buckinghamshire,Devonshire,IInmpshire,Shehas,Empire,Hampsteud,,,,,,,,,,,,,
17,St. Helena,Blenheim,Jena,the St. Leger,Saint Helena,St. Achenl,,,,,,,,,,,,,,,,,,
18,Roehampton,Southampton Row,southampton,Swamptown,Southampton,Southampton Gaol,,,,,,,,,,,,,,,,,,
19,Billingsgate,lille,Versailles,Hill,LILLE,Ill,bastille,Denmark Hill,Hall,William,Gillespie,Cornhill,Ill.,LLxE,Squills,Achilles,,,,,,,,
20,eNgland,england,England,Anglia,Old England,eating'and,,,,,,,,,,,,,,,,,,
21,md,Md,MD,,,,,,,,,,,,,,,,,,,,,
22,mo,Mo,Iahimo,Montmoreucy,Palermo,motley,"ceremony,-I",Moscow,,,,,,,,,,,,,,,,
23,denham,NH,Denham,nhl,Cheltenham,,,,,,,,,,,,,,,,,,,
24,Maria,Whitefriars,Marengo,Mariposa,Mars,Austria,Marin,Gloria,Malaria,Margate,harriman,Bulgaria,Armada,,,,,,,,,,,
