cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16
0.0,Africa,Ricketts,Whitefriars,America,Jamaica,,,,,,,,,,,,
1.0,Miss,kiss,Miss.,Missing,,,,,,,,,,,,,
2.0,Park LAne,Park lAne,,,,,,,,,,,,,,,
3.0,lille,Versailles,LILLE,bastille,Gillespie,,,,,,,,,,,,
4.0,LOndon,London,LONDON,london,Londonderry,,,,,,,,,,,,
5.0,in'a,,,,,,,,,,,,,,,,
6.0,Faro,Kangaroo,Baronet,,,,,,,,,,,,,,
7.0,Prussia,Russia,the Russian Order of Saint Nicholas,,,,,,,,,,,,,,
8.0,Bingo,Being,Abingdon,Dolbin,Binkie,,,,,,,,,,,,
9.0,Gloving,lIvingstone,Clingstone,,,,,,,,,,,,,,
10.0,O'Down,O'Dow,Touchdowns,MIrs.,Touchdown,,,,,,,,,,,,
11.0,yorkshire,York,Yorkshire,New York,,,,,,,,,,,,,
12.0,Hill,Ill,Cornhill,Ill.,Achilles,,,,,,,,,,,,
13.0,bEcky,Becky s,Becky,BEcky,,,,,,,,,,,,,
14.0,Pupil,Jupiter,Puppets,,,,,,,,,,,,,,
15.0,Holland,Hollyock,Bogglywollah,,,,,,,,,,,,,,
16.0,belgium,Belgium,Belgravia,,,,,,,,,,,,,,
17.0,eagles,Eagles,,,,,,,,,,,,,,,
18.0,Fuddleston,Buxton,Alton,Stilton,Osbaldiston,bOston,Dayton,Raton,lawton,PINETON,,,,,,,
19.0,Orleans,the Duke of Orleans,Elite Orleans,New Orleans,,,,,,,,,,,,,
20.0,St. Helena,Jena,Saint Helena,,,,,,,,,,,,,,
21.0,Fitzroy,Troy,Horowitz,,,,,,,,,,,,,,
22.0,Hornby,Hornsey,,,,,,,,,,,,,,,
23.0,Perigord,Oxford,Fort Schwagerl,Bedford,Brentford,,,,,,,,,,,,
24.0,Christchurch,Christin,,,,,,,,,,,,,,,
25.0,eNgland,england,England,Old England,,,,,,,,,,,,,
26.0,Provence,Providence,,,,,,,,,,,,,,,
27.0,greece,Greece,,,,,,,,,,,,,,,
28.0,Naples,Temple,Empire,Ripley,,,,,,,,,,,,,
29.0,denham,Denham,Cheltenham,,,,,,,,,,,,,,
30.0,Siberia,Maria,Mariposa,Mars,Marin,Malaria,Bulgaria,,,,,,,,,,
31.0,swan,Taiwan,,,,,,,,,,,,,,,
32.0,lome,ROme,Tomeuvesiun,rome,Homestand,Rome,,,,,,,,,,,
33.0,Loyola,Molasses,Polarizer,,,,,,,,,,,,,,
34.0,Tape,Cape,Cape Town,,,,,,,,,,,,,,
35.0,Zwieback,"aD OIWIE
lL",Cackle,,,,,,,,,,,,,,
36.0,Billingsgate,Ramsgate,Margate,,,,,,,,,,,,,,
37.0,Westminster,the West End,Lowest,West,West End,West FEud,,,,,,,,,,,
38.0,Europe,eUrope,europe,europa,Portman-europe,,,,,,,,,,,,
39.0,Los,los,,,,,,,,,,,,,,,
40.0,Denmark Hill,Denmark,,,,,,,,,,,,,,,
41.0,chnmbermaid,Snmbo,Sambo,,,,,,,,,,,,,,
42.0,Mulbury,Canterbury,Albums,Sudbury,Bulbul,,,,,,,,,,,,
43.0,"L
l
e.","L
L",,,,,,,,,,,,,,,
44.0,Hampshire,HAMPSHIRE,hampshire,HAmpshire,That Hampshire,IInmpshire,Champaign,Hampsteud,,,,,,,,,
45.0,quebec,Queen,Quebec,,,,,,,,,,,,,,
46.0,Lausanne,Cannes,Canada,Valencicnnes,,,,,,,,,,,,,
47.0,Clapham,Clapp,,,,,,,,,,,,,,,
48.0,DOorway,Moorish,Broadmoor,,,,,,,,,,,,,,
49.0,Brougham,Fulham,rouen,,,,,,,,,,,,,,
50.0,china,chino,China,Maraschino,,,,,,,,,,,,,
51.0,Bramah,Gray,Bagram,Bagshot,Grady,Geography,,,,,,,,,,,
52.0,nh pa-ages,DBruges,Bruges,,,,,,,,,,,,,,
53.0,Serpent,Magnificent,Ghent,St. Vincent's,lis cen,Centre,,,,,,,,,,,
54.0,brussels,sousse,bRussels,Brussels,Russell,Sussex,,,,,,,,,,,
55.0,Molyneus,tyne,Steyne,Lor weyne,,,,,,,,,,,,,
56.0,Black Bess,the Black Hole,,,,,,,,,,,,,,,
57.0,Yon'rc,Yonder,,,,,,,,,,,,,,,
58.0,Pump,Trumpet,,,,,,,,,,,,,,,
59.0,dundas,Dundas,bund,,,,,,,,,,,,,,
60.0,Macmurdo,Machiavellian,William,,,,,,,,,,,,,,
61.0,pAris,paris,Paris,,,,,,,,,,,,,,
62.0,Munich,Munoz,Bionic,Venice,,,,,,,,,,,,,
63.0,Regulus,Regan,,,,,,,,,,,,,,,
64.0,BEngal,Bengal,,,,,,,,,,,,,,,
65.0,Peninsula,Nineveh,Consul,minsk,,,,,,,,,,,,,
66.0,"know.-
Drive",know-,knowingest,,,,,,,,,,,,,,
67.0,Chiswick,Brunswick,,,,,,,,,,,,,,,
68.0,Crmrthenshire,Buckinghamshire,Devonshire,Somersetshire,Wiltshire,sunshine ns,,,,,,,,,,,
69.0,Dover,Sovereigns,"ceremony,-I",,,,,,,,,,,,,,
70.0,that1,Chatham,CHATHAM,,,,,,,,,,,,,,
71.0,papa2,Japan,Papua,,,,,,,,,,,,,,
72.0,Mount Saint John,Saint Jean,Saint Martin's,Minto,Maintenon,Saint Kitts,,,,,,,,,,,
73.0,LE-----7s,"-IEEE-------
-5",,,,,,,,,,,,,,,
74.0,Frenchmen,Trench,trento,Notre,,,,,,,,,,,,,
75.0,Elbe,Schliisselback,Elba,Albany,,,,,,,,,,,,,
76.0,KEepsake,theBareet,Gaunt Street,Hart Street,Baker Street,Greek Street,,,,,,,,,,,
77.0,Oborne,Borodino,Holborn,,,,,,,,,,,,,,
78.0,Silenus,Nile,Ile,,,,,,,,,,,,,,
79.0,Maloney,Boney,Glenmalony,,,,,,,,,,,,,,
80.0,dEmagogue,Coguac,,,,,,,,,,,,,,,
81.0,"L
-a--","L

l
-'Y",,,,,,,,,,,,,,,
82.0,Mount,Mountrail,"Mount
St. Jolmn",Mount St.,,,,,,,,,,,,,
83.0,Bois,Ayois,,,,,,,,,,,,,,,
84.0,Dobbsin,Hobbs,,,,,,,,,,,,,,,
85.0,"L
AIR5",YANIS AIR,Fairs,,,,,,,,,,,,,,
86.0,Leicester,Winchester,WInchester,Manchester,Duchess,Rochester,Ostend,,,,,,,,,,
87.0,Ladyship,Lady,Lnadyship,,,,,,,,,,,,,,
88.0,Stadthnus,Bierstadt,,,,,,,,,,,,,,,
89.0,Wittgenstein,Rector,Vittoria,History,Gloria,Pitt,,,,,,,,,,,
90.0,Desert,Wineries,Janissaries,"L
Series",erie,Goneril,,,,,,,,,,,
91.0,Begleitung,Leipzig,,,,,,,,,,,,,,,
92.0,East,Rel Seas,Destiny,Feasting,"the West
Eul-Casting Ragg",eating'and,,,,,,,,,,,
93.0,Curzon,Curzon Street,nan s,,,,,,,,,,,,,,
94.0,Oystherstown,Booterstown,stueco,whitherP,brother--,,,,,,,,,,,,
95.0,Charing,Rotterdam,Charlotte,,,,,,,,,,,,,,
96.0,Colony,colonies,Polonia,,,,,,,,,,,,,,
97.0,Monsieur Isidor,Monsieur,MOnsieur Isidor,Isidor,,,,,,,,,,,,,
98.0,M.P,M.P.,,,,,,,,,,,,,,,
99.0,Corporal,Concord,Gcorgy,Cork,,,,,,,,,,,,,
100.0,Camberwell,Lambeth,Bethesda Place,,,,,,,,,,,,,,
101.0,Bront,"han
ont",Hants,Montmoreucy,,,,,,,,,,,,,
102.0,realy,italy,Italy,,,,,,,,,,,,,,
103.0,YAGABOND,Punjab,Jabotiire,,,,,,,,,,,,,,
104.0,Spain,Britain,Great Britain,Brittany,,,,,,,,,,,,,
105.0,France,fRance,FRance,,,,,,,,,,,,,,
