cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118,elem_119,elem_120,elem_121,elem_122,elem_123,elem_124,elem_125,elem_126,elem_127,elem_128,elem_129,elem_130,elem_131,elem_132,elem_133,elem_134,elem_135
-1,Hampsteud,Holland,St. Vincent's,"aD OIWIE
lL",Smithfield,Cologne,DOorway,Wet,lie've ri,Iahimo,lis cen,Aelin,Salamanca,glendale,kc,Loudon,Sicily,Scotch,quito,MIaras,the Latin Grammar,Trssarenc,nursemnid,KEepsake,bastille,Parc,YANIS AIR,Versailles,anl,Soutludown,Toulon,Bramah,Beek,niue,Butler,bund,Rio Janeiro,Ealing,Geography,Leipzig,Saint Kitts,"the West
Eul-Casting Ragg",the Cannibal Islands,Schley,North,Caracas,Flanders,Nassau,Kangaroo,rouen,thelwald,ks,eating'and,the Old 9lighters',Albany,MhZ,Cashmere,Saint Martin's,sunshine ns,Mlonplaisir,Perigord,Hollyock,IM,stueco,Queen,Boulevard de,the dark sea,HIoggarty,Cackle,MD COIIDMTtAD,St. Achenl,Rotterdam,Schliisselback,Hart Street,Oxonians,the Magic Flute,golden auburn,Fulham,"South Sen
Islands",Switzerland,Venice,Minto,Pharaoh,Cocoa,the Valley of Diamonds,Duchess,tSar,the Arabian Nights,Vnuslall,Calumny,nolle,Canada,Esq,Swamptown,Leeds,Nob,Porky,Nineveh,Macmurdo,Destiny,YAGABOND,Charlotte,William,paragon,Siberia,Jail,Bront,Begleitung,Janissaries,"ceremony,-I",Caen,the Ale-Verse,Spain,the Free City of JudenstuIt,Camelot,Magnificent,d'h6te,the Russian Order of Saint Nicholas,Creek,seoul,Whitefriars,Good Gol,Rel Seas,W. T.'a,Newfoundland,Bogglywollah,Fort Schwagerl,Sands,motley,Neapolitan,Belinda,Champaign,donbas,Bagram,Vanity,FIlkers
0,I1l,W1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ihh,"Ih
'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,uk,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,wy,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,c.,&c.,C.B.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Slc,slc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Bruges,DBruges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BEngal,Bengal,SB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,md,Md,MD,Mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
