cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21
0,Chapelle,kc,Leipzig,"fell,-she",Chapels,Soho,Nivelle,,,,,,,,,,,,,,,
1,Zwieback,"aD OIWIE
lL",Black Bess,Cackle,,,,,,,,,,,,,,,,,,
2,tyne,Molyneus,Lor weyne,Steyne,,,,,,,,,,,,,,,,,,
3,Boon Sentinel,Iahimo,H.H.,ks,nan s,Continent,cr,Nineveh,,,,,,,,,,,,,,
4,Ma'am,Smithfield,c.,Spoon,,,,,,,,,,,,,,,,,,
5,Clapham,Fulham,W1,Brougham,EI,Champaign,,,,,,,,,,,,,,,,
6,Hall,Vnuslall,calle,Talleyrand,,,,,,,,,,,,,,,,,,
7,Rawdon,wy,Rnwdon,kawdon,rawdon,TO3,,,,,,,,,,,,,,,,
8,Potentate,Serpent,Us,"OLD FIAIO0
coNtENTS",L W,Ghent,Ostend,,,,,,,,,,,,,,,
9,Winchester,Manchester,Rochester,Leicester,Duchess,"L

l
-'Y",d'h6te,WI,WInchester,,,,,,,,,,,,,
10,Bruges,lng,DBruges,nh pa-ages,,,,,,,,,,,,,,,,,,
11,Aelin,Mmelin,"L
L",hai,Belinda,israel,,,,,,,,,,,,,,,,
12,South-,Soutludown,South,"South Sen
Islands",Southdowu,Lorlsouthdown,,,,,,,,,,,,,,,,
13,Morocco,Md,morocco,Roc,Troy,moro,,,,,,,,,,,,,,,,
14,Italy,italy,,,,,,,,,,,,,,,,,,,,
15,Loudon,Jura,Louis,Udolpho,Louis XVIII,,,,,,,,,,,,,,,,,
16,Threadneedle,realy,Leeds,Munoz,,,,,,,,,,,,,,,,,,
17,Rebecca,REbecca,llebeccn,Emm,Rebecn,Ilcbecca,rEbecca,,,,,,,,,,,,,,,
18,St. George's Hospital,St. George's,Dearest George,Georgina,ny,,,,,,,,,,,,,,,,,
19,Ayois,Bois,,,,,,,,,,,,,,,,,,,,
20,glendale,Dundas,bund,nda,dundas,kanDahar,,,,,,,,,,,,,,,,
21,Trssarenc,Nassau,Delaware,Trench,Crib,tSar,Marengo,Frenchmen,,,,,,,,,,,,,,
22,Cannes,Honneur,Canada,Lausanne,,,,,,,,,,,,,,,,,,
23,Dublin,Pnrlinmcnt,Ealing,linendraer,Ballinasloe,NoEL,bDulin,Linked,,,,,,,,,,,,,,
24,ns wc,KEepsake,the City,"the City, Sir",City,the Free City of JudenstuIt,us City,the City of London,,,,,,,,,,,,,,
25,emirates,States,mustaclios,Stadthnus,,,,,,,,,,,,,,,,,,
26,Wet,handkerchiefs,"han
ont",Hants,Montmoreucy,Bront,,,,,,,,,,,,,,,,
27,East,Feasting,"the West
Eul-Casting Ragg",eating'and,Destiny,Rel Seas,Christin,,,,,,,,,,,,,,,
28,St. Kitt's,St. Kitts,,,,,,,,,,,,,,,,,,,,
29,SOmalia,Cecilia,Anglia,Ili,MD,Silicon,Antlia,,,,,,,,,,,,,,,
30,Gaunt Street,nursemnid,Baker Street,Greek Street,theBareet,Hart Street,8he,Turkey,Threadneedle Street,Curzon Street,,,,,,,,,,,,
31,Horowitz,Hornby,Hornsey,Jos,,,,,,,,,,,,,,,,,,
32,Trumpet,trgg,Puppets,,,,,,,,,,,,,,,,,,,
33,MOnsieur Isidor,Monsieur Isidor,ero,Isidor,Monsieur,Monseineur,,,,,,,,,,,,,,,,
34,Bingo,Binkie,Dolbin,Abingdon,,,,,,,,,,,,,,,,,,
35,LE,France,"Ih
'",FRance,LE-----7s,slc,fRance,Ms'am,,,,,,,,,,,,,,
36,"St.
aul's",II.R.II,Sehxueuelt,St.,,,,,,,,,,,,,,,,,,
37,Old England,England,Butler,england,eNgland,XXII,,,,,,,,,,,,,,,,
38,Ripley,Schley,Temple,Wesleyan,motley,,,,,,,,,,,,,,,,,
39,Stillbrook,"Stillbrook, Becky",Mutila,Stillbrook in,,,,,,,,,,,,,,,,,,
40,Minden,Sweden,denr,Denr,golden auburn,Curzon,Dresden,Macmurdo,,,,,,,,,,,,,,
41,Quebec,Queen,quebec,,,,,,,,,,,,,,,,,,,
42,that1,Thames St.,Chatham,Thames,CHATHAM,,,,,,,,,,,,,,,,,
43,Saint Helena,Mount Saint John,Saint Jean,Saint Kitts,Saint Martin's,Maintenon,,,,,,,,,,,,,,,,
44,Mariposa,Mars,Maria,Marin,Polarizer,,,,,,,,,,,,,,,,,
45,quito,Esquire,Squills,Empire,Jabotiire,,,,,,,,,,,,,,,,,
46,Denmark,Glenmalony,Mo,Denmark Hill,,,,,,,,,,,,,,,,,,
47,Homestand,ROme,lome,Rome,Club,rome,SB,"-IEEE-------
-5",Tomeuvesiun,IL,,,,,,,,,,,,
48,the New Road,the MAdras Roads,Madras,Broadmoor,,,,,,,,,,,,,,,,,,
49,Hampsteud,rI,IInmpshire,hampshire,mn,HAMPSHIRE,UK,That Hampshire,HAmpshire,Hampshire,,,,,,,,,,,,
50,Holland,Ireland,Shetland,Flanders,Portland,Switzerland,Shehas,atlanta,Scotland,Newfoundland,,,,,,,,,,,,
51,Toulon,Babylon,Longwood,Mlonplaisir,Maloney,Long Acre,,,,,,,,,,,,,,,,
52,MIaras,Caracas,Cashmere,eWe,Pharaoh,paragon,Demerara,,,,,,,,,,,,,,,
53,bRussels,Sussex,sousse,brussels,Russell,Brussels,,,,,,,,,,,,,,,,
54,"L
-a--",Belgravia,belgium,Belgium,,,,,,,,,,,,,,,,,,
55,Missing,Miss,Japan,kiss,Miss.,,,,,,,,,,,,,,,,,
56,Machiavellian,Wellington,Islington,Wellington Amelia,,,,,,,,,,,,,,,,,,
57,NH,Glorvinn,inn,Inn,Inn of,Thavies Inn,,,,,,,,,,,,,,,,
58,Gardens,"Kensington
Gardens",kensington Gardens,Kensington,Kensington Gardens,New Gardens,EG,,,,,,,,,,,,,,,
59,Calcutta,MD COIIDMTtAD,Calumny,do't,,,,,,,,,,,,,,,,,,
60,the Latin Grammar,the Red Book,the Bay,the Same Angeles,the H. H.,thelwald,the Old 9lighters',the Black Hole,the dark sea,the Magic Flute,x--,the Valley of Diamonds,Athens,P.S.,the Arabian Nights,the West End,the Boule d'Or,the Ale-Verse,the Rock of the School,the atlantic Ocean,Bethesda Place,the St. Leger
61,harwich,RICHIE,Richelieu,Richmond,Jericho,,,,,,,,,,,,,,,,,
62,Portman-europe,europe,europa,"ia
1

2",Esq,Europe,eUrope,,,,,,,,,,,,,,,
63,St. Vincent's,St. Helena,St. James's,St. John's,cuba,St. Achenl,"Mount
St. Jolmn",St. Just,,,,,,,,,,,,,,
64,Peerage,the Peerage of Ireland,Peer,,,,,,,,,,,,,,,,,,,
65,Baden,Wiesbaden,"Baden
Baden",,,,,,,,,,,,,,,,,,,
66,Osnaburg,Edinburgh,hamburg,Strasburg,,,,,,,,,,,,,,,,,,
67,Scotch,Moscow,EL,,,,,,,,,,,,,,,,,,,
68,hBrompton,Brompton,bRompton,Bromptou,Good Gol,W. T.'a,,,,,,,,,,,,,,,,
