cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,wi,,,,,,,,
1,thah,North,fahl,Zillah,earth,,,,
2,Hahsiver,Niver,Phenix,Shielders,Liverpool,,,,
3,Linton Heathcliff,Thear,Linton,Heathcliff,,,,,
4,heifers,Wuthering Heights,The Heights,"Wuthering
                        Heights",thear,he'd,the Black Art,Heights,Catherines
5,Penistone Crags,America,Desert,London,Gimmerton Kirk,Hareton,Gimmerton,,
6,Shoo,thou,Oho,,,,,,
7,Cavendish Sq,meeterly clane,Christendom,England,Gladly,Atlantic,Satan,Lascar,Hindley
8,You've,Yorkshire,"account—""Because",You'll,I'll,,,,
9,Miss.,us,Thrushcross,Grange,Thrushcross Grange,,,,
