cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6
0,thah,North,fahl,Zillah,,,
1,Niver,Hahsiver,Liverpool,,,,
2,Yorkshire,Shielders,,,,,
3,I'll,"account—""Because",You'll,You've,,,
4,earth,Lascar,thear,he'd,the Black Art,Phenix,Thear
5,Grange,us,Thrushcross Grange,Thrushcross,,,
6,Cavendish Sq,London,Christendom,Miss.,Penistone Crags,,
7,Heathcliff,Linton,Linton Heathcliff,,,,
8,thou,Shoo,wi,Oho,,,
9,The Heights,heifers,Heights,Catherines,Wuthering Heights,"Wuthering
                        Heights",
10,America,Gimmerton Kirk,Hareton,Desert,Gimmerton,,
11,Hindley,Atlantic,Gladly,meeterly clane,Satan,England,
