cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0,Cavendish Sq,Niver,Yorkshire,Hahsiver,Liverpool,Oho,,
1,Hindley,Gladly,fahl,Satan,,,,
2,I'll,thah,thou,Atlantic,Grange,meeterly clane,England,
3,London,You've,,,,,,
4,Heathcliff,us,"account—""Because",You'll,earth,thear,the Black Art,Thear
5,Shielders,wi,Phenix,,,,,
6,America,Lascar,he'd,Gimmerton Kirk,Desert,Gimmerton,,
7,Linton,Hareton,Linton Heathcliff,Penistone Crags,,,,
8,Shoo,Thrushcross Grange,Miss.,,,,,
9,The Heights,heifers,Heights,Catherines,Thrushcross,Wuthering Heights,"Wuthering
                        Heights",
10,North,Christendom,Zillah,,,,,
