cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
-1,Miss.,wi,America,Desert,the Black Art,Lascar,Hindley,Catherines
0,Thrushcross,Grange,Thrushcross Grange,,,,,
1,us,"account—""Because",,,,,,
2,meeterly clane,England,Gladly,Atlantic,Satan,,,
3,Gimmerton Kirk,Gimmerton,,,,,,
4,Shoo,thou,Oho,,,,,
5,Linton Heathcliff,Hareton,Linton,Heathcliff,,,,
6,Cavendish Sq,London,Christendom,,,,,
7,You've,You'll,I'll,,,,,
8,thah,fahl,Zillah,,,,,
9,Hahsiver,Niver,Liverpool,,,,,
10,heifers,Shielders,Yorkshire,,,,,
11,Phenix,Penistone Crags,he'd,,,,,
12,The Heights,Heights,,,,,,
13,Wuthering Heights,"Wuthering
                        Heights",,,,,,
14,North,earth,,,,,,
15,Thear,thear,,,,,,
