cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29
0,anda,Mtandarim,Andtce,Mlanda,Iracejandao,vianda,ndatms,Londa,pancnda c assuada,dominanda,lazenda,jand,Iunda,hnda,mascnand,mandadu,,,,,,,,,,,,,,
1,levira,Tavira,Pervira,levia,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Brxas,CAS,sc puhlicass,"botoes das
calcas",Casas,Cas-,Visigothicas,Castrol,Caseo,v,Casro,"nmna
casna",Iancas,Casu,cancassol iNada,sohrecasaca,Casa illustrce,casaes,Case,c1,trocass,dolicassc,"casas dc
Franea",,,,,,,
3,Ilereules,Ilereulanos,Menules,reul0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,urre,Burrnlo,Trre,"besteirus
qc eurregira us",Turre,Turrc,Iurre,,,,,,,,,,,,,,,,,,,,,,,
5,IAMII,IAMIILS,IAMII3,"C3A DHE IAMII5
y",IAMIIYS,MIi-,IAMIIHS,IAMIIH5,uIamn,,,,,,,,,,,,,,,,,,,,,
6,sinha,Estevinha,"Pinhal
de Estoevinha",gallinha cosida,miosinha da Snr,vinhu,Rosinha,Ininha,t,linha varunil e scmpre,lgrejinha,Iranguinha,"cutello minha dce matdre Hstevani-
nha",,,,,,,,,,,,,,,,,
7,Primo,opprime,primno,ue primorl So6,Primvera,,,,,,,,,,,,,,,,,,,,,,,,,
8,Verde,Yillaverde,"erista dos outirs de
Yalverde",Caho Verde,goso de verdadciro,Valerde,Valverde,chi verde,elo Verde,Yalverdc,,,,,,,,,,,,,,,,,,,,
9,Pois,lepois,Iois,Ilopois,lPois,IPois,lcpois,lois leitDes,l'ois,Ieois,PUois,llepois da hilho,kPois,Dcpois,lopois,Ilepois,Iepois,beois,lpoi,IDepois,,,,,,,,,,
10,Ilontem,desontelra,monte,tque montasste,I)eunte,Montcmor,Monte,Montemor,Yivamontc,Mlontemor,monte c vualle,d ponte,Ponte,Ponte...,,,,,,,,,,,,,,,,
11,risonll0,Nll,sia risonha,pessonl,l0,s0rriso-em,,,,,,,,,,,,,,,,,,,,,,,,
12,aui,naui,Nau,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Ilistoria,1E,d'Ilistoria,Hlistoria,Ilistoric,3I,Iistoria,,,,,,,,,,,,,,,,,,,,,,,
14,Nacional,Nacio,Bibliotheca nacional,"im-
ressionad",lionadn,jornacsl,Lionala,Ignaci,Nacionaes,Proprios Nacionaes,,,,,,,,,,,,,,,,,,,,
15,cimna,Imnanos,umna,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"pe-
quenol","pe-
ueno",pequen0s,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Tende,attender,estendid l t plitrona ii vurand,hatendu,tendal,Iendera,Inlependete d'llveira,"ntendo
tiio",batendu,,,,,,,,,,,,,,,,,,,,,
18,metteu,Mionsieur de Charette,commette,mettc,mettia,,,,,,,,,,,,,,,,,,,,,,,,,
19,Snr,Snr l,tSnr,Sn,nr,snras,"Snr
Ilegedor",--Oh Snr,nrm0u,f5nr,n Snr,,,,,,,,,,,,,,,,,,,
20,piedade,Meda,soledade,Piedade,Pielade,,,,,,,,,,,,,,,,,,,,,,,,,
21,Iria,Pntria,pria,IPIria-  coi,gria,Syria,,,,,,,,,,,,,,,,,,,,,,,,
22,lLueena,Luecna,Iuecna,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Alem-,lEm-,Alemqucr,"lem-
bar",Alem-lordao,,,,,,,,,,,,,,,,,,,,,,,,,
24,vergastu,vergel,vergatdo,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,IBeI,Iibei-,Iibeirinh,"ibeira
do Coiee",Ribeira,Iibeiinh,libeira,IBen-,,,,,,,,,,,,,,,,,,,,,,
26,elil,elIl,lildzes,Elim,elizmcnt,lIl,Mlelieval,,,,,,,,,,,,,,,,,,,,,,,
27,palvarinhos,Vidainhos,Yidainhos,Vidago,vidae,mehos,,,,,,,,,,,,,,,,,,,,,,,,
28,Santo,qtlanto,rapazsl Santo,W,Santo beus7,Iortanto,"santol
.--Ora",Hspantos,Antonia,santos,Santos,csantdt,innnuveisl Santo IDeusl Mlortos,Ranto,,,,,,,,,,,,,,,,
29,Poeueto do tia Duartel,Ioemneto do Tia luarte,Ioemela do Tio uartc,"lPocmeto do tio
luarte",,,,,,,,,,,,,,,,,,,,,,,,,,
30,Santa-lrrneia,Santa,adeanta,Paeo de tSanta,Sonhorio de iSanta,Iuantas,Infantas,levantandu,Santa hereza,"Santa
Ircneia",Santu,ic-Santa,Santa-lrneia,,,,,,,,,,,,,,,,,
31,Pccecador,Acodado,elnmarauhado,pomar murado,cuealtnado,ado,jardim rcgado,Esgaseado,algcmado,Itocados,gualrdado0,alagado d'esput,ho sahbbado,Ahenoado,desolado:-,toueador,Fado,uiIhado,Ladeado,gadora,tumado,plcjad,ripiado,ombrulhado,Ajudado,ilha do lmperadorl,Fdo,Denuladot,louvadol,tclhado
32,Iorte,Iortes,Norte,Mlorte,Cwrte,Sorte,Mlunforte,ma iorte,Sorte inimigal,,,,,,,,,,,,,,,,,,,,,
33,aldizer,Dize I.,alda,Maldio,,,,,,,,,,,,,,,,,,,,,,,,,,
34,inteir,inteirira,luy carpinteiro,intervcio,tei,interessdo,,,,,,,,,,,,,,,,,,,,,,,,
35,aenas,Inas,Minas,demoradu Inas,Inasstdos,"Inas
aio emrelcndemosl..",las ahnas .fIonsinas,Mlinas,"us dtns manas
parlas",alnas,arnas,,,,,,,,,,,,,,,,,,,
36,ti-,Ri-,Iigti-,"ti-
nhaca",VWi-,Vi-,".Noti-
cis","onze ti-
ras",,,,,,,,,,,,,,,,,,,,,,
