cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27
0.0,Cemiterio,cemiterio,"Nli
nisterios",,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Mias,MIas,MIa-,MIas de manhi,.-MIas,,,,,,,,,,,,,,,,,,,,,,,
2.0,anda,Mtandarim,Andtce,Mlanda,Iracejandao,vianda,jand,mandadu,,,,,,,,,,,,,,,,,,,,
3.0,convile,Convidado,Conviviam,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Mlestrc,Mlestrc do Templo-a,Mestrc:-al,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,levira,Tavira,Olivira,Pervira,levia,,,,,,,,,,,,,,,,,,,,,,,
6.0,Post-Seripum,Reriz,lipu,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,CAS,Cas-,Castrol,Caseo,Casro,"nmna
casna",Casu,Castlla,casaes,Case,trocass,,,,,,,,,,,,,,,,,
8.0,S0elor,Sahelor,SUelor,Melodrama,eslorgo,eorrelor,Sbelor,Sabelor,,,,,,,,,,,,,,,,,,,,
9.0,golpcs,"enechia
agola",YtCZ,"Golpho
Persiceo",,,,,,,,,,,,,,,,,,,,,,,,
10.0,Ilereules,Ilereulanos,reul0,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,vossl,voss2,Vosste,poss0,voss,,,,,,,,,,,,,,,,,,,,,,,
12.0,lachequc,re-,Mlacheque,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,Escte,Iancte,escoeo,Ctec,lEscutel Yoceecte,,,,,,,,,,,,,,,,,,,,,,,
14.0,ntesllo,Sll,Avantesmas,tesla,eantes,dentes;-e,Esli,,,,,,,,,,,,,,,,,,,,,
15.0,sinha,Estevinha,"Pinhal
de Estoevinha",gallinha cosida,miosinha da Snr,vinhu,Rosinha,Ininha,Gravinha,linha varunil e scmpre,lgrejinha,Iranguinha,,,,,,,,,,,,,,,,
16.0,Kosa,IRkosa,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,"apa-
vorira",apa-,voril,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,Parada,Iaradiula,vizeira gradada,plcparadu,dua Parada,,,,,,,,,,,,,,,,,,,,,,,
19.0,Primo,opprime,primno,ue primorl So6,,,,,,,,,,,,,,,,,,,,,,,,
20.0,Verde,Valrerde,Yillaverde,"erista dos outirs de
Yalverde",Caho Verde,goso de verdadciro,Valerde,Valverde,chi verde,elo Verde,Yalverdc,,,,,,,,,,,,,,,,,
21.0,Pois,lepois,Ilopois,lPois,IPois,lcpois,PUois,llepois da hilho,kPois,Dcpois,lopois,Ilepois,Iepois,lpoi,IDepois,,,,,,,,,,,,,
22.0,Alcira,Tecedciras,Oliycira,b)edicira,Irontcira,libcira,Ciil de Olicira,pratelcira,Cerejcira,,,,,,,,,,,,,,,,,,,
