cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28
0,devom,Suevo,d'm,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bispo,Cm,Crispola,l0,DBispo,"Iae
do Bispo...",moyeu,,,,,,,,,,,,,,,,,,,,,,
2,Costa,Roevista,n0,Hstacuu,Conselleiro Costa Barroso,Arcos,Costa ue,acostiadu,,,,,,,,,,,,,,,,,,,,,
3,ntesllo,utl-,Avantesmas,eantes,Sll,Esli,tesla,,,,,,,,,,,,,,,,,,,,,,
4,Barrolo,santa mae do Barrolo,IBarrol,WBarrolinho,Barrolos,Ilarrolo,llurrolao,larrolo,Barrole,HBarrolos,Iarrolo,,,,,,,,,,,,,,,,,,
5,Airica,d'Airica,Airica-,Alrica,MIrica,,,,,,,,,,,,,,,,,,,,,,,,
6,earga,Isear,d'apear,sarga,"lve u
rga",rabear,Lnrga,-iDh,I0,,,,,,,,,,,,,,,,,,,,
7,Hcnto,Oh Bcnto,Bnto,Bcnto,Vss,Ilcnto,Icnto,vrniz dos sapatos-aprescntou a,Ilncntld,,,,,,,,,,,,,,,,,,,,
8,ahfadas,Wortadas,Caeadas,Inurmuradas,Vadas,Lousadas,,,,,,,,,,,,,,,,,,,,,,,
9,bom it,bom rcndeiro,bom fm,Bom Ieus.l,,,,,,,,,,,,,,,,,,,,,,,,,
10,cabo d'ouro,qle,cr d'ouro,luneta d'ouro,cabo d'aljafar da sombrinha,caboea,cabo do renque d'alamos,"cabo dec
anta",cabo d'ouro la ltteta d'ouo,cabo d arapau,cabo d'osso do guarda-sol,,,,,,,,,,,,,,,,,,
11,Iuor,suor,Iuo,fcno,Fdo,,,,,,,,,,,,,,,,,,,,,,,,
12,incendio do Pala-,"incendio do Pala-
cio",fgo,doeo paz,,,,,,,,,,,,,,,,,,,,,,,,,
13,cntrever,atrever1,revelacbcs,ji,cntreter,,,,,,,,,,,,,,,,,,,,,,,,
14,hoem,Ioema,cl,hoet,t]e,murle d'hoe,,,,,,,,,,,,,,,,,,,,,,,
