cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,UNDERSELL,Helvellyn,Masoxo,Kidderminster,,,,,,,,
1,Drakes,North-country,Wakefield,make’me,Downes,what~,,,,,,
2,"Deep Valley
Mill",the Deep Valley,THE DEEP VALLEY,the Deep Valley «,Deep Valley,Deep-Valley,Mill,Cologne,Deep Valley Mill,"Deep
Valley",the Deep Valley Mill,VALLEY
3,California,Melford,Tilbury Fort,Oxford,Melford Park,Bradford,,,,,,
4,Bastille,East,"boaster,—I",,,,,,,,,
5,Turned,Venus,know-,Sharpen,Charlotte,,,,,,,
6,Blankshire,Wnire,Lancashire,Foxglove,Lancasbire,H. SMITH,Germany,Aghleigh,Yorkshire,,,
7,Hicnranpens,LAYS,Fimrantox,Lindens,,,,,,,,
8,orient,Rebecca,Prentice,WARREN,,,,,,,,
9,Dowling,Molly Being,shifting*stream,Loxpow,Singular,WELLINGTON,Booming,,,,,
10,Fraser,XXII,France,al,Romance,FRANCE,,,,,,
11,Scotch,Russia,Crompton,Grafton,Boston,Fromé,Musmy,,,,,
12,inn,"nonsense,—ideas","by,—I",Arctic,"lady,—I","you,—I",,,,,,
13,woodbine,Paris,Straits,Amistrong,Austria,,,,,,,
14,New Fonssr,Warwick,,,,,,,,,,
15,Derbyshire,"Derby-
shire",Neckerby,Madeira,Royal,,,,,,,
16,& K.C.,in'a,ST,Sophy,Esq,,,,,,,
17,Kingdom,Domenichino,the Kingdom,china,,,,,,,,
18,KNOW-,Henan,York,pinery,La,,,,,,,
19,Louisa,BENEVOLENCE,Providence,florence,,,,,,,,
20,splendours crags,London Madeira,Golconda,LONDON,London,MR,,,,,,
21,Leeds,the brook,the ivory brow,Lodge,Nice,the Emerald Isle,the Holy Virgin,,,,,
22,Cretan,ain’t,PLAIN STATEMENT,Italy,Spain,Britain,Great Britain,,,,,
23,Africa,America,M.D.,AMERICA,Tis Africa,Saxony,,,,,,
24,Zuxau,earth,Turkey,Halifax,Devenevx,never.should,,,,,,
25,Kuzzicnasit,Sound,Europe,,,,,,,,,
26,n’t,Organ,Artist,Tisn’t,,,,,,,,
27,England,me!—and,Highland,kind'and,Flanders,Scotland,Poland,SCOTLAND,Holy Lane,Highlandloch,ENGLAND,
28,WESTMORELAND,morocco,IRELAND,Westmoreland,,,,,,,,
29,Mosses,protégée,Brussels,Mexico,premises,Grasses,,,,,,
30,Nurse,NURSE,Trembled,Nurse Trembled,,,,,,,,
31,Anuincrox,Howley,Crockley,,,,,,,,,
32,Blackberry,her=,Brotherton,thereon,Bretherton,Southern Reg,,,,,,
33,Sanctuary,most.le-,St. Mary's,S.C.,St. Mary’s,,,,,,,
