cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35
-1,orient,Rebecca,Blackberry,Molly Being,Helvellyn,North-country,her=,New Fonssr,"nonsense,—ideas",Henan,Louisa,Zuxau,shifting*stream,Tilbury Fort,Wnire,M.D.,Mill,Cologne,Cretan,Leeds,York,earth,Grafton,Lindens,Golconda,Germany,PLAIN STATEMENT,Sound,Neckerby,Artist,Aghleigh,what~,Musmy,Amistrong,VALLEY,Saxony
0,& K.C.,S.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,KNOW-,know-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Turned,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,splendours crags,St. Mary's,St. Mary’s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,XXII,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Trembled,Nurse Trembled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Nurse,NURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,H. SMITH,Lodge,Organ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sanctuary,Russia,Brussels,premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Hicnranpens,Sharpen,Kuzzicnasit,Charlotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Fimrantox,MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Africa,Tis Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,America,AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Loxpow,Foxglove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Oxford,Bradford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Melford,Melford Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Paris,Masoxo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,LONDON,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,London Madeira,Madeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Venus,protégée,BENEVOLENCE,Providence,florence,Devenevx,never.should,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Prentice,Nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Arctic,Warwick,WARREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Britain,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Sophy,morocco,Europe,Howley,Crockley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Dowling,WELLINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Drakes,Wakefield,Esq,make’me,Downes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,California,Halifax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,al,Italy,Royal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Fraser,Mosses,Anuincrox,Grasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Kingdom,the Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,the brook,the ivory brow,the Emerald Isle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,most.le-,Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Brotherton,Bretherton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,thereon,Southern Reg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"by,—I","lady,—I","you,—I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Singular,Booming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Domenichino,china,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,LAYS,La,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Crompton,Fromé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,France,Romance,FRANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Holy Lane,the Holy Virgin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Bastille,East,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Straits,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"boaster,—I",Kidderminster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Derbyshire,"Derby-
shire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Deep-Valley,"Deep
Valley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Deep Valley
Mill",Deep Valley,Deep Valley Mill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,the Deep Valley,THE DEEP VALLEY,the Deep Valley «,the Deep Valley Mill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,woodbine,pinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,me!—and,kind'and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Highland,Highlandloch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Scotch,Scotland,SCOTLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Lancashire,Lancasbire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Blankshire,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,ain’t,n’t,Spain,Tisn’t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,inn,in'a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,WESTMORELAND,Poland,IRELAND,Westmoreland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,England,ENGLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,UNDERSELL,Flanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
