cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,& K.C.,S.C.,,,,,,,,,,,,
1,Drakes,XXII,Wakefield,Esq,make’me,Turkey,,,,,,,,
2,Derbyshire,"Derby-
shire",Neckerby,Madeira,Kidderminster,Yorkshire,,,,,,,,
3,inn,in'a,woodbine,pinery,china,,,,,,,,,
4,Melford,Helvellyn,York,Oxford,Melford Park,MR,Bradford,,,,,,,
5,Highland,Aghleigh,Highlandloch,,,,,,,,,,,
6,KNOW-,know-,Downes,,,,,,,,,,,
7,"by,—I",Zuxau,"lady,—I","boaster,—I","you,—I",,,,,,,,,
8,"Deep Valley
Mill",the Deep Valley,THE DEEP VALLEY,the Deep Valley «,Deep Valley,Deep-Valley,Mill,Deep Valley Mill,Leeds,"Deep
Valley",Howley,the Deep Valley Mill,VALLEY,Crockley
9,Rebecca,shifting*stream,Blankshire,Wnire,Lancashire,Lancasbire,Cretan,,,,,,,
10,Russia,Brussels,Kuzzicnasit,Musmy,,,,,,,,,,
11,Cologne,Loxpow,Foxglove,Lodge,,,,,,,,,,
12,Bastille,most.le-,East,M.D.,ST,Straits,Boston,Amistrong,Austria,,,,,
13,orient,protégée,Prentice,Providence,florence,Nice,,,,,,,,
14,Sanctuary,Hicnranpens,France,Fimrantox,Romance,Germany,Anuincrox,Fromé,FRANCE,,,,,
15,California,al,Italy,Halifax,Royal,,,,,,,,,
16,WESTMORELAND,morocco,Organ,IRELAND,Westmoreland,,,,,,,,,
17,Sharpen,Charlotte,Europe,what~,WARREN,,,,,,,,,
18,Scotch,Scotland,SCOTLAND,,,,,,,,,,,
19,Dowling,Molly Being,Kingdom,Domenichino,WELLINGTON,the Kingdom,Booming,,,,,,,
20,UNDERSELL,splendours crags,North-country,Louisa,Masoxo,Sophy,Sound,,,,,,,
21,London Madeira,New Fonssr,Crompton,Golconda,LONDON,London,Saxony,,,,,,,
22,the brook,the ivory brow,the Emerald Isle,the Holy Virgin,,,,,,,,,,
23,ain’t,n’t,Tisn’t,,,,,,,,,,,
24,H. SMITH,PLAIN STATEMENT,Spain,Britain,Great Britain,,,,,,,,,
25,Venus,BENEVOLENCE,Devenevx,never.should,,,,,,,,,,
26,Africa,America,Mexico,AMERICA,Tis Africa,,,,,,,,,
27,Tilbury Fort,Paris,Arctic,earth,Warwick,Artist,,,,,,,,
28,her=,Brotherton,thereon,Bretherton,Southern Reg,,,,,,,,,
29,England,me!—and,Henan,kind'and,Flanders,Lindens,Poland,ENGLAND,,,,,,
30,Fraser,Mosses,"nonsense,—ideas",Grafton,Grasses,,,,,,,,,
31,Turned,Nurse,NURSE,Trembled,premises,Nurse Trembled,,,,,,,,
32,Blackberry,LAYS,Singular,Holy Lane,La,,,,,,,,,
33,St. Mary's,St. Mary’s,,,,,,,,,,,,
