cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,Africa,America,Paris,Mexico,AMERICA,MR,Tis Africa,,,,
1,Drakes,Wakefield,Esq,make’me,,,,,,,
2,Dowling,Lindens,WELLINGTON,Downes,Howley,,,,,,
3,Derbyshire,"Derby-
shire",Neckerby,Madeira,,,,,,,
4,inn,in'a,woodbine,pinery,,,,,,,
5,Melford,Helvellyn,Tilbury Fort,Oxford,Melford Park,Bradford,,,,,
6,Highland,Aghleigh,Highlandloch,,,,,,,,
7,KNOW-,know-,Loxpow,,,,,,,,
8,"nonsense,—ideas","by,—I","lady,—I","you,—I",,,,,,,
9,"Deep Valley
Mill",the Deep Valley,THE DEEP VALLEY,the Deep Valley «,Zuxau,Deep Valley,Deep-Valley,Deep Valley Mill,"Deep
Valley",the Deep Valley Mill,VALLEY
10,Rebecca,Lancashire,Lancasbire,,,,,,,,
11,Turned,splendours crags,Nurse,NURSE,Turkey,Europe,,,,,
12,Bastille,Mill,H. SMITH,,,,,,,,
13,Russia,Brussels,Musmy,,,,,,,,
14,Trembled,Leeds,Nurse Trembled,,,,,,,,
15,most.le-,East,shifting*stream,ST,Straits,"boaster,—I",Boston,Artist,Kidderminster,Amistrong,Austria
16,orient,protégée,Prentice,Arctic,florence,Nice,WARREN,,,,
17,Sanctuary,M.D.,Hicnranpens,France,Fimrantox,Romance,Germany,Providence,FRANCE,,
18,California,al,Italy,Halifax,Royal,,,,,,
19,WESTMORELAND,morocco,Organ,IRELAND,Westmoreland,,,,,,
20,Crompton,Anuincrox,Fromé,Crockley,,,,,,,
21,Sharpen,Warwick,Charlotte,what~,,,,,,,
22,Scotch,Scotland,SCOTLAND,,,,,,,,
23,Molly Being,Kingdom,the Kingdom,Booming,,,,,,,
24,UNDERSELL,North-country,Louisa,Masoxo,Sophy,Sound,,,,,
25,the brook,the ivory brow,the Emerald Isle,the Holy Virgin,,,,,,,
26,ain’t,n’t,Tisn’t,,,,,,,,
27,PLAIN STATEMENT,Spain,Britain,Great Britain,,,,,,,
28,Venus,BENEVOLENCE,Devenevx,never.should,,,,,,,
29,London Madeira,New Fonssr,Cologne,Foxglove,Golconda,LONDON,Lodge,London,Saxony,,
30,& K.C.,S.C.,,,,,,,,,
31,her=,Brotherton,Cretan,earth,thereon,Bretherton,Southern Reg,,,,
32,England,me!—and,XXII,Henan,kind'and,Flanders,Poland,ENGLAND,,,
33,Kuzzicnasit,Domenichino,china,,,,,,,,
34,Fraser,Mosses,Grafton,premises,Grasses,,,,,,
35,Blankshire,Wnire,York,Yorkshire,,,,,,,
36,Blackberry,LAYS,Singular,Holy Lane,La,,,,,,
37,St. Mary's,St. Mary’s,,,,,,,,,
