cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0,Laisse,e,se106,valais,suisse,Laissons,,,,,,,,,,
1,Lin insu,"N
 I",FIN,Insult,S,Combin,minsk,,,,,,,,,
2,Catharine,Chagrin,hawa,Gatharine,hargbr,,,,,,,,,,,
3,Vois,Voil,voil,toil,a Voil,eoiffa,vollh,,,,,,,,,
4,RN sAVOIR,choirs,savoie,,,,,,,,,,,,,
5,laur,au-,at laure,clat,jaurais,B,uri,aur6,,,,,,,,
6,Dn,,,,,,,,,,,,,,,
7,Louiso,Louial,ruisonnublo,Bouira,grdantlLouis,-F,Louisjouissait,,,,,,,,,
8,china,chine,Jasphino,lme Inaugur,,,,,,,,,,,,
9,Lo,oslo,chlo,ILo,ulloa,Lon,ost  louvre,,,,,,,,,
10,tan,tane6,anfa,WAtan,"ontta puillo uu vot
patte pourrir devant vos prtas",l'6tat,Ans,,,,,,,,,
11,Iu,iut,tout908,,,,,,,,,,,,,
12,P6onnerie,Rienne,Rienne Is,vienne,Etienne burundi,Rianderie,enne,Iesnne,Rience,lennne,Etienne,deVienne,,,,
13,mra Nunnatta,mara Nunnatta,''L,mra las,attach6s,,,,,,,,,,,
14,rn,Journe,svaitquason fourrag,RMIRnE,Fournir,journe,pour6,,,,,,,,,
15,Ilordinarie,lordinuaire,ardin,ku,,,,,,,,,,,,
16,"II

---
Jeane",r::--JEANNE,jEanne,suf-JEANNE EPOLB EP,suf-JEANNE,Jeanno,jeanne7,Jean russe-JEANNE VEUVE,,,,,,,,
17,- Tiens,Tiens,yens,BT,Dien,Conviens,Liens,Ien0,,,,,,,,
18,tta hussa at la queue,La conqu,tta hussa,"A

7A
C",,,,,,,,,,,,
19,TUlsIkMk,w,Ls,,,,,,,,,,,,,
20,fumer tes champs.-,"Eh bionl js prendruais un de tes champs on
permanent",Chamnnlhrs,- C,,,,,,,,,,,,
21,veines,Ines,heinz,lapeine,E,,,,,,,,,,,
22,toninnli,LI,liedom,LiEelE,ElIe,italie,lir,19S,P,,,,,,,
23,france,fran,la France,,,,,,,,,,,,,
24,aimais-tu,aimais,Maia,faisais,-Mais,Vais,Maislamaltresse,maison anssi,,,,,,,,
25,voulez,seoul,Voue,lez,Roule,,,,,,,,,,,
26,lahelle,truavailles,ELlE--,Feuillet,ille,chbvrfauille,marseille,Mapuuvrefille,habill6e,Cn,alle,aiguilles,bailleurs,gillot,le soleil,
27,Notre,"au-
tres",sua tre,tre,vire,Notre Pere,tres-joyeuse,pltre,Mattresse,payetra,,,,,,
28,lunno,Ia ptit lunn,gunn,lune,,,,,,,,,,,,
29,mre Nnnnatto,Nunnette,mre Nunnette,mre Rainette,tre Namnette,mre Nanntte,Nunnetto,mre Nunnetto,mre Nannett,mbr Nunnette,,,,,,
30,bris6,PARIS,Paris,Nu PARIS,Crise,,,,,,,,,,,
31,Quen,J',"LA
E'",mexique,que',Poques,e',Afrique,,,,,,,,
32,aon,donn,honnos,honn,nuho,frthos,gaeho,tres-honnete,,,,,,,,
33,soignerai,aumne,espagne,gne,gn,Gnl,ne170,,,,,,,,,
34,RN SOVI6GR,RN sERVICE,SERVICE,,,,,,,,,,,,,
35,lssiseutues,desire-us,ssir,wss,,,,,,,,,,,,
36,io m6-,Jos6-,m6-,-,or6-,d6-,,,,,,,,,,
37,d6pluie,Pied,Ie,lDieu,IE,ipussoeiee,serbie,R6chaufferie,asie,,,,,,,
38,Fuuche,herg,ehex,cher,Cher,Touches,s6cher,,,,,,,,,
39,manche,la manche,,,,,,,,,,,,,,
40,G,,,,,,,,,,,,,,,
41,present]110,Apres,v8pres,dress6,,,,,,,,,,,,
42,"LHIII

II
 Sil
III","IL -
II 
lI
l
III
S",ii,"ii

I
I

II
E
E",fiivre asi,ktii,II,LiI,PAIII,"II

L",,,,,,
43,te0ors,t8te,malte,Tents,tete,mets-tei lh,hotel,Etehaeun,Achetez,,,,,,,
44,friche,Riche,,,,,,,,,,,,,,
45,dshir6,ds,t0t tir6,,,,,,,,,,,,,
46,loanno,Jouanno,leanno,betes3EANNR REN,lean,Ieanno,Nannottat,,,,,,,,,
47,garon,mon garon,dangar,gal,paros,garniront,,,,,,,,,,
48,m6decins,inde,mdecin,,,,,,,,,,,,,
49,caus6,Ca,ca,,,,,,,,,,,,,
50,"Pierres-
Folles",Pierres-,MIERR,Saint-Pierre,as-Rr,nanterre,In terre,,,,,,,,,
51,d6pana da ux,nador,hana,Na,Nai,vona,naftra,Nai-j ps ma ur,nankin,,,,,,,
52,san hare,san mari,san nouveau,ban  Menuet,san alain,san village,,,,,,,,,,
53,RN AVION,io,Io,A,,,,,,,,,,,,
54,-C,Hautes-cloches,Hautes-SEG0NDR PARTIE,Hauts-loehes,,,,,,,,,,,,
55,tasmanie,ommana,maduama,Maman,demand6,,,,,,,,,,,
56,porto bian,porto,Rt,port6,aport6,mortifi6e,,,,,,,,,,
57,rand-ail,gand,Grand BAil,Granit,Grund,"Grand-
Bail",Grand,Grand-Hail,Grand-Hal,rand-Bail,lean Jusserand,Grand-Bail,Grand-,Grind-Hail,"I S
d-a",mndme
58,le japon,ales,LE2,lesameliorer,LEs,alpes,svre-le,arles,,,,,,,,
59,Voyez,envoy6,croyez,,,,,,,,,,,,,
60,Mange,orange,Solange,Lange,chang6f,vendange,huang6o,Gerland,,,,,,,,
61,rs-y ademe,moselle,"juif
- Moi",mademoiselle,oise,Mesdemoiselles,,,,,,,,,,
62,irrit do lh,nit do,,,,,,,,,,,,,,
63,TROISIME PARTIR,TH0SiM,TROISIME,TROISImE,TROISIME PARIS,,,,,,,,,,,
64,Mlurguerito,Marguerite,Margue-,vel6e de Marguerite,,,,,,,,,,,,
65,"IL M.

2
 
IL
CL",teil,podiums;il,IL,quoiquil,betail,il6e-la,,,,,,,,,
66,ROMAIN,maine,Haine,Aini,,,,,,,,,,,,
67,Est,Est-ce,Istes,rest6e,Cost,st Paul,east,,,,,,,,,
68,plasee,place,ani-place,ce6,lacte,,,,,,,,,,,
69,prte,aupr da mol,auprs,pr6s,pr,provins,Aprs,,,,,,,,,
70,Luongo,Solngo,So-,got,,,,,,,,,,,,
71,noeux,Noel,noa,Noel.rREMII PARTIR,,,,,,,,,,,,
72,d6sola,Sainte-Solange,sainte-Solange,Sainte-So-,,,,,,,,,,,,
73,kI,"A

I
II1
I
----l","P
I",M,"I

H
I
E","II
W
I
civilIs
H.","Ki
L
I
I
I
I
I",,,,,,,,,
74,Muitra,tra humili6,humili6,,,,,,,,,,,,,
75,geek,"-,J",jugez-en l Jai,bruges,Agel,rige,ge,gene,,,,,,,,
76,Sylvin,Sylvain,sYlvain,psys,,,,,,,,,,,,
77,aid6,Aidez,d6aider,,,,,,,,,,,,,
78,-:t:=,t80,disait:180,comptait188,Dit,,,,,,,,,,,
79,reese,eeui,vee A,.'Geeseeeeee,psgnsee,,,,,,,,,,,
80,verriaes,ger,Berry,-Merci,mero,ner,ler,terrOB,peru,er,,,,,,
81,"Saint-
Jean",Saint-jean,vinttn,Saint-Jean,,,,,,,,,,,,
82,nuttre Tixior,Mre Tixier,pre Iixier,"f
- Muattre Tixier",pre ixier,pre Tixier,PRERR PARTIR,matra Tixiar,,,,,,,,
83,je.ne,Lejeune,jeune6,Neuner,Jeune,leunne,brune,--La jeunesse,,,,,,,,
84,pas8e,rasenmmoda,Gras,grad,tarras,lomhnrras,u,,,,,,,,,
85,Patite,qUATRi,PATRICk,v,,,,,,,,,,,,
86,Is-,Aixois,Isanre,A leglise,Sois,Colis,Ionis,Is,meissan,,,,,,,
87,- Veux-tu,Vois-tu,Sais-tu,Crois,Crois-tu,Las-tu vue,As-tu pens6,,,,,,,,,
88,petitl,c6t6,ret6,et6s,,,,,,,,,,,,
89,aveoe,uvece,savigny,Save,AVez,,,,,,,,,,,
90,marehanderai,remarqu6,mara Feuillet,Vars,MARR,mara,llan'y rontrarapus,ar-,,,,,,,,
91,lOuis : e Voyons,Vons,v0oyo-vus,vOyons,,,,,,,,,,,,
92,cus,occup6,Cu,"Cun-
t-mOi g.",,,,,,,,,,,,
93,Pennetta,mare Manette,Mascotte,Mamnnetta,tte,mre Annette,Nanette,Namnette,mre Annette;A6,mara Annette,Annette,mer Annette,Mettez,,,
94,Tixisr,Tixiee,quartier-l,"pre
Tixier","malte
Tixier",mara ixier,Tixier,mer Tixier,Tixiar,pr Iixier,,,,,,
95,vesoul,maes,aesoueil,IJae,,,,,,,,,,,,
96,IBANN,JANNIH,mhmeIBANKR,BANNI,ann8e,,,,,,,,,,,
97,lausanne,Jane,lann6e,PTITB LANN,lanne,champ de lanne,,,,,,,,,,
98,Normaux,chApeau,E MEHB,ferme des Ormeaux,Maux,Ormeaux,,,,,,,,,,
99,bont6,eontoentol,stonttot,I,ont6,Maillot mont,,,,,,,,,,
100,sua,N,vuanti,1ANTI,,,,,,,,,,,,
101,soudan,Missouri,Inourables d'Issoudun,Issoudun,,,,,,,,,,,,
102,Navettes,"mare
Navettes",,,,,,,,,,,,,,
103,bl6,d6cembre,assembl6e,assemblafEANNE,,,,,,,,,,,,
104,PRBMIIRRE,fortPRMIIRRE,trs-fort,,,,,,,,,,,,,
105,Eh bian,Ia,QIATMIIn,IA,,,,,,,,,,,,
106,Comment dane,Mm,rome,la somme,,,,,,,,,,,,
107,bourg,de Bourges,Bourges,,,,,,,,,,,,,
