cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0.0,ROMAIN,rome,maine,Haine,Aini,,,,,,,,,
1.0,Laisse,valais,suisse,Laissons,,,,,,,,,,
2.0,Lin insu,"N
 I",Insult,,,,,,,,,,,
3.0,Catharine,Gatharine,hargbr,,,,,,,,,,,
4.0,friche,Riche,,,,,,,,,,,,
5.0,Voil,voil,toil,a Voil,,,,,,,,,,
6.0,RN sAVOIR,RN SOVI6GR,choirs,savoie,savigny,,,,,,,,,
7.0,d6pluie,d6pana da ux,,,,,,,,,,,,
8.0,io m6-,m6-,,,,,,,,,,,,
9.0,P6onnerie,ner,R6chaufferie,Rianderie,,,,,,,,,,
10.0,Louiso,Louial,ruisonnublo,Bouira,grdantlLouis,Louisjouissait,,,,,,,,
11.0,china,chine,Agel,Jasphino,lme Inaugur,,,,,,,,,
12.0,"LHIII

II
 Sil
III","IL -
II 
lI
l
III
S","IL M.

2
 
IL
CL","ii

I
I

II
E
E",PAIII,"II

L","I S
d-a",,,,,,,
13.0,r::--JEANNE,jEanne,suf-JEANNE EPOLB EP,suf-JEANNE,jeanne7,Jean russe-JEANNE VEUVE,,,,,,,,
14.0,tan,tane6,WAtan,,,,,,,,,,,
15.0,lahelle,ELlE--,moselle,,,,,,,,,,,
16.0,Rienne,Rienne Is,vienne,enne,Rience,lennne,deVienne,,,,,,,
17.0,Lejeune,jeune6,Neuner,l'6tat,Jeune,brune,--La jeunesse,,,,,,,
18.0,"Pierres-
Folles",Pied,Pierres-,vollh,,,,,,,,,,
19.0,mre Nnnnatto,mra Nunnatta,mara Nunnatta,mra las,attach6s,,,,,,,,,
20.0,le japon,jugez-en l Jai,caus6,bruges,,,,,,,,,,
21.0,Journe,RMIRnE,Fournir,journe,,,,,,,,,,
22.0,Ilordinarie,ILo,lordinuaire,ardin,,,,,,,,,,
23.0,desire-us,vire,ssir,svre-le,,,,,,,,,,
24.0,Nunnette,mre Nunnette,Nunnetto,mre Nunnetto,mbr Nunnette,leunne,,,,,,,,
25.0,bont6,ont6,,,,,,,,,,,,
26.0,- Tiens,Tiens,yens,Conviens,Liens,,,,,,,,,
27.0,tta hussa at la queue,at laure,tta hussa,,,,,,,,,,,
28.0,Normaux,Maux,,,,,,,,,,,,
29.0,"au-
tres",au-,tres-joyeuse,"Cun-
t-mOi g.",,,,,,,,,,
30.0,fumer tes champs.-,"Eh bionl js prendruais un de tes champs on
permanent",Chamnnlhrs,,,,,,,,,,,
31.0,Eh bian,porto bian,porto,,,,,,,,,,,
32.0,veines,Ines,heinz,lapeine,,,,,,,,,,
33.0,rand-ail,Grand BAil,Granit,"Grand-
Bail",Grand,Grand-Hail,Grand-Hal,rand-Bail,lean Jusserand,Grand-Bail,Grand-,,,
34.0,Quen,que',Poques,,,,,,,,,,,
35.0,france,fran,la France,,,,,,,,,,,
36.0,sua,sua tre,tre,,,,,,,,,,,
37.0,voulez,seoul,Voue,lez,Roule,,,,,,,,,
38.0,JANNIH,Jane,BANNI,ann8e,,,,,,,,,,
39.0,truavailles,Feuillet,ille,chbvrfauille,marseille,mara Feuillet,Mapuuvrefille,habill6e,aiguilles,bailleurs,,,,
40.0,verriaes,Berry,serrure,MIERR,,,,,,,,,,
41.0,mexique,quoiquil,Afrique,,,,,,,,,,,
42.0,lunno,Ia ptit lunn,gunn,Vars,lune,,,,,,,,,
43.0,PARIS,Paris,Nu PARIS,paros,,,,,,,,,,
44.0,soignerai,espagne,gne,,,,,,,,,,,
45.0,eontoentol,Tents,stonttot,,,,,,,,,,,
46.0,"II

---
Jeane","Saint-
Jean",Saint-jean,Saint-Jean,Saint-Pierre,,,,,,,,,
47.0,-Merci,mero,,,,,,,,,,,,
48.0,donn,honnos,honn,tres-honnete,,,,,,,,,,
49.0,petitl,Grund,Etienne burundi,Etienne,,,,,,,,,,
50.0,aid6,Aidez,d6aider,,,,,,,,,,,
51.0,- Veux-tu,noeux,Noel,,,,,,,,,,,
52.0,Vois,Aixois,Sois,oise,,,,,,,,,,
53.0,Mascotte,mre Nanntte,tte,Mettez,,,,,,,,,,
54.0,herg,cher,Cher,s6cher,,,,,,,,,,
55.0,fiivre asi,vee A,asie,,,,,,,,,,,
56.0,Vons,vona,,,,,,,,,,,,
57.0,manche,la manche,,,,,,,,,,,,
58.0,aupr da mol,auprs,Aprs,,,,,,,,,,,
59.0,tete,Etehaeun,Achetez,,,,,,,,,,,
60.0,dshir6,t0t tir6,,,,,,,,,,,,
61.0,irrit do lh,nit do,,,,,,,,,,,,
62.0,garon,mon garon,garniront,,,,,,,,,,,
63.0,m6decins,mdecin,,,,,,,,,,,,
64.0,marehanderai,remarqu6,MARR,mara,,,,,,,,,,
65.0,Nai,Nai-j ps ma ur,,,,,,,,,,,,
66.0,tasmanie,ommana,maduama,Maman,,,,,,,,,,
67.0,port6,aport6,mortifi6e,,,,,,,,,,,
68.0,Notre,Notre Pere,peru,,,,,,,,,,,
69.0,Hautes-cloches,quartier-l,Hautes-SEG0NDR PARTIE,PRERR PARTIR,Noel.rREMII PARTIR,,,,,,,,,
70.0,nuttre Tixior,"juif
- Moi","f
- Muattre Tixier",,,,,,,,,,,
71.0,Voyez,envoy6,croyez,,,,,,,,,,,
72.0,Mange,orange,Solange,Lange,vendange,dangar,,,,,,,,
73.0,rs-y ademe,mademoiselle,Mesdemoiselles,,,,,,,,,,,
74.0,A leglise,Colis,"II
W
I
civilIs
H.",,,,,,,,,,,
75.0,IBANN,mhmeIBANKR,So-,meissan,nankin,,,,,,,,,
76.0,"E

E",Muitra,naftra,payetra,llan'y rontrarapus,,,,,,,,,
77.0,toninnli,RN AVION,Ionis,,,,,,,,,,,
78.0,Mlurguerito,Marguerite,Margue-,vel6e de Marguerite,,,,,,,,,,
79.0,lDieu,Dien,Ien0,,,,,,,,,,,
80.0,aouset,museum,Nousla,,,,,,,,,,,
