cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,"pas-
sar","dr jorge is
sas",dr,"pas-
sividude","pas-
sar as agulhas",fxav,,,,
1,1E,Atraz,"irremediaveis
seatracies",Trai,braza,passo atraz,Tejo,"ATR0 N01ELAS
MA


L v",tra,"y
ATR0"
2,Incte,Incr,,,,,,,,
3,nio mara,vagabuudo mar,i mata,"nio pode-
ria",nio vista,,,,,
4,"fa-
nilia",Emilia,"da-
goas",familia,So,silvas,,,,
5,Portugal,eserevaninha portugal,B6as,em Portugal,Importa-me,H6je,portugal,Portuguesa,,
6,Deixou,rio mudei,Deixe,,,,,,,
7,lha,Olha,Rodilha,7s,,,,,,
8,minas,Fa,dornas,Mina,snr,Z4fa,,,,
9,Convente,Surrateiramente,pr,UMa,La,Verdadeiramente,Adamente,Fugiram,I00,tei
10,Africa,America,Oh Amirricana,Vai-to,0U,,,,,
11,"III
Vinha",visinhan lugubre,MInha-,Terazinha,eranga da avesinha,Minha,,,,
12,nia,agoniada2,calumnia,mania,Ol,,,,,
13,MAdre angelica,"Madre
Angelica",Soror Angelica,Madrid,Madre Audacia,"Madre
DELICADA","Madre Angelical
tenho ma",Madre Angelica,,
14,pe,Superior,serio,MAdre Superior,Madre Superior,Mar Superior,supp,Padre-Superior,F,"4(00
Ixsrarcio"
15,Senhora do Castelo,Senhora,Senhora ID,It0 D1 CIL,Tenho,Engenho ae castro,"Senhora
dos Verdes ?","Senhora
dos Verdes",,
16,Campos,rocn,"cam-
pos amanhecer",sabe2,sab-la,Decerto,Todos us,,,
17,O0,COmO,Comboio,compensacio,io,,,,,
18,Christinae,Tinlma,U0,Triste,Christina,Clristina,EXISTIR,Qnom,Chistina,
19,Havana,Recordava,ci,marulhava,pormenorisava,,,,,
20,Est,Estive,Im,reden,cstidvs,,,,,
21,Mariquinhas,Quiz,Mariquinhas an pe delle,Mariquinhas-,MAriquinhas,,,,,
22,us,pre,"nio
compreendia",Compreendia,Una,doscendia,Nao,Desprender,Endireitei-mo,
23,hispeda,Pedir,pedacoes,despedaoar,,,,,,
24,Ois ds Pobres,Sobretudo,Pobre,s6a--,l,"Pobre MAdre Lan-
dea?",lugubre,,,
25,L1s es,Peniche ...,av...,Peniche,Ah,di,,,,
26,Choravam,Chorava,mclhoras,1L,"Nasc
chore",Ii,Lembrava-so,,,
27,Soror Mnnoelal,Soror Maoela,Soror Manoel,Soror,logo1,,,,,
28,Y-,vontade2,m pontap,sta posso irradinva nma,Onotono,Ponta do Ferido,,,,
29,"io
Luiz de Nagahaes",velha de soalheiro,Paulino de Oliveira,sei.l,Olieeim,,,,,
30,montio,Mon-,ceremonia,,,,,,,
31,Il,Lima,Animais,lagrimas,Lima VIda,proxima,ma victima,,,
32,Sofria,"sim-
patria",Dispensariam,Iria,Obrigatorias,,,,,
33,feit0r,IeIt,er,vila ne ngeitarn,,,,,,
34,Id,serena,Seres,dizer:-,leresia,s6,,,,
35,Cederia,Queria,materialisar,,,,,,,
36,Ama-Imita,Coitadinlol,E500,Ama-Rita,si-,Ama-Rtita,,,,
37,LishOs,Lisboa,"Lisa da
Roda",Lis,"L--
Lis-",,,,,
38,Acordara,Iuvcjara,ma,Paraizo,Cuidaram,Ouves,Clara,Chegara,oleografia barata,
39,Ia,Emquanto,pranto:-,Quanlo,Cantos,,,,,
40,oearamanchio,Chamaram-me,chamin,Imaginaram-,chamava--,,,,,
41,v,MIas,MIa,MIaoola,ue,,,,,
42,tiro,"es
tir",,,,,,,,
43,Podia,Socegasse,india,tragedia,Diabo,5I,,,,
44,Representou,ciments,docididamento,"Presentimento-
tos",valentim,Entro,Sentia-a,pungento,,
45,U Raquel,aquelle,aquella,aquella santa casa,E3J,Aquella,Aquellas,naquella ocasino,naquelle,
46,Talhados,Lado,Obrigado,Sagrado,mae,,,,,
