cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29
0,Ia,"sim-
patria",rcbeliaio,india,Sentia-a,Infias,LA IA,aguia,L1 CIA,Vivia,familia,volvia,Iria,deseonfianga,Relia,nia,Dizia,MIas,MIa,Podia,Diabo,BACIA,nsia,CIA1NA,MIaoola,Iages,mania,calumnia,Queria,Emilia
1,MAdre Superior,dr,supp,Madrid,Padre-Superior,Superior,Mar Superior,Madre Superior,,,,,,,,,,,,,,,,,,,,,,
2,Il,IL,"fa-
nilia",,,,,,,,,,,,,,,,,,,,,,,,,,,
3,elle,volta delle,porto delle,so delle,nelle,dclle,Ello,elle lhas,p6 delle,lle,EL,rapazes corpo elle,lle respondar:--,pellucia,rua onda elle,a9,,,,,,,,,,,,,,
4,Ros,Prospero Aquilo,H6je,Ymnos,"sr
formosa",Mos,"Pros-
pera",tiro,c6ro,"Pa-
dro Jose
nCIA",rocn,Amhos,,,,,,,,,,,,,,,,,,
5,diligencia,"digno
ancia menor",di,U0,sa iuteligencia,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sahi,sahiu,Ah,Dahi,bahs,sabe2,sahir,Sahir,,,,,,,,,,,,,,,,,,,,,,
7,Colombo,logo1,Coitadinlol,Comboio,COmO,,,,,,,,,,,,,,,,,,,,,,,,,
8,Terezinha,vergonha,"Terezinha da Mesa
do Padre",crescidinhn,Tarezinha,Therezinha,Pobre Terezinha,Torezinha,Tenha,Terazinha,amplid Terezinha,,,,,,,,,,,,,,,,,,,
9,Eia,IeIt,Creia,sei.l,Veia-lhe,ODeia,Candeia,feit0r,,,,,,,,,,,,,,,,,,,,,,
10,alegre,Alegre,Tigre,"EXISTIR
alegre",,,,,,,,,,,,,,,,,,,,,,,,,,
11,Revoltar-se,Teresita do Loureiro,Seres,serena,fl6res,leresia,esperasso,Desprender,Serra da eStrella,flores,serio,,,,,,,,,,,,,,,,,,,
12,Choravam,Chorava,"Nasc
chore",Havana,Cavalinho,pormenorisava,Cho-,Recordava,mclhoras,,,,,,,,,,,,,,,,,,,,,
13,Pois,dEpois,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"L--
Lis-",Lis,IguAiS,LishOs,Leis,normalisou,materialisar,Lisboa,,,,,,,,,,,,,,,,,,,,,,
15,s6,s6a--,o6,s6 l,,,,,,,,,,,,,,,,,,,,,,,,,,
16,desmantelos,MAnoel,Manoel,Manoel atalhou:-,Annel,Maoela,"Sofrer
Manoel",F,,,,,,,,,,,,,,,,,,,,,,
17,Mariquinhas,Quiz,MAriquinhas,Mariquinhas-,Mariquinhas an pe delle,,,,,,,,,,,,,,,,,,,,,,,,,
18,us,trinufussc,"E73
Deus",Us,Deus.-,Dous,Adeus,Todos us,,,,,,,,,,,,,,,,,,,,,,
19,av...,Peniche ...,"sen
chapeo",Peniche,Chico...,,,,,,,,,,,,,,,,,,,,,,,,,
20,Estrada,oleografia barata,tra,Trai,cstrungcira,tr,tragedia,passo atraz,Atraz,,,,,,,,,,,,,,,,,,,,,
21,"cam-
pos amanhecer",Chamaram-me,Cuidaram,Imaginaram-,chamava--,E3J,oearamanchio,,,,,,,,,,,,,,,,,,,,,,,
22,Santas,"Santas
Terezas",aquella santa casa,san cantinho,Easgotado,santa refletia,,,,,,,,,,,,,,,,,,,,,,,,
23,Fonte do Inferno,Inferno,Ponta do Ferido,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,er,Viera,herva,Decerto,dizer:-,versajar,,,,,,,,,,,,,,,,,,,,,,,,
25,1L,herdaste,Bernardas,Acordara,"taberna
do Goitoso",dornas,,,,,,,,,,,,,,,,,,,,,,,,
26,ahi is carlos,tavares Cardoso,Adro Cardoso,m carvalho,"S


Ce",Ccin dos Cardenes,,,,,,,,,,,,,,,,,,,,,,,,
27,Ama-Rita,Maloitas,Fitava-n,Ama-Imita,Ama-Rtita,,,,,,,,,,,,,,,,,,,,,,,,,
28,MInha-,Caminho-me,eranga da avesinha,Minha,chamin,Miguelsinho,visinhan lugubre,,,,,,,,,,,,,,,,,,,,,,,
29,snr,Brnnswick,bulicosns,liconcn,,,,,,,,,,,,,,,,,,,,,,,,,,
