cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
0,us,Dous,Us,Todos us,trinufussc,,,,,,,,,,,,,,,,,,
1,pre,pr,reden,proprio,Apressou,Desprender,Presa,,,,,,,,,,,,,,,,
2,"pas-
sar",v,"dr jorge is
sas",E3J,"pas-
sividude","pas-
sar as agulhas",,,,,,,,,,,,,,,,,
3,Incte,Incr,,,,,,,,,,,,,,,,,,,,,
4,tavares Cardoso,"S


Ce",ahi is carlos,Ccin dos Cardenes,m carvalho,Adro Cardoso,,,,,,,,,,,,,,,,,
5,Est,Estive,Serra da eStrella,este9,qnestes,Estremoz,Estrada,,,,,,,,,,,,,,,,
6,Portugal,eserevaninha portugal,em Portugal,Importa-me,portugal,Portuguesa,,,,,,,,,,,,,,,,,
7,Deixou,Vou,Deixe,,,,,,,,,,,,,,,,,,,,
8,lha,velha de soalheiro,Talhados,Olha,Rodilha,marulhava,,,,,,,,,,,,,,,,,
9,minas,B6as,dornas,J,Mina,,,,,,,,,,,,,,,,,,
10,nia,ceremonia,agoniada2,calumnia,mania,,,,,,,,,,,,,,,,,,
11,MAdre angelica,"Madre
Angelica",Soror Angelica,Madre Audacia,"Madre
DELICADA","Madre Angelical
tenho ma",Madre Angelica,,,,,,,,,,,,,,,,
12,Superior,serio,MAdre Superior,Madre Superior,Mar Superior,supp,Padre-Superior,,,,,,,,,,,,,,,,
13,Podia,MIas,Creia,Ia,Infias,Dizia,Cederia,Queria,MIa,Diabo,CIA1NA,Relia,volvia,L1 CIA,BACIA,LA IA,Vivia,Eulalia,Iria,aguia,Iages,Eia,nsia
14,Senhora do Castelo,Senhora,Senhora ID,Tenho,Engenho ae castro,"Senhora
dos Verdes ?",Senhora Gertrudes,"Senhora
dos Verdes","sen
chapeo",,,,,,,,,,,,,,
15,Ihe,Olhe,Folheto,Ol,Recolhi,,,,,,,,,,,,,,,,,,
16,Mariquinhas,Quiz,Mariquinhas an pe delle,H6je,Mariquinhas-,MAriquinhas,,,,,,,,,,,,,,,,,
17,"nio
compreendia",india,Compreendia,doscendia,compensacio,,,,,,,,,,,,,,,,,,
18,pe,hispeda,Pedir,pedacoes,despedaoar,Dispensariam,,,,,,,,,,,,,,,,,
19,Colombo,Comboio,Tolos,,,,,,,,,,,,,,,,,,,,
20,Ai,Vai-to,ameacavaIm,naifrago,IguAiS,AIfredo Franca,,,,,,,,,,,,,,,,,
21,Pagens,pa,Paraizo,"sim-
patria",Paris,Pap,paulo,cachopa2l,Espanha,,,,,,,,,,,,,,
22,rocn,Ros,tiro,"Pros-
pera",Arouca,c6ro,Prospero Aquilo,rosnaninho incensvam,,,,,,,,,,,,,,,
23,Ois ds Pobres,Sobretudo,Pobre,"Pobre MAdre Lan-
dea?",,,,,,,,,,,,,,,,,,,
24,Peniche ...,av...,Peniche,,,,,,,,,,,,,,,,,,,,
25,Choravam,Cho-,Chorava,mclhoras,"Nasc
chore",pormenorisava,,,,,,,,,,,,,,,,,
26,Soror Mnnoelal,Soror Maoela,Maoela,Soror Manoel,Soror,,,,,,,,,,,,,,,,,,
27,Lima,Im,Animais,Olieeim,Lima VIda,proxima,,,,,,,,,,,,,,,,,
28,Fa,Faca,Z4fa,,,,,,,,,,,,,,,,,,,,
29,serena,Resignada,Seres,Teresita do Loureiro,leresia,,,,,,,,,,,,,,,,,,
30,feit0r,sei.l,IeIt,vila ne ngeitarn,Endireitei-mo,,,,,,,,,,,,,,,,,,
31,"cam-
pos amanhecer",oearamanchio,Chamaram-me,Imaginaram-,Fugiram,chamava--,,,,,,,,,,,,,,,,,
32,Havana,Recordava,Andava,Anda,Finda,,,,,,,,,,,,,,,,,,
33,Mon-,Mos,1L,"sr
formosa",,,,,,,,,,,,,,,,,,,
34,Representou,ciments,"Presentimento-
tos",Sentia-a,pungento,,,,,,,,,,,,,,,,,,
35,Christinae,Triste,Christina,Clristina,EXISTIR,cstidvs,Chistina,,,,,,,,,,,,,,,,
36,Amhos,Conselhos,Aconselhava-a,sonsnaco,Conseguira,Constan,,,,,,,,,,,,,,,,,
37,Il,It0 D1 CIL,Cacilda,IL,i,silvas,,,,,,,,,,,,,,,,,
38,qua nella,U Raquel,aquelle,aquella,aquella santa casa,Aquella,nella,ue,Aquellas,naquella ocasino,naquelle,,,,,,,,,,,,
39,I8,I83,,,,,,,,,,,,,,,,,,,,,
40,ma crianca,Sofria,CRIAN,deseonfianga,DO3 CRIAN,"es cria-
dos",,,,,,,,,,,,,,,,,
41,Una,"nau-
Meza",Nao,joeundns,,,,,,,,,,,,,,,,,,,
42,Tinlma,vagabuudo mar,UMa,i mata,Maloitas,ma,Madrid,MAl,mam,almada,te-Mal,Marques,mae,ma victima,,,,,,,,,
43,"venturus de
qne nio",N,Qne,Annel,Nem,,,,,,,,,,,,,,,,,,
44,flores,fl6res,Fsplendores,florida:--,logo1,,,,,,,,,,,,,,,,,,
45,versajar,herdaste,Viera,herva,polo imperador,er,dizer:-,vergonha,Decerto,,,,,,,,,,,,,,
46,Santas,"Santas
Terezas",santa refletia,,,,,,,,,,,,,,,,,,,,
47,Oh,l,Ohl,,,,,,,,,,,,,,,,,,,,
48,CAIxA,fxav,Baixa,caixoes,,,,,,,,,,,,,,,,,,,
49,vontade2,m pontap,"entao cari
hora",Entao,Entro,entao2,,,,,,,,,,,,,,,,,
50,nio mara,coisa.- Nio,Nio,"nio pode-
ria",nio vista,nio,,,,,,,,,,,,,,,,,
51,dEpois,Pois,,,,,,,,,,,,,,,,,,,,,
52,Africa,America,Oh Amirricana,tisica,reticencins,Tica,causticar,DE3A NIcA,ITICRIRA,,,,,,,,,,,,,,
53,"casa dos
Carneiros",Ymnos,Casar,nossa casa,Dasatou,ossa consciencia,nossa velha igreja,mo ca,,,,,,,,,,,,,,,
54,Fitava-n,Saltava,Revoltar-se,Alta,,,,,,,,,,,,,,,,,,,
55,Santo Deus,Deus.-,Adeus,"E73
Deus",,,,,,,,,,,,,,,,,,,
56,"Pa-
dro Jose
nCIA","digno
ancia menor",sa iuteligencia,diligencia,di,vencida.-,,,,,,,,,,,,,,,,,
57,bulicosns,liconcn,Brnnswick,snr,,,,,,,,,,,,,,,,,,,
58,Obrigado,Obrigatorias,Sagrado,Easgotado,,,,,,,,,,,,,,,,,,,
59,sabe2,Bernardas,"taberna
do Goitoso",Goitoso,,,,,,,,,,,,,,,,,,,
60,E500,I00,,,,,,,,,,,,,,,,,,,,,
61,Menino,Ins,Peninsula,2E,Peninsula iberica,,,,,,,,,,,,,,,,,,
62,visinho cemiterio grasnaram,visinhan lugubre,lugubre,,,,,,,,,,,,,,,,,,,,
63,"vera pessoa do bom
padre Ze",dr,bom do padre,Zafa do Patde,,,,,,,,,,,,,,,,,,,
64,olla,pe dolla,Lado,Mlaneoela,MIaoola,chalaca,La,Falar,sab-la,Claudea,Cula,,,,,,,,,,,,
65,Fonte do Inferno,Ponta do Ferido,Inferno,,,,,,,,,,,,,,,,,,,,
66,Ama-Imita,Ama-Rita,Ama-Rtita,,,,,,,,,,,,,,,,,,,,
67,fortaleceru,Cavalinho,valentim,jaleca,valle,valle...,vale,exal,,,,,,,,,,,,,,,
