cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0.0,Creia,Eia,,,,,,
1.0,liconcn,bulicosns,Desconcertada,,,,,
2.0,feit0r,It0 D1 CIL,vila ne ngeitarn,IeIt,,,,
3.0,Coimbra,"Oito
Coimbra",Cadeira de Coimbra,,,,,
4.0,Anda,Finda,Andava,,,,,
5.0,Aquella,Aquellas,naquella ocasino,naquelle,aquella santa casa,U Raquel,aquella,aquelle
6.0,primasia,lagrimas,vasia,nsia,,,,
7.0,Adamente,docididamento,Verdadeiramente,Surrateiramente,almada,Convente,Francamente,
8.0,Incte,Incr,rosnaninho incensvam,II1I,,,,
9.0,"sr
formosa",j.conforada,Mos,pormenorisava,,,,
10.0,Saltava,Fitava-n,Havana,Alta,,,,
11.0,MIa,MIas,MIaoola,,,,,
12.0,Comboio,COmO,Campos,Colombo,,,,
13.0,passo atraz,Socegasse,Atraz,,,,,
14.0,nella,Annel,qua nella,,,,,
15.0,CHICA,Chico...,Chica,Chico,DU chICA,,,
16.0,nio mara,rio mudei,vagabuudo mar,i mata,,,,
17.0,Entao,entao2,"entao cari
hora",Entro,,,,
18.0,Cavalinho,Vai-to,ameacavaIm,,,,,
19.0,diligencia,vencida.-,ossa consciencia,reticencins,sa iuteligencia,,,
20.0,Claudea,saude,,,,,,
21.0,Ama-Rita,Ama-Rtita,Ama-Imita,,,,,
22.0,"taberna
do Goitoso",Goitoso,Bernardas,,,,,
23.0,Inglaterra,Ate,terra,Ingl,,,,
24.0,Decerto,fortaleceru,jaleca,,,,,
25.0,"nio pode-
ria",nio,nio vista,Nio,"venturus de
qne nio",coisa.- Nio,,
26.0,Dahi,Sahi,sahiu,sahir,Sahir,"sc
sahir da lareira",,
27.0,velha de soalheiro,nossa velha igreja,Veja-a,Tigre,nossa casa,,,
28.0,sc sangue,Santas,santa refletia,san cantinho,"Santas
Terezas",,,
29.0,Trepadeira,Clara,"Clara do
Trepadeira",Clara do Rezadeira,Clara do Reza-,cadeira2,"Clara de
Rezadeira,- coitada",
30.0,Tambem,Tambem Eduardo,,,,,,
31.0,aes,"io
Luiz de Nagahaes",Quiz,,,,,
32.0,Easgotado,Lado,Talhados,Sagrado,,,,
33.0,lle,rua onda elle,rapazes corpo elle,elle,nelle,Ello,dclle,elle lhas
34.0,Parece-mo,Esquecia,Parecia,Desconhecia,,,,
35.0,morro do saudades,Saudades do Rei,"MIHII1
ma saudade",,,,,
36.0,cstidvs,Estive,Est,,,,,
37.0,minas,dornas,Mina,,,,,
38.0,Alegre,"EXISTIR
alegre",EXISTIR,alegre,,,,
39.0,Olha,marulhava,Rodilha,lha,,,,
40.0,rcbeliaio,IIAIII0O,Relia,,,,,
41.0,"pas-
sar as agulhas","pas-
sar","pas-
sividude",,,,,
42.0,"Pobre MAdre Lan-
dea?",Ois ds Pobres,Pobre,Sobretudo,,,,
43.0,MIss,Disso-mo,mis,,,,,
44.0,proxima,Animais,IguAiS,,,,,
45.0,"Pa-
dro Jose
nCIA",policia,pellucia,L1 CIA,CIA1NA,BACIA,"digno
ancia menor",
46.0,brunida,danida,cstrungcira,,,,,
47.0,montio,Mon-,,,,,,
48.0,"Madre Angelical
tenho ma",Madre Audacia,"Madre
Angelica",MAdre angelica,Soror Angelica,Madre Angelica,Madrid,
49.0,Tejo,Alemtejo,vale,,,,,
50.0,visinho cemiterio grasnaram,visinhan lugubre,lugubre,Miguelsinho,,,,
51.0,mo ca,Adro Cardoso,tavares Cardoso,,,,,
52.0,Lima VIda,ma victima,Lima,,,,,
53.0,somno,Ymnos,,,,,,
54.0,volta delle,p6 delle,porto delle,so delle,,,,
55.0,sab-la,sabe2,,,,,,
56.0,Mariquinhas,Mariquinhas-,MAriquinhas,Mariquinhas an pe delle,,,,
57.0,Senhora,Senhora Gertrudes,Senhora ID,Senhora do Castelo,,,,
58.0,Obrigatorias,Obrigado,,,,,,
59.0,desilusoes,silvas,desmantelos,,,,,
60.0,mania,agoniada2,nia,calumnia,,,,
61.0,versajar,Iuvcjara,Paraizo,oleografia barata,,,,
62.0,Ouves,Folheto,Olhe,ramilhete,,,,
63.0,"Senhora
dos Verdes","Senhora
dos Verdes ?",Todos us,,,,,
64.0,Barba Azul,"MAria
Augusta",Maria Augusta,MAria Angusta,MAria,,,
65.0,Falar,"sen
chapeo",chalaca,Faca,,,,
66.0,"irremediaveis
seatracies",Leis,"dr jorge is
sas",,,,,
67.0,Onotono,"d
bonita",Tonito,Granito,,,,
68.0,"quasi
caveira",quas nio,Quasi,"quasi
odiento",,,,
69.0,Tolos,Ccin dos Cardenes,m carvalho,"S


Ce",ahi is carlos,,,
70.0,Santo Deus,Deus.-,"E73
Deus",Adeus,,,,
71.0,felieidndo,Mloeidada,"felicidade p
terna",FElicidade,felici,ACINICID,,
72.0,sonsnaco,Fugiram,Constan,Conseguira,Aconselhava-a,Conselhos,aguia,
73.0,pranto:-,Cantos,Emquanto,Quanlo,,,,
74.0,dizer:-,Dizia,,,,,,
75.0,Amhos,Queira,tei,"grande
nogueira",INTEIRA1,Freira,intencaao,
76.0,tiro,"es
tir",,,,,,
77.0,Manoel,Manoel atalhou:-,MAnoel,"Sofrer
Manoel","Soror
Manoel",Mlanoelaa,,
78.0,Paris,Sorrisos,Sorria,,,,,
79.0,"III
Vinha",Caminho-me,Espanha,MInha-,vergonha,Minha,eranga da avesinha,
80.0,Chegara,cheur,CheGou-a,,,,,
81.0,Estados-Unidos,Encostado-so,Encostada,sta,,,,
82.0,ITICRIRA,tisica,Tica,DE3A NIcA,causticar,,,
83.0,"y
ATR0","ATR0 N01ELAS
MA


L v",,,,,,
84.0,prociss5es,proprio,rocn,,,,,
