cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,Palais—Îroyal,Palais—Royal,Palais—,Palais,V’,Îroyal,,,,
1,rère,Thérès_en,ﬁère co‘ujme‘ A;rtaban,Y-7,PBIÈRE,,,,,
2,",“","A,“",,,,,,,,
3,—on,Toinon,dragon,CONSCRIPTION,bâton,on.—,M_ON,Ù\,,
4,"ÇéEn_ÿ,_'-",-_'4‘1,—'-,,,,,,,
5,ÎÏ,"È""{'f",.,,,,,,,
6,contente—,Monte,trente—six,tiote,TE‘M,fontaine Sainte—Radegonde,contribù—,,,
7,bague,f,obam—,bégueu—,baguénau—,,,,,
8,Viens,Tiens,vien—,bien—,Deviendront,amiens—,Vieux,vienne‘t1quelque,dC—,
9,ANT,Ïépêtani,Vans,mitan,JŒ,avaitî-disant parlé de le faire,lants,An--,montagne blanche,
10,répon—,juron—,o,répondez,,,,,,
11,ﬁelle,journelle—,Brünelle,—elle,Cellier,all I‘ll,Allez,Cel-,®,
12,Comprenez,rendez—,comprend—,Aﬁn,-!,prend—,,,,
13,rer,réserve de monsieur,Er,"vieux ber—
ger",Perpétue,ler,Alerte-,"JÆ’,F——Er",Alger,serre1
14,vou—-,trou—,"P.Èg""e Bout",51,bou—,nu—,déjeu—,Ë,boule—,boursi—
15,ména—,a—,M,orga—,caba—,ha—,,,,
16,pe—,déve—,reve—,pe+,,,,,,
17,.täLﬂ—,"i""a",A-,,,,,,,
18,char—,apparait—,épar—,goguenar—,empar—,,,,,
19,j’,S,J’,,,,,,,
20,"reconnais—
o.",recon—,reconnais—,IÇ,,,,,,
21,Al—,l—,125,d'ﬁy,morale—,n1,,,,
22,—- Tâche,- -,L -' r,"per audi—

- -«",- - d,M{r,"À Î—YÏLLE& :-

- .'—.'",A '- ',,
23,—,"XII

L‘ÉPIDÊMiE",l*épidémg,ï L,v—,s’,,,,
24,‘Î.f,"m1

.f_",i=?‘îËñîgîâ 3.— i,"Î:-"".f",,,,,,
25,—— Faut,Fùt,Faut,,,,,,,
26,M4,F,,,,,,,,
27,.v,C,.va_.,,,,,,,
28,c-.--,4-.-.,"-«.-.«,»w_,æw",4--_,N-.M‘æ“\—nu,w -.-,,,,
29,._.“-—4,._,.q-._-,t,b_—_._,._-,——._,._—,._'d,
30,v-w——,v-,w—,I‘::*7w—:æ-r,,,,,,
31,grande—,-*m,Vêndœ,grands—,graines,u;gr,A,,,
32,Plæ,VÎPLACE,plus—,B,,,,,,
33,m’as—tu,Î,l‘embarras,As,Assis,M’aimeras,Las,masoarades,,
34,là',Voilà,Voilä,Mevoilà,,,,,,
