cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,Agréez,m’as—tu,._.“-—4,l.,"ot—""w",,,,
1,Tachons,Îæ-T‘Çﬂl‘w,CONSCRIPTION,Bonsoir,Céret,calomnie—,,,
2,—on,dragon,"-«.-.«,»w_,æw",N011,,,,,
3,"reconnais—
o.",recon—,D1zy,reconnais—,._-,,,,
4,Q,M,C,,,,,,
5,Palais—Îroyal,Palais—Royal,.\,Palais—,.-f.-,Palais,Îroyal,,
6,brillam—,ﬁon VILLAGE,ù0N VILLAGE,-VILLAGE,.1-,"M,9_N v.u","Î_M‘ j

MON VILLAGE",VILLAGE,brin
7,contente—,Monte,trente—six,pe+,-4_,contribù—,,,
8,sa.—,J,".--,—.",T.—,,,,,
9,ANT,pe—,Aﬁn,péti—,avaitî-disant parlé de le faire,lants,Alger,,
10,M4,.-—-,IÇ,guérir-a. _,lü’,,,,
11,glise,Vaise,Pat—\,.:,Devise,A '- ',,,
12,rendez—,comprend—,av…,—'-,Fùt,gr -»«_—.,renom—,prend—,
13,r'=,J—3—“J.,"S
E","È""{'f",Êçet,Dizy,,,
14,réserve de monsieur,Sitôt,Î_—,l.âiïJÏ.—.Ü.Ë,Iæfa‘.r3 Denis,I‘::*7w—:æ-r,usqu’,serre1,
15,bague,bégueu—,goguenar—,B,,,,,
16,vou—-,trou—,"P.Èg""e Bout",bou—,"XII

L‘ÉPIDÊMiE",Plæ,boule—,boursi—,ha—
17,Ïépêtani,Satané,m.œ:-——,mitan,,,,,
18,51,demi—mal,.v,L.‘;Q.ù‘lll-,Ë,jusqu’,T’,,
19,.;‘.-î-,Moulin—,Poulains,pée,linémeutes6,"Î:-"".f",,,
20,Doro—,—- Tâche,Cachez,montagne blanche,,,,,
21,"i""a",Bemblay,".‘.:.L.‘ “'

—-.'.—",ÜÜA4.P,M_ON,,,,
22,vien—,bien—,déve—,Deviendront,,,,,
23,"ÇéEn_ÿ,_'-",".,",‘Î.f,ﬂ!tuM‘ W,"m1

.f_",r—,5Î-r .- s.f _,,
24,—— Faut,L -' r,M’aimeras,Faut,Las,,,,
25,Al—,nu—,.'2,.d,,,,,
26,l‘embarras,-!,"F.,—.““.—",u-1,,,,,
27,Saint-,"mur une'îrñage
de sainteté",ﬁllettes de Saint—,i=?‘îËñîgîâ 3.— i,Le soleil,fontaine Sainte—Radegonde,,,
28,c-.--,Bérénice,4-.-.,II,ÿ«—,w -.-,,,
29,rer,Toinon,pré Brugnon,renon—,M’,Ëïüﬂîæi,couvent Brugnon,d’,
30,répon—,\,.:_n:r,juron—,juré,ÎJ,Avez,buis,
31,en',m’y endur—,concur—,cœur—,endom—,,,,
32,mr—ﬁùw,—,T-:'ET”ü,v-w——,V_.,W,-,"z.;,_f",
33,l—,,,,,,,,
34,Rose n’,F{:.-,Rose,Bose,"Rose,.dit",gros—,A,,
35,ﬁelle,journelle—,Brünelle,—elle,Cellier,ix,Allez,P‘,appr—
36,Î,".—_.,__.4",b_—_._,.—_ML_A,.—__-_Q.,qu’,,,
37,Jean—,Jean—Glande,Jean—Claude,n1,,,,,
38,-_'4‘1,"lez

Donc",Donc,donné—,,,,,
39,rère,ﬁère co‘ujme‘ A;rtaban,._,PBIÈRE,,,,,
40,hu-,mgr—{t,déjeu—,,,,,,
41,histoire—,quatre—,role,quatre—vingts,w—,Votre,maîtresse}. Pierre,,
42,Norne - ‘,j’,Norne,ï L,Füt—ce,,,,
43,Save2Ëveùs,savoir—,TE‘M,.,Savoyard,,,,
44,As,LH,JÆr,‘m.——-—'m,,,,,
45,ler,125,s«—i,.'£-'è—,,,,,
46,Çqu',Maman,cama—,l‘a,Manot,Jamais,,,
47,III 1:5,débat—,JŒ,tiote,,,,,
48,"Ver—

- ”\-",Relever—vous,Ç’,"mer—

La",Ver—,,,,
49,",“",Er,Martincourt,Morlinco‘art,à_Morlincourt,®e‘tu 'n’,Morlincourt,dC—,
50,Î-æﬁle,all I‘ll,Alerte-,.va_.,Sufﬁt,Ù\,,,
51,dandi—,-*m,Armandie,Armandine,,,,,
52,-—.,._—,.—ÎL,J’,È,,,,
53,de-Nom,enqu—,v-,m’,ÏÊ,V’,,,
54,jure—-,Mah,Figurez,l‘or,Lambin,Sure,A J.;.,,
55,L’,F,Perpétue,là',É,N-.M‘æ“\—nu,,,
56,"G-FQ——\l,.m",n’,obam—,.‘ç',Vêndœ,on.—,,,
57,Viens,Sens,Tiens,suré,amiens—,,,,
58,ÎÏ,v.——,.:“,,,,,,
59,.__.___-,so—,bâton,".,-___",.____,f—_.____,P,Fv.___—ÿr,AVGb
60,grande—,Céran,grands—,,,,,,
61,- -,orga—,"per audi—

- -«",- - d,"À Î—YÏLLE& :-

- .'—.'",,,,
62,entr-e,couragement,entr—,Ëêü“Www,ÎÊ-',enti—,Denis,Sent,
63,Désirée,Çä,Paris,M{r,Parisien,Parisiens,I,,
64,b—,répondez,veillée,endeuille,trav aille1,.;__,®,,
65,Voilà,Voilä,Mevoilà,,,,,,
66,Trois,f,Sois,v—,Crois,,,,
67,.:-&&:r‘tä-pri,l*épidémg,.q-._-,S,,,,,
68,Tournez,autour—,tour—,pour—,Tour—,TOuff,débour—,Tour,
69,Franz‘e,tran—,Fran—,"Fran—
ciers",,,,,
70,murs.-,État,Beur,açde,agitateurs—,état,,,
71,"vieux ber—
ger",Vieux,FRUCTUEUX,,,,,,
72,41—,Î’,o,._'d,,,,,
73,N orie,atten—,æoye_p,Riez,ﬂbatterie,atté—,Frotte,,
74,colonne Vendôme,Bonnets,sonne—,u;gr,,,,,
75,t,reve—,v.ü;ä,.Ï.nJ.cle,Vénus,caba—,aix,,
76,.l,demi—franc,la France,chancetés,France,,,,
77,Comprenez,ména—,Oli,VÎPLACE,Venez,ressouvenez—,V‘nez,,
78,beau—,baguénau—,chau—,peau—,,,,,
79,Mæsse,laisser—,"Clarisse

Manot",Clarisse,,,,,
80,du Nord,Nord,"extraordi—
naire",courtil de Nordine,tistes de Nordine,Nordine,,,
81,"Saint—
Brunelle",Saint—Quentin,Saint—Brutçue,Brunelle,Saint-Brunelle,Saint—anelle,Saint—Brunelle,,
82,Thérès_en,a—,"Norine !

Pauvre jeunesse!",Pauvre,Mon pauvre ﬁoul,,,,
83,"brava—
cherie",.-fffÏ,brava—-,brava—,,,,,
84,Jugez,indiffé—,l‘indi-,‘tp,,,,,
85,A-,,,,,,,,
86,.täLﬂ—,.|.I.IDUIŒÏË,Y-7,A I,d'ﬁy,,,,
87,Base,Basset,Cassiopée,Assis,Basstnrez,masoarades,,,
88,V0us,f|—,,,,,,,
89,Écoutez,ësflàz,senæcieuse—,Houses,la.—,"JÆ’,F——Er",couseuses,,
90,Wær,"quoi—

qu’",fl,moi—-,s’,Sortez,4--_,choi—,
91,char—,Jàd4n,chacun—,,,,,,
92,apparait—,Rime,épar—,empar—,"f:""_ü",,,,
93,Mor—,——._,morale—,,,,,,
94,Ï,l«———a,æ——,.«—1_———_-.—7Ë7—1r—_——.—7—7'—19—“,sède,A.c_'_——I&———u,———-,,
95,Seuil-,"A,“",Cel-,,,,,,
96,Vans,ca,calme—,vienne‘t1quelque,Por—,An--,Jacquet,ques—,
97,Norine,Maﬁdine,Devinez,_,plus—,graines,Nosine,,
