cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0,Palais—Îroyal,Palais—Royal,Palais—,æoye_p,Palais,Savoyard,Îroyal,,,,,,,,
1,Tachons,Cachez,CONSCRIPTION,choi—,chacun—,,,,,,,,,,
2,rère,Thérès_en,ﬁère co‘ujme‘ A;rtaban,Figurez,_,PBIÈRE,d’,Céret,,,,,,,
3,",“",C,"A,“",,,,,,,,,,,,
4,"ÇéEn_ÿ,_'-",-_'4‘1,—'-,,,,,,,,,,,,
5,contente—,Écoutez,Monte,entr-e,trente—six,couragement,tiote,enti—,TE‘M,couvent Brugnon,fontaine Sainte—Radegonde,contribù—,Sent,,
6,D1zy,"i""a",.d,Dizy,,,,,,,,,,,
7,Viens,L’,Ï,Sens,Tiens,vien—,bien—,Y-7,Deviendront,amiens—,Vieux,I,vienne‘t1quelque,,
8,ANT,Ïépêtani,Vans,mitan,avaitî-disant parlé de le faire,chancetés,lants,An--,montagne blanche,,,,,,
9,hu-,v—,u-1,n1,,,,,,,,,,,
10,M4,\,o,N011,,,,,,,,,,,
11,répon—,pré Brugnon,juron—,répondez,È,,,,,,,,,,
12,ﬁelle,journelle—,Brünelle,—elle,L.‘;Q.ù‘lll-,all I‘ll,endeuille,trav aille1,Allez,Cel-,,,,,
13,Comprenez,rendez—,comprend—,Vêndœ,Fùt,prend—,,,,,,,,,
14,rer,Er,"vieux ber—
ger",Perpétue,ÎJ,Cellier,ler,Ver—,Alerte-,M’aimeras,"JÆ’,F——Er",Alger,P,serre1,
15,bague,bégueu—,déjeu—,FRUCTUEUX,B,,,,,,,,,,
16,Wær,JÆr,,,,,,,,,,,,,
17,vou—-,trou—,"P.Èg""e Bout",bou—,nu—,boule—,boursi—,125,,,,,,,
18,ména—,a—,orga—,caba—,ha—,,,,,,,,,,
19,j’,J’,A-,,,,,,,,,,,,
20,"reconnais—
o.",recon—,reconnais—,dC—,,,,,,,,,,,
21,Al—,l—,-,,,,,,,,,,,,
22,réserve de monsieur,suré,Bérénice,juré,Beur,ÜÜA4.P,Sure,Sufﬁt,f|—,A,®,,,,
23,"Ver—

- ”\-",r'=,41—,Norne - ‘,—- Tâche,- -,L -' r,"per audi—

- -«",- - d,"À Î—YÏLLE& :-

- .'—.'",,,,,
24,"XII

L‘ÉPIDÊMiE",.|.I.IDUIŒÏË,l*épidémg,ï L,,,,,,,,,,,
25,ÎÏ,.\,Çä,‘Î.f,"m1

.f_","Î:-"".f",,,,,,,,,
26,Î,—— Faut,Î’,JŒ,Faut,,,,,,,,,,
27,III 1:5,II,,,,,,,,,,,,,
28,F,LH,-!,É,,,,,,,,,,,
29,Satané,État,agitateurs—,état,,,,,,,,,,,
30,c-.--,4-.-.,"-«.-.«,»w_,æw",4--_,N-.M‘æ“\—nu,w -.-,,,,,,,,,
31,._.“-—4,._,.q-._-,b—,b_—_._,._-,——._,._—,._'d,Jàd4n,,,,,
32,v-w——,v-,w—,I‘::*7w—:æ-r,Ù\,,,,,,,,,,
33,Plæ,J,VÎPLACE,plus—,,,,,,,,,,,
34,là',Voilà,Voilä,Mevoilà,-4_,,,,,,,,,,
35,Rose n’,Rose,Bose,"Rose,.dit",gros—,,,,,,,,,,
36,.;‘.-î-,.-—-,murs.-,F{:.-,M,.-f.-,5Î-r .- s.f _,.-fffÏ,".--,—.",,,,,,
37,51,quatre—,quatre—vingts,Votre,maîtresse}. Pierre,,,,,,,,,,
38,Î-æﬁle,role,Oli,Le soleil,.Ï.nJ.cle,,,,,,,,,,
39,atten—,ﬂbatterie,atté—,Frotte,,,,,,,,,,,
40,.l,".‘.:.L.‘ “'

—-.'.—",.‘ç',l.,,,,,,,,,,,
41,grande—,Jean—,Jean—Glande,Jean—Claude,,,,,,,,,,,
42,"M,9_N v.u",v.ü;ä,lü’,,,,,,,,,,,,
43,—on,Doro—,—,dragon,"lez

Donc",Donc,bâton,on.—,concur—,M_ON,donné—,,,,
44,obam—,l‘embarras,As,Base,s’,Basset,Las,Basstnrez,,,,,,,
45,ësflàz,fl,.,,,,,,,,,,,,
46,W,-*m,Ëïüﬂîæi,,,,,,,,,,,,
47,Mah,demi—mal,Maman,cama—,Manot,Jamais,masoarades,,,,,,,,
48,".,",-—.,l.âiïJÏ.—.Ü.Ë,"F.,—.““.—",,,,,,,,,,,
49,Agréez,Désirée,t,péti—,Ç’,pée,IÇ,Cassiopée,,,,,,,
50,so—,Trois,histoire—,Ë,Sois,moi—-,Crois,Bonsoir,buis,,,,,,
51,m’as—tu,m’,M{r,M’,,,,,,,,,,,
52,n’,ﬂ!tuM‘ W,®e‘tu 'n’,‘tp,A '- ',,,,,,,,,,
53,dandi—,"S
E",Maﬁdine,indiffé—,Armandie,Armandine,l‘indi-,T’,,,,,,,
