cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0.0,.«—1_———_-.—7Ë7—1r—_——.—7—7'—19—“,A.c_'_——I&———u,——._,l«———a,,,,,
1.0,atten—,atté—,Frotte,ﬂbatterie,,,,,
2.0,juré,suré,juron—,,,,,,
3.0,Cassiopée,Assis,pée,,,,,,
4.0,vienne‘t1quelque,Jacquet,®e‘tu 'n’,vien—,ques—,,,,
5.0,Mæsse,Basset,Base,ﬂ!tuM‘ W,Basstnrez,,,,
6.0,"Saint—
Brunelle",Saint-,Saint-Brunelle,Saint—Brutçue,Saint—anelle,Saint—Brunelle,ﬁllettes de Saint—,Saint—Quentin,Brunelle
7.0,Iæfa‘.r3 Denis,Denis,caba—,,,,,,
8.0,rère,PBIÈRE,ﬁère co‘ujme‘ A;rtaban,,,,,,
9.0,Crois,Sois,Trois,,,,,,
10.0,contribù—,contente—,trente—six,Monte,,,,,
11.0,couseuses,Écoutez,Houses,senæcieuse—,,,,,
12.0,"reconnais—
o.",reconnais—,recon—,,,,,,
13.0,Faut,—— Faut,,,,,,,
14.0,.____,Fv.___—ÿr,f—_.____,".,-___",.__.___-,,,,
15.0,brava—-,brava—,"brava—
cherie",,,,,,
16.0,"per audi—

- -«",- -,- - d,"À Î—YÏLLE& :-

- .'—.'",,,,,
17.0,la France,demi—franc,demi—mal,France,,,,,
18.0,comprend—,Comprenez,prend—,,,,,,
19.0,chacun—,chancetés,chau—,char—,,,,,
20.0,lants,avaitî-disant parlé de le faire,ANT,,,,,,
21.0,Votre,quatre—,quatre—vingts,,,,,,
22.0,Norne,Norne - ‘,,,,,,,
23.0,Morlincourt,à_Morlincourt,couragement,Martincourt,Morlinco‘art,,,,
24.0,moi—-,choi—,"quoi—

qu’",,,,,,
25.0,w -.-,4-.-.,"-«.-.«,»w_,æw",,,,,,
26.0,Voilä,Mevoilà,Voilà,,,,,,
27.0,brillam—,brin,obam—,Lambin,,,,,
28.0,qu’,jusqu’,usqu’,,,,,,
29.0,Tour,TOuff,tour—,autour—,Tournez,débour—,Tour—,pour—,
30.0,pré Brugnon,couvent Brugnon,Toinon,,,,,,
31.0,Agréez,Désirée,,,,,,,
32.0,".—_.,__.4",.—_ML_A,.—__-_Q.,,,,,,
33.0,endeuille,rendez—,Seuil-,trav aille1,,,,,
34.0,N orie,Riez,,,,,,,
35.0,répondez,répon—,,,,,,,
36.0,Jean—,Jean—Glande,Jean—Claude,,,,,,
37.0,".--,—.","F.,—.““.—",c-.--,,,,,,
38.0,"vieux ber—
ger",Alger,Vieux,,,,,,
39.0,Cachez,—- Tâche,montagne blanche,,,,,,
40.0,sa.—,la.—,,,,,,,
41.0,".‘.:.L.‘ “'

—-.'.—",L.‘;Q.ù‘lll-,all I‘ll,,,,,,
42.0,Moulin—,linémeutes6,Poulains,,,,,,
43.0,Bemblay,l‘embarras,,,,,,,
44.0,Allez,—elle,Brünelle,ﬁelle,journelle—,,,,
45.0,de-Nom,renom—,endom—,renon—,,,,,
46.0,Maﬁdine,Nosine,tistes de Nordine,du Nord,courtil de Nordine,Nordine,Nord,"extraordi—
naire",
47.0,goguenar—,empar—,épar—,,,,,,
48.0,ﬁon VILLAGE,"M,9_N v.u",-VILLAGE,"Î_M‘ j

MON VILLAGE",ù0N VILLAGE,VILLAGE,,,
49.0,bague,guérir-a. _,baguénau—,ména—,,,,,
50.0,Sortez,ler,Alerte-,,,,,,
51.0,déve—,reve—,,,,,,,
52.0,Mor—,morale—,Por—,,,,,,
53.0,Céret,Céran,,,,,,,
54.0,Norine,Pauvre,Mon pauvre ﬁoul,"Norine !

Pauvre jeunesse!",,,,,
55.0,concur—,m’y endur—,cœur—,,,,,,
56.0,État,état,,,,,,,
57.0,appr—,apparait—,,,,,,,
58.0,"lez

Donc",Donc,,,,,,,
59.0,Cel-,Cellier,,,,,,,
