cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
0,Exeusezunoi,joyeuse—,.‘ﬂ,ﬁr_.,Ilmmgcuse,Î.;t,meuse,aﬁ‘reuse,cal11mét,Furieuse,,,,,,,,,,
1,4 N’,faute n’,—- Cela n’,QG,Wma,,,,,,,,,,,,,,,
2,spndassiu,p11se,vigi—,faix,l‘assassin,Assis,,,,,,,,,,,,,,
3,soli—,poli—,wwæ4W,wampums,Oli,négli—,A,,,,,,,,,,,,,
4,Asie,plusiems,RA,alo1s,mawkawis,Mohsieurl,G’,cap Rosier,,,,,,,,,,,,
5,ger,@.:_Â\,Berger,Ger,,,,,,,,,,,,,,,,
6,rassur.er,._r';\,V1É1Œ,snlnunt,s‘essuy',Rassurez,-.-A_ÈC,,,,,,,,,,,,,
7,canada,Canada,s‘éçîria,cana—,Cana-,,,,,,,,,,,,,,,
8,Gens,ly,Bergen,Eu1opéens,gens‘dont,Œ,"M'""",gentils—,genouæ,Jens,Penserez,,,,,,,,,
9,d’l1 a1monie,C‘»—ï‘,"la_,_fon-",l‘agonie,V1 a1,Virginie,,,,,,,,,,,,,,
10,la Belle-Rivière,Belle Rivière,BELLE RIVIÈRE,BELLE R]VIÈRE,Belle—Rivière,Belle-Rivière,,,,,,,,,,,,,,
11,baie d’Hudson,baie des Marmousets,.ﬂ,Ï,cap des Monts-Pelés,Ëousu‘ii,uuwçW’«W,,,,,,,,,,,,,
12,ar‘b1es,heu1es,leu1,.Si,ceintu1e,Br1tlé,ilsl’,se1viteu1,ord1es,.—æ»r,,,,,,,,,,
13,Nick,Allehany,Alleghanys,ghany,Alleghany,ou‘r,!,monts Alleghanys,<,.*.i,,,,,,,,,,
14,NJ,certai—,souﬁ‘ert,oli‘ert,south,.'1,Vv',,,,,,,,,,,,,
15,verai,bivouaquerai,W‘WFN‘-=Nrtu-'wmÿmna,Douterais-tu,"f‘1‘»"".a",1elever,adver—,jurerais,ve1rai,abuserai,êt1è,,,,,,,,,
16,pres—,sv,"lèvres,—",lettres—,expres—,,,,,,,,,,,,,,,
17,Peaux,.F,mæv+mæw,Peau-,Peaux—,"peaux—
Lw","nou -
veau",—-,Bordeaux,uv.—,,,,,,,,,,
18,Armand,Charmante,normandes,r01,F”’ŒTËMW,,,,,,,,,,,,,,,
19,allu—,alluma,lasalle,Û,Alll,,,,,,,,,,,,,,,
20,.L,Angelo,tableaupchangea,sang—,Mangezl,s’,u,Uu‘1,,,,,,,,,,,,
21,Hésites-,.'ç,Ogre,Tes,IHV!ÈR.IQ,,,,,,,,,,,,,,,
22,BEL L E ltl V !,L E B 1 V I È,A1,J e m’,lÎ,mum,cascabel,,,,,,,,,,,,,
23,Canadienne,Canadien-,Canadiens,Uanadien,Canadien,,,,,,,,,,,,,,,
24,Parfaitement,Vivement,solennellementà,Doucement,a -_ rr,Cordialement,Franchement,— Vraiment,généralement—,,,,,,,,,,,
25,Explique,opliétés,Expliquez-,.WN,La,réplique-H,,,,,,,,,,,,,,
26,Kayélon,l\,Londres,O,Coulon,pan_talon,,,,,,,,,,,,,,
27,ici?-,JVÆﬁ,Sicile,,,,,,,,,,,,,,,,,
28,Baht,pied.-,me’,Lo,tue1,,,,,,,,,,,,,,,
29,la feuillée,h£_-A,bouillonna,Bouillon,seño1,Ê-1,iuillis,,,,,,,,,,,,,
30,de Versailles,à-,Versailles,Ail,mys—,le‘j0u1,pays—,sailles,adversaif'e,,,,,,,,,,,
31,retou1,Poitou,touﬂ’ues,tourte—,Toutàcoup,Î’,m‘as,toutd‘abord,Septou,,,,,,,,,,,
32,conti—,Continuez,Frontières,M.—,Tont,cont1ai1e,",,A.A.",J,,,,,,,,,,,,
33,Répondez,mv11‘snu,Bepondez,"\‘,'i’",,,,,,,,,,,,,,,,
34,Nos_lectricesne,électri—,Ÿ,triom—,eﬁecti—,nuhlecinc,,,,,,,,,,,,,,
35,petit—être,rémeltre,Votre,S',numgcw',au)mur,entre—,,,,,,,,,,,,,
36,Râmean-,Alil Jan-Pol,Lil,Téoealis,wÿ,yan-kccs,,,,,,,,,,,,,,
