text,cluster
Regardez,0
garderai,0
regar—,0
Emp‘arez,0
regardez,0
tardes-Lu,0
Renard-,1
Le Renard-Bleu,1
Renard— B,1
Ward,1
Renard-Bleu,1
susdit arbre,1
Renard—,1
Berger,2
QG,2
ger,2
B,2
T'—,2
Ger,2
Betarder,2
pers0nn9,2
souﬁ‘ert,2
Bergen,2
Nord,3
"'

Nord",3
ord1es,3
du Nord,3
app1écier,4
merisier,4
s’exprimer,4
Singuliers,4
aguerrie,4
Merci,4
s’orienter,4
fier,4
mer 51,4
cap Rosier,4
adver—,5
N,5
couver—,5
adversaif'e,5
DV,5
ÏÆÉä,5
Tb,5
d’Or,6
Or,6
d’,6
Hameau d’Or,6
Rainèau- d’Or,6
.p,6
:>,6
Paris,7
Sri,7
disparu—,7
Parvenu,7
Martyrisez,7
Particularité,7
parcourir,7
unpareil,7
Loris,7
Parisien,7
aupara—,7
Louisl-Louisi,8
Louisl-,8
Louisiane,8
Dépui',8
blottis,8
Lo,8
Oui,8
aimais,9
connais—,9
sais,9
Maishâtez,9
deuimaitns,9
f1aucais,9
nais—,9
maisonnettc,9
Ail,9
Bais,9
laim,9
Ouais,9
mawkawis,9
aimez—,9
j‘ai,9
venaisou,9
Maigre,9
faix,9
J'ai,9
vot1e,10
ﬂots,10
not1e,10
Vot1e,10
aut1es,10
pç,10
t1,10
L1V-,11
v-,11
L1v,11
L1V—,11
u1vrnna,11
jura,12
Encouragés,12
bourra,12
Rassurez,12
jurerais,12
rassur.er,12
RA,12
Jura,12
Québec,13
Québec permet—,13
Grigny,14
baron de Grigny,14
igno—,14
Gr1gny,14
Grignyr,14
"M. de
Grigny",14
barou de Grigny,14
Carignan,14
t’,14
Grigny qu’,14
wigwam,14
senti—,15
conti—,15
courti—,15
Anticosti,15
eﬁecti—,15
Tont,15
O,15
bâti—,15
Continuez,15
Frontières,15
monticule artiﬁciel,15
Accidenté,16
Occident,16
confon—,17
coniact,17
conve1,17
convic—,17
conva—,17
recon—,17
convien—,17
rencon—,17
baton—,17
horizon—,17
Con-,17
É confortable,17
g1onpe,17
"la_,_fon-",17
tete,18
Créateur,18
Tels,18
Totem,18
p11ntemps,18
ten',18
Halte,18
Hésites-,18
Cette,18
Slïüîﬁte‘ﬂ.,18
Tes,18
lthlÈltE,18
Rameau-d'Or,19
Rameau-,19
Rameau-d’Or,19
Amel,19
Dame,19
eau-dc—vie,19
eau-dc,19
Hameau,19
Rameau- d‘01,19
a1r‘étantRameau,19
",.vv",20
Vv',20
gvvm,20
.v,20
"nmvw-vv—""v",20
fort n’,21
4 N’,21
fort Rupert,21
Formé,21
fort honnêtes,21
eﬁ”ort suprême,21
respon—,22
respi—,22
JàJ,22
Londres,22
Espérezl,22
la respon—,22
Sije,23
X,23
—je,23
Gecije,23
J ai,24
J ',24
J an—Pol,24
Wûä,24
J’ ai l’honneu1,24
Ï —J ai lutté,24
J an Pol,24
demeu—,25
meuse,25
aﬁ‘reuse,25
Furieuse,25
me’,25
seño1,25
Exeusezunoi,25
