cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25
0,crois,Sois,ape1çois,Crois,crois—,,,,,,,,,,,,,,,,,,,,,
1,Kouha-,Koul1a-Handé,Kouha-Handé,Kouha,Kouha-I—Iandé,Kouba,Kouha-Haudé,Kouha-I,Kouka,,,,,,,,,,,,,,,,,
2,Nick,ici?-,Î1,N1ck,ﬁnit,J,,,,,,,,,,,,,,,,,,,,
3,si—,.Si,sifﬂa,celui—,Siège,Ê-1,dissi—,si',VW”'”M,faci—,négli—,sédui—,consi—,,,,,,,,,,,,,
4,"-

—","}

—","- ï

—",",- i","<

—",".—""——-_—< >- —",,,,,,,,,,,,,,,,,,,,
5,l‘a,L‘aventurier,l‘agonie,l‘ai,‘a.—,,,,,,,,,,,,,,,,,,,,,
6,j‘en,s‘en,m‘en,J‘en,Enﬁn,Û,u,Le l‘en,EÆ,l‘en,d‘en,t‘en,,,,,,,,,,,,,,
7,Gens,en’,miens,W,gens‘dont,Tiens,gentils—,genouæ,Jens,Penserez,,,,,,,,,,,,,,,,
8,moii 0111,Moi,moin—,moi,moii,A moii,DOIT].,Les Mois,,,,,,,,,,,,,,,,,,
9,.-;.,q—,.-;.—,ä'_;.,,,,,,,,,,,,,,,,,,,,,,
10,leu1,Le,lez,ler,LEON,Créole,m| LEGAI,Sicile,noble—,le‘j0u1,inlerdile,ﬁlle,.'ètle,Parlez,silen—,etle,"Ÿl

 

 

 

 

 

ale",nuhlecinc,Misérablel,,,,,,,
11,verai,.ﬂ,Biver,bivouaquerai,jurerais,ve1rai,abuserai,,,,,,,,,,,,,,,,,,,
12,Pre3que,pres—,"lèvres,—",lettres—,expres—,propre—,empresse—,T'—,,,,,,,,,,,,,,,,,,
13,Jura,Encouragés,RA,QG,au)mur,jura,,,,,,,,,,,,,,,,,,,,
14,Indien,Dieppe,Dinwidie,toldos indiens,L‘indiﬁ‘érence,Indiens,d’un Indien,éclaireu1s indiens,indé—,L’Indien,indiens,Indiennes,descenditle,Indiens suuvuges,desIndiens,Indien Delaware,L’Iiidien,Ï' Indiens,pseudo-Indien,,,,,,,
15,Angelo,tableaupchangea,Mangezl,G’,envelop—,X,Lo,Gelu1—m,,,,,,,,,,,,,,,,,,
16,Océan,An,Devant,tran‘sporta,Râmean-,.\,sang—,nil-ant,BANCllol-“l,Wanwæ,Quantà,Anjou,aan,Orléans,deman—,désignan,anna,Blancs,aban—,anima—,-,"océan
Atlantique",Yankées,pan_talon,Posant,yan-kccs
17,f01,f01êt,r01,,,,,,,,,,,,,,,,,,,,,,,
18,Duquesne,FORT DUQUESNE,ly,fortDuquesne,foiL Duquesne,fort Duquesne m’,fort Duquesne,tort Duquesne,garnison du tort_Duqnesne,"fort
Duquesne","FORT DUQUESNE

LE COMTE DE JUMONVJLLE",fo1t Duquesne,,,,,,,,,,,,,,
19,Allehany,Alleghanys,ghany,Alleghany,monts Alleghanys,O,,,,,,,,,,,,,,,,,,,,
