cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
0,crois,Ï,Sois,ape1çois,Crois,crois—,,,,,,,,,,,,,,,,,,
1,Kouha-,Koul1a-Handé,Kouha-Handé,Kouha,Kouha-I—Iandé,Kouba,Kouha-Haudé,Kouha-I,Kouka,,,,,,,,,,,,,,,
2,Nick,ici?-,N1ck,ﬁnit,,,,,,,,,,,,,,,,,,,,
3,si—,plusiems,.Si,sifﬂa,Siège,si',mi—,faci—,négli—,demi—mot,consi—,,,,,,,,,,,,,
4,"-

—","}

—","- ï

—",",- i",Û,"<

—",".—""——-_—< >- —","-

—- Compagnons",,,,,,,,,,,,,,,,
5,l‘a,L‘aventurier,l‘arbre,l‘agonie,l‘ai,‘a.—,m‘as,,,,,,,,,,,,,,,,,
6,j‘en,s‘en,m‘en,J‘en,j‘en conviens,Penh,Le l‘en,l‘en,d‘en,t‘en,,,,,,,,,,,,,,
7,Gens,Revenons,en’,miens,Enﬁn,gens‘dont,Tiens,gentils—,genouæ,Jens,J,Gelu1—m,,,,,,,,,,,,
8,moii 0111,Moi,moin—,moi,moii,A moii,DOIT].,suivezmoi,,,,,,,,,,,,,,,,
9,.-;.,.-;.—,Œ,ä'_;.,,,,,,,,,,,,,,,,,,,,
10,la Belle-Rivière,Belle Rivière,BELLE RIVIÈRE,BELLE R]VIÈRE,Belle—Rivière,Belle-Rivière,BELLEÏRIVÏÈRE,,,,,,,,,,,,,,,,,
11,leu1,Le,électri—,lez,ler,LEON,Tulle,Créole,m| LEGAI,Sicile,noble—,le‘j0u1,inlerdile,.'ètle,mollet,silen—,etle,nuhlecinc,Misérablel,,,,,
12,Pre3que,pres—,ques—,"lèvres,—",mys—,lettres—,expres—,propre—,empresse—,,,,,,,,,,,,,,,
13,rassur.er,Jura,Encouragés,RA,VÏ,Çùj,jurerais,Rassurez,bourra,jura,,,,,,,,,,,,,,
14,Peaux,tableaupchangea,Peau-,Peaux—,"peaux—
Lw",G’,aup1ès,Bordeaux,,,,,,,,,,,,,,,,
