cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32
0,aA,i17,L2,Aa,¬2¬,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,alle,Alerte,falluMION,V',AL,Allezl,Allez,furolles,lEtat,male,,,,,,,,,,,,,,,,,,,,,,,
2,Es,.4o,Est,A1,"Es 

2é",Les bles,Pres,Paques,ues¬,eES,Eites,N0CES,levres,A,,,,,,,,,,,,,,,,,,,
3,Mlarie,Lamariee,lc,Mlaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,veillee,lille,Le soleil,Eeil,veillee.1,"Ei
 r",reille,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Norine,du Nord,Toinon,Nord,brin,"Norinel
Pauvre",Or,Norinc,,,,,,,,,,,,,,,,,,,,,,,,,
6,mitan-c0te,MI,MI0N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Slee,¬5,Sle,S,Lasl,Ee  sle,A32,lettree,Brlee,leeH,queue-leu-leu,,,,,,,,,,,,,,,,,,,,,,
8,MO vILLAGE,OY VILLAGE,MO N VILLAGE,vILLAGE,"Rose
MON VILLAGE",IO yILLAGE,CG',P  v,MO,MI0N VILLAGE,plaga,MIO N VIILI.AGIE,,,,,,,,,,,,,,,,,,,,,
9,Agreez,n¬,a Agreez,Figurez,Ouvrezl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Q,Eſss,sSt  ee,sT 1,J',,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,rIIImne,-:¬,B,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Tournez,tournee,fourne,ſ’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Saint-
Brunelle",Brunelle,Sainl-Brunclle,Saint-Brunelle,"Tout
Saint-Brunelle",fontaine Sainte-Radegonde,Saint-,,,,,,,,,,,,,,,,,,,,,,,,,,
14,S',¬¬,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ordonnee,Bonnets,Jeanneton,colonne Vend0me,charbon.t6,Honnete,Bonsoir,e,,,,,,,,,,,,,,,,,,,,,,,,,
16,ee,Voee,Veeree3,Ee,"S’
tSee",Seeei,eiee,Eeeeile,decoree,Aee,Cassiopeel,,,,,,,,,,,,,,,,,,,,,,
17,Berenice,S re,rer,ger,lutaire,"erP¬
 
E",niere,Wotre,Yer-,T'arreteras-tu,Carriere-Fondue,,,,,,,,,,,,,,,,,,,,,,
18,-eeAi,Ee-E,e-eg,I,"-E-e
2","Ee-E
S-",Pe-e,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sylvain,ylr¬,Poulains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,lh-dessusAotyde-,Desiree,Desirde,forcdes,Garde-les,lir,Dsirce,destination1,,,,,,,,,,,,,,,,,,,,,,,,,
21,ae’,Ae,"Ae’
-e’T’",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,-.s,Tache,chutc,Cachez,accouchce,montagne blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"S  e ee  e¬
e eaa e e t","S’ree e  
 -",t e e eS,Se l’ee lel ee de e fiee e re e eosrt,eSe e e e e,rss  ee e e ee,Epelie ro e ele eles,L  eomſ¬,E e eeree,"a5 i
¬
ea ee ee  e ’ n e epr",S e de l e,"aae
-  
rss  ee e e ee",leee e e l ep e e lee e e deoe,"S-r PS-i e
ee’ e ’é ’","ee e ere e e doe e eſe
Jev",pe ole e e  deiee lo e i e ſeesers,ile idle e eo,"L ’
t e 2",el  e e eni e l e istere ae u eterie,"Ee S   e
eiee e",eE  e i e ee i le re ee g,N  e,"eſ  r e
 i",Fee e,E E,"P

’ 
s",L L,ls’e e,ſeereſe el iiei,leie e,"S
ee e eie",Ae e l ie eeelt e eie,"Fee e   da  ei ſieiſieet
i
Le
 
e e eeoid is ee e"
24,e.-¬ſ,I------------,L-------,etournait.--------------------------------------,pays.r---,LL-.----------==-=x=-MON,g-----,geo-’--’e,,,,,,,,,,,,,,,,,,,,,,,,,
25,verildc,endever,VE,Avez,Venez,venusl,vecu,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Assure,Bassette,Basset,Assis,.as¬,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,blame,¬1,blme,blay,blmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,chanvrieres,Chanvriers,carrieres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,mrs,rs,teursl,aorrs,surs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MIais,S0UIIAITS,Ia,Palais-Royal,etais,g2yI,Iais,Mlais,,,,,,,,,,,,,,,,,,,,,,,,,
31,gencral,franciers,Cran,la France,Ceran,Fran-,Francei Tiens,Fance,France,derange,,,,,,,,,,,,,,,,,,,,,,,
32,Wrail,"T.S
 i a sos 
tei",ht’as f,ees ds ail,"S  d
’

a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,S’,Lãdi,Dizy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Epelie,Vierge,Riez,piece,Ievrn,enie,Vieux,ILe metier,Ie,Jie,ieea,Peie,pauvIe,fieux,,,,,,,,,,,,,,,,,,,
35,"au-kl
-
1","I
E¬",pau,au-,Faut,bu-,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,buis-l,buis,emplis-le,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,guerissez,parigole,"Clarisse
Manot",Parisien,Parisiens,Clarisse,Par,Paris,,,,,,,,,,,,,,,,,,,,,,,,,
38,Decnis,chambre de,mre Denis,mre h,Notre medecin,bine de Therese,beni,,,,,,,,,,,,,,,,,,,,,,,,,,
39,.l,Morlin-,Arrive h Morlincourt,Mlorlincourt,Morlincoutt,Mlorlin-,Morlincourt,Monsicur,Morlincourt tot,,,,,,,,,,,,,,,,,,,,,,,,
40,MO N V1LLAGE,MION V1LLAGE,M0N v1LLAGE,dragon,V1LLAGE,MION VI1LAGE,MON V1LLAGE,MON VI1LLAGE,MON v1LLAGE,MON ILLAGE,IIlMON V1LLAGE,,,,,,,,,,,,,,,,,,,,,,
41,le’,i’,m48,e’,Ie’,E’,E e’e’,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"compagnes,-",ne2,gne,ne186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,maric,picd,ricn,- Reticns,rip’2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,t6t  la danse,Roseet,Rosel,Rose,Rose etait,couseuses,Rosc,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Comprenez,E,Presentement,sens.0N,lReviendront,Entendez,enterrement198,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Voyez,Av,OY,SA’5,Savoyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,-F,ct,Frotte,cctte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,pre Roux,"ru
’A",couvent Brugnon,pre Brugnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Adonc,Ml',C0NSCRIPTION-,Mlor-,Mlonsieur,Mlon,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,de-Nom,"renom.-
Lasl",Nom-de-Nom,noml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,ue5 i,queussi-qucumi,Jeac-,Jeacquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,salete,chette,lapetiote,ete poltron,ntete,ter d'etrc,tetes d'nes,Sortez,tete,tE,,,,,,,,,,,,,,,,,,,,,,,
53,T1I,t13,13I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,F,S2,"¬
S¬
s2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,bras-le-corps,barras-lh,Ml'aimeras-tu,ras-lh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Voilh,toi,- Qu',- Quoil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Jean-Claude,Armandine,Artaban,Vermand,1(3,Manot,mangcs,Arman-,Maman,,,,,,,,,,,,,,,,,,,,,,,,
58,precher,empeche,prechez,A¬,empecher,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Cadet Lambin,Ca,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,ev-P,Devinez,Devise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Feuil-,el,L-1,mele,t-on Ftt-cel,Cellier,Cel-,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PETIT1ON,Perpctue,pe-’i r 5,"petiote 
Perpctue",peri,Perpdtue,Perpetue,per labia,,,,,,,,,,,,,,,,,,,,,,,,,
63,S-e ’e3,Crois-tu,As-,S-e,Tous-,S-,tLp¬,s--,,,,,,,,,,,,,,,,,,,,,,,,,
