cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32
0,buis-l,A32,buis,emplis-le,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Es,Eites,levres,ues¬,destination1,Est,forcdes,N0CES,Pres,couseuses,Les bles,"Es 

2é",Paques,,,,,,,,,,,,,,,,,,,,
2,S0UIIAITS,Iais,-:¬,MIais,Mlais,etais,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"¬
S¬
s2",ſ’,F,S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,lettree,eES,Ee,-eeAi,Seeei,sSt  ee,Voee,Aee,Eeeeile,E,"S’
tSee",Veeree3,ee,,,,,,,,,,,,,,,,,,,,
5,n¬,Bassette,chette,Basset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,queue-leu-leu,Garde-les,Feuil-,ue5 i,queussi-qucumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Saint-Brunelle,"Saint-
Brunelle",Saint-,fontaine Sainte-Radegonde,Sainl-Brunclle,"Tout
Saint-Brunelle",Brunelle,,,,,,,,,,,,,,,,,,,,,,,,,,
8,gne,ne186,"compagnes,-",montagne blanche,ne2,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,L-------,I------------,V',etournait.--------------------------------------,geo-’--’e,pays.r---,g-----,.l,LL-.----------==-=x=-MON,,,,,,,,,,,,,,,,,,,,,,,,
10,MON VI1LLAGE,MON V1LLAGE,V1LLAGE,MION VI1LAGE,P  v,IIlMON V1LLAGE,M0N v1LLAGE,Monsicur,MO N V1LLAGE,J',MON v1LLAGE,MION V1LLAGE,,,,,,,,,,,,,,,,,,,,,
11,i17,Mlon,Adonc,Mlor-,dragon,CG',Ml',Mlonsieur,,,,,,,,,,,,,,,,,,,,,,,,,
12,e-eg,Ee-E,"Ee-E
S-","-E-e
2",Pe-e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Norinel
Pauvre",Norine,brin,Norinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Jeacquet,Jeac-,Jean-Claude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Carriere-Fondue,B,-F,carrieres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,¬¬,¬2¬,e’,E’,le’,-.s,E e’e’,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Tache,accouchce,prechez,Cachez,chutc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,male,Palais-Royal,AL,falluMION,Alerte,gencral,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Savoyard,OY,Av,Voyez,SA’5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,pre Roux,"ru
’A",couvent Brugnon,pre Brugnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sylvain,Poulains,ylr¬,S’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,t13,13I,T1I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,du Nord,Nord,Or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,pau,bu-,au-,I,"I
E¬",Faut,"au-kl
-
1",,,,,,,,,,,,,,,,,,,,,,,,,,
25,aorrs,Q,rs,surs,teursl,mrs,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,endever,VE,vecu,verildc,Avez,Venez,venusl,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Notre medecin,ILe metier,Wotre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Nom-de-Nom,lh-dessusAotyde-,de-Nom,noml,m48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ordonnee,charbon.t6,Honnete,Bonnets,Bonsoir,Jeanneton,colonne Vend0me,,,,,,,,,,,,,,,,,,,,,,,,,,
30,tournee,Tournez,¬5,fourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,aA,Aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,precher,empecher,empeche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ev-P,Devise,Devinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
