cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,China,Black Art,Mr,Lockwood,jesi,,,,
1,WUTHERING HEIGHTS,"Wuthering

Heights",WUTHERINS HEIGHTS,WUTERING HEIGHTS,WUTHFRING HEIGHTS,Heights,WUTUERING HEIGHTS,Wuthering Heights,"Wuthering
Heights"
2,"bonay
lasa",wi,Tsee,Satan,,,,,
3,nota,Miss.,Tn,,,,,,
4,London,Wonderfal,Istayed,Christendom,a Slough of Despond,LONDON,B7ZAw,,
5,Iheld,Shielders,Theld,inn,,,,,
6,Ill,n’t,on’t,Hindley,mun’n’t,,,,
7,Thrushcross park,Thrusheross Grange,Thrushcross Grange,Oho,sum~-,Grange,Iran,Thrushcross,Jdle
8,wasa,North,You’ll,Sough,,,,,
9,He’ll,ia,he’il,wy,"He’sa
grand",,,,
10,fort,west wind,thear,Thear,Earrshaw,Wisht,,,
11,he'd,JT,Atea,,,,,,
12,us,Continent,Catherines,Hercules,Catheriae,Lhad,Niver,IL,T.G.
13,America,Lascar,Desert,Gimmerton,thou,Gimmerton Kirk,,,
14,Linton Heathcliff,Liverpool,Heathcliffs,Heathcliff,Yorkshire,,,,
15,Atlantic,Titan,Zillah,England,meeterly clane,hisland,CAVENDISH Sq,,
16,Idared,seech,I’]l,,,,,,
17,Phenix,gre2,,,,,,,
18,Linton,Hareton,Harcton,,,,,,
