cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,Ill,He’ll,he’il,JT,You’ll,sum~-,Zillah,Mr,IL
1,fort,North,Black Art,Yorkshire,I’]l,Tn,,,
2,WUTHERING HEIGHTS,"Wuthering

Heights",WUTHERINS HEIGHTS,WUTERING HEIGHTS,WUTHFRING HEIGHTS,Heights,WUTUERING HEIGHTS,Wuthering Heights,"Wuthering
Heights"
3,"bonay
lasa",London,Wonderfal,Continent,Christendom,a Slough of Despond,LONDON,Lockwood,
4,n’t,on’t,mun’n’t,,,,,,
5,Iheld,Shielders,he'd,Theld,Phenix,,,,
6,Thrushcross park,us,Thrusheross Grange,Thrushcross Grange,Grange,Thrushcross,,,
7,Lascar,thear,Thear,Earrshaw,,,,,
8,Liverpool,Niver,,,,,,,
9,Hercules,Desert,jesi,,,,,,
10,America,ia,Catherines,Catheriae,,,,,
11,Gimmerton,meeterly clane,Gimmerton Kirk,,,,,,
12,Linton Heathcliff,Heathcliffs,Heathcliff,Atea,,,,,
13,Oho,thou,Sough,,,,,,
14,China,west wind,Hindley,hisland,inn,Jdle,,,
15,seech,Tsee,,,,,,,
16,wy,Wisht,wi,CAVENDISH Sq,Miss.,,,,
17,Lhad,B7ZAw,Idared,Linton,gre2,Hareton,Harcton,,
18,T.G.,,,,,,,,
19,wasa,Atlantic,nota,Istayed,Titan,England,"He’sa
grand",Iran,Satan
