cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25
-1,wy,jesi,America,Heights,Lockwood,Grange,nota,Miss.,Desert,Christendom,T.G.,Mr,"He’sa
grand",meeterly clane,ia,Hercules,gre2,I’]l,Iran,sum~-,JT,Istayed,us,Shielders,Yorkshire,Tn
0,Liverpool,Niver,,,,,,,,,,,,,,,,,,,,,,,,
1,Tsee,seech,,,,,,,,,,,,,,,,,,,,,,,,
2,Gimmerton Kirk,Gimmerton,,,,,,,,,,,,,,,,,,,,,,,,
3,thou,Atea,Oho,,,,,,,,,,,,,,,,,,,,,,,
4,on’t,n’t,mun’n’t,,,,,,,,,,,,,,,,,,,,,,,
5,wasa,Lascar,"bonay
lasa",Black Art,,,,,,,,,,,,,,,,,,,,,,
6,fort,North,,,,,,,,,,,,,,,,,,,,,,,,
7,Linton Heathcliff,Heathcliff,Heathcliffs,Linton,,,,,,,,,,,,,,,,,,,,,,
8,Titan,Satan,,,,,,,,,,,,,,,,,,,,,,,,
9,thear,Thear,,,,,,,,,,,,,,,,,,,,,,,,
10,Continent,Atlantic,,,,,,,,,,,,,,,,,,,,,,,,
11,England,hisland,,,,,,,,,,,,,,,,,,,,,,,,
12,Earrshaw,B7ZAw,Lhad,,,,,,,,,,,,,,,,,,,,,,,
13,Idared,Harcton,Hareton,,,,,,,,,,,,,,,,,,,,,,,
14,LONDON,Wonderfal,London,,,,,,,,,,,,,,,,,,,,,,,
15,Sough,a Slough of Despond,,,,,,,,,,,,,,,,,,,,,,,,
16,Catheriae,Catherines,,,,,,,,,,,,,,,,,,,,,,,,
17,"Wuthering
Heights",WUTHERINS HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,
18,"Wuthering

Heights",WUTHERING HEIGHTS,Wuthering Heights,,,,,,,,,,,,,,,,,,,,,,,
19,WUTERING HEIGHTS,WUTHFRING HEIGHTS,WUTUERING HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,
20,Iheld,Theld,,,,,,,,,,,,,,,,,,,,,,,,
21,Hindley,inn,Jdle,west wind,China,,,,,,,,,,,,,,,,,,,,,
22,Wisht,CAVENDISH Sq,wi,,,,,,,,,,,,,,,,,,,,,,,
23,Ill,Zillah,IL,,,,,,,,,,,,,,,,,,,,,,,
24,he'd,Phenix,,,,,,,,,,,,,,,,,,,,,,,,
25,He’ll,You’ll,he’il,,,,,,,,,,,,,,,,,,,,,,,
26,Thrushcross Grange,Thrusheross Grange,,,,,,,,,,,,,,,,,,,,,,,,
27,Thrushcross,Thrushcross park,,,,,,,,,,,,,,,,,,,,,,,,
