cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33
-1,America,west wind,nota,us,ia,Istayed,Shielders,Christendom,Hercules,JT,Desert,sum~-,Lhad,B7ZAw,wy,Mr,Grange,Atea,Lockwood,"He’sa
grand",Yorkshire,Earrshaw,meeterly clane,Wisht,wi,gre2,Iran,Heights,I’]l,T.G.,CAVENDISH Sq,Miss.,jesi,Tn
0,Ill,Zillah,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,He’ll,he’il,You’ll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,he'd,Phenix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Thrusheross Grange,Thrushcross Grange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Thrushcross park,Thrushcross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Iheld,Theld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,China,Hindley,inn,Jdle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,London,Wonderfal,LONDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,a Slough of Despond,Sough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Catherines,Catheriae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WUTHERINS HEIGHTS,"Wuthering
Heights",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WUTHERING HEIGHTS,"Wuthering

Heights",Wuthering Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,WUTERING HEIGHTS,WUTHFRING HEIGHTS,WUTUERING HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,thear,Thear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Idared,Hareton,Harcton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Linton Heathcliff,Heathcliffs,Heathcliff,Linton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Atlantic,Continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,England,hisland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Titan,Satan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,fort,North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,wasa,"bonay
lasa",Lascar,Black Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,n’t,on’t,mun’n’t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Oho,thou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Gimmerton,Gimmerton Kirk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,seech,Tsee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Liverpool,Niver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
