cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,Ill,Zillah,IL,,,,,,
1,fort,North,Black Art,Yorkshire,,,,,
2,WUTHERING HEIGHTS,"Wuthering

Heights",WUTHERINS HEIGHTS,WUTERING HEIGHTS,WUTHFRING HEIGHTS,Heights,WUTUERING HEIGHTS,Wuthering Heights,"Wuthering
Heights"
3,wasa,"bonay
lasa",Lascar,,,,,,
4,London,Wonderfal,Christendom,LONDON,Lockwood,,,,
5,He’ll,he'd,he’il,You’ll,Mr,"He’sa
grand",,,
6,n’t,on’t,mun’n’t,,,,,,
7,Thrushcross park,us,Thrusheross Grange,Thrushcross Grange,Grange,Iran,Thrushcross,,
8,Iheld,Shielders,Theld,JT,,,,,
9,nota,Titan,Satan,,,,,,
10,Continent,Linton Heathcliff,Heathcliffs,Heathcliff,Linton,,,,
11,thear,Phenix,Thear,B7ZAw,wy,Atea,Earrshaw,,
12,Liverpool,Niver,,,,,,,
13,Oho,thou,T.G.,Tn,,,,,
14,a Slough of Despond,Sough,jesi,,,,,,
15,America,ia,Catherines,Hercules,Catheriae,,,,
16,Desert,Gimmerton,Gimmerton Kirk,,,,,,
17,Atlantic,sum~-,England,meeterly clane,hisland,,,,
18,China,west wind,Hindley,inn,Jdle,,,,
19,Istayed,Wisht,wi,CAVENDISH Sq,Miss.,,,,
20,seech,Tsee,,,,,,,
21,Lhad,Idared,gre2,Hareton,I’]l,Harcton,,,
