cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24
0,crois,Roi-Louis,Crisange,Croquerat,Trois-Mares,Croyez-,Ïl,Crott,bois bruni,Sacristi,,,,,,,,,,,,,,,
1,alle,É,alluma,Allez-,Flle,Allait-Royal,Allemagne,caleçon,,,,,,,,,,,,,,,,,
2,Demain-,Lemaire,hümains,Reminil,quem devoret,demAin-,dain,,,,,,,,,,,,,,,,,,
3,Es,es’,Barbes,sernaiñes,.$eS,Londres,pothes,Sèvres,Mornes,Jambes,l.,Athènes,2 L,ôrmes,alaternes,es,pides,ES,,,,,,,
4,Fer,ferme d’Életot,Fe,Fection,rêver,ER,Femme,Goder-,,,,,,,,,,,,,,,,,
5,sais-tu,Après-,HU,trouves-tu,sais,Sais-tu,S-,,,,,,,,,,,,,,,,,,
6,Ou,Étouvent,Coup,Rouen,Pouvait,Bout,caoutchoues,Écoutez,souS,Soudain,deuxijouts,lsblouse,Vouset,,,,,,,,,,,,
7,cher,Corniche,He,Trébuche,Gouche,pôche,,,,,,,,,,,,,,,,,,,
8,Corse,rs,A comtesse,Coco,t-la Corse,,,,,,,,,,,,,,,,,,,,
9,Chinoiïs,Moi,moi,,,,,,,,,,,,,,,,,,,,,,
10,pre,Étre,Notre-Dame du Gros-Ventre,Autrefois,Étretat,Apôtres,étremoral,cütrenoncé,,,,,,,,,,,,,,,,,
11,malaDe’,e’,Madère,Adélaïde,,,,,,,,,,,,,,,,,,,,,
12,Yport,Ltorturée,qü’,Voisine Portait,| Yport,apportez-les-moi,Évaporée,,,,,,,,,,,,,,,,,,
13,S'explique,expliquA,,,,,,,,,,,,,,,,,,,,,,,
14,S,d2,,,,,,,,,,,,,,,,,,,,,,,
15,Normand,Normandie,Hôtel de Normandie,Normande,"hôtel d

Lenormand",uand,,,,,,,,,,,,,,,,,,,
16,CE,ceLA,Grèce,Grâce,D|,F,Sace,,,,,,,,,,,,,,,,,,
17,Chambre-aux-Demoiselles,moiselle de la Roche-Aubert,Ellé,Elle,z0n€,ellE,el,elLE,Puiselle,tonnelle,Elle-s’,Ellesse,"|

- Elle",eleis,fille;Elle,Éternelle,javelle,,,,,,,,
18,vallon sauvage d'Ota,"rue
Sauvage",rue du Sauvage,golfe de Sagone,,,,,,,,,,,,,,,,,,,,,
19,venirs,Provence,s’'enfoncer,Providence,Florence,,,,,,,,,,,,,,,,,,,,
20,agonie,rémonie,rémonie funèbre,,,,,,,,,,,,,,,,,,,,,,
21,au Havre,du Havre,phare de Fécamp,e Havre,le Havre,collège du Havre,1 Havre,rue du Havre,,,,,,,,,,,,,,,,,
22,Hé-,hé-,Sacré-Cœur,c0chér,,,,,,,,,,,,,,,,,,,,,
23,EH,Ajaccio,Ci,,,,,,,,,,,,,,,,,,,,,,
24,sen,"AH 
 
 
 

du valet",valetsen,Ts,b,,,,,,,,,,,,,,,,,,,,
25,Le soleil,Île s’,le soleil,soleil,D S,,,,,,,,,,,,,,,,,,,,
26,savez,Savez,Faven-,Avez,àvec,seulavec,Fuyez,,,,,,,,,,,,,,,,,,
27,Val,eval,val,"air
du Val",,,,,,,,,,,,,,,,,,,,,
28,VOIX229,"UNE VOIX129

m","AH 
 

 

UNE VOIX51",voilÀ,VOIX,sesavoir,UNE VOIX69,VOIX195,,,,,,,,,,,,,,,,,
29,souleva,kB,Poulet,Voulez,Paulet,piéds;. Poulet,etle,Etle,,,,,,,,,,,,,,,,,
30,Océan,éanne,Jeinne,nne,Jéanne,,,,,,,,,,,,,,,,,,,,
31,Fr bornme,mer par-dessus,mer r bleu À,mer invisible,Enjamber Un Fleuve,,,,,,,,,,,,,,,,,,,,
32,Gette,Vaucotte,Côte,droïte,Guettez-,Te,Quittez-le,Comptez,Batte-,,,,,,,,,,,,,,,,
33,Verneuil,"couvent

de Versailles",hameau de Verneuil,"hameau d’ -
souvent",,,,,,,,,,,,,,,,,,,,,
34,Damas,Lac,Élança,v’'la,HÉLAs,La plaine,Lastique,la Jampe,Las,Gela,Has,Bas,,,,,,,,,,,,,
35,Jardin,Sainte-Hélène,aipardonna,Saint-Léonard,entR-inaccoutumé.-Les châtelains,,,,,,,,,,,,,,,,,,,,
36,ournée,surfabeno,Bourse,Dour,fort rouge,Four-,Four,Pourriez-,el hourrue,Coursil,Livourne,jura,,,,,,,,,,,,,
37,Brise-,riseville,rivige,Briseville,Surprise,y-,j’,Brisseville,,,,,,,,,,,,,,,,,
38,J1,j.sensà,maïns,"sa-
ns",ns,Tiens,Ù,Fans,sapins,,,,,,,,,,,,,,,,
39,fa-,la-Méditerranée,Méditerranée,,,,,,,,,,,,,,,,,,,,,,
40,ge,ongeur,sson,Songe,Sonna,Sobrés,Tongs,,,,,,,,,,,,,,,,,,
41,Toüt,toujoürs,poür,,,,,,,,,,,,,,,,,,,,,,
42,pays qu’,"pays de
L tout parsemée",pays de Caux,,,,,,,,,,,,,,,,,,,,,,
43,AImait-,Tai,naie,"Tue
oo Mais ta mère n’",alaise,Encaissée,m'’aimer,aimais,maiS,maison,Laisse-,,,,,,,,,,,,,,
44,cueillie,uillon,Vrilleite,gille,Ileutmème,taillis dépouillés,Oreilles,Ile,Marseille,d’aiguille,Vrillette,ille,Beuzeville,Couillon,,,,,,,,,,,
45,Réponds,Î,cntra,Répondez,Pontet,mont Riboudet,tont,ponT,Remontée,dOnc,,,,,,,,,,,,,,,
46,Suisse,vert-de-gris,Marquis,buis,Lison,Lisan,Lise,IS,Évisa,Dis,Paris,Leperthuis,,,,,,,,,,,,,
47,jeta,Jeriné,Je,N'ai-je,-.Je',Jet,,,,,,,,,,,,,,,,,,,
48,ucune,UN,Lu,lune,lu,Pas de lune,J,,,,,,,,,,,,,,,,,,
49,yme,Lomme,Romäines,Hommes,Pyrame,rome,RRO A,éotnme,Ro-,,,,,,,,,,,,,,,,
50,R,l’,L’,,,,,,,,,,,,,,,,,,,,,,
51,Batteviile,Fourville,barôn,Varneville,V',Le.baron,gare de Beuzeville,Barville,Batteville,terre de Barville,BIentôt Apparut Le Village,Goderville,Courville,,,,,,,,,,,,
52,ieau,mon-beau-frère,"au-

 
 
 
 X",pau,au-,Vauds,,,,,,,,,,,,,,,,,,,
53,Blesséos,Naples,mariez-les,Îles,Péuples,Penples,ler,Les,Île,|LE,Madeleines,,,,,,,,,,,,,,
54,Bolbec,comtesse Gilberte,GIlbert,Be,Gilberte,A,Alber-,,,,,,,,,,,,,,,,,,
55,Re-je-regarDE,reparue,N,regardez,,,,,,,,,,,,,,,,,,,,,
